name,text
1604799007427072000,"🔛⚽🏃‍♂️
#RMCity https://t.co/P8IcheLhyK"
1604778570714210304,🗓️ Who’s behind door number 1️⃣9️⃣ of our Advent Calendar? 🎄 https://t.co/fkRs17Uxor
1604755920034009088,"🎂🎁 HAPPY BIRTHDAY to @Benzema, who turns 3⃣5⃣ today!  
🥳 #HalaMadrid 🥳 https://t.co/3BMDzF7N2N"
1604733274638557184,"☕ Good morning, #Madridistas! https://t.co/xZLiu3lmjN"
1604597378064871424,💪🔥 @fedeevalverde https://t.co/e4bdCNa6hv
1604582272987848705,⚡ @Benzema ⚡ https://t.co/y6GvLSpBqg
1604552074049425408,"🖐️ Our FIFTH Club World Cup!
🆚 @RealMadridEN 4-2 @atlrs_english
⚽️ @Benzema
⚽️⚽️⚽️ @Cristiano 
#RealFootball | #OTD https://t.co/6MO4eEMmjh"
1604550071521251328,"🇫🇷🥈 Proud of you.
#FIFAWorldCup https://t.co/ghYvcpLv9T"
1604538533301178371,"Congratulations to @Argentina and all of their fans for winning the 2022 #FIFAWorldCup, and congratulations to our… https://t.co/h1CpfKY6DC"
1604536520978960392,"🇦🇷 (4) 3-3 (2) 🇫🇷
👉 @atchouameni
👉 @Camavinga
#FIFAWorldCup https://t.co/jhtSZ87VFP"
1604522599685361666,"⏱ EXTRA-TIME AWAITS! 
🇦🇷 2-2 🇫🇷
#FIFAWorldCup https://t.co/ShLW7oUveK"
1604506775599857669,✨ Mini match at #RMCity! ✨ https://t.co/gU9vdFshMh
1604494093593194498,"🧤👟  Keeping the keepers on their toes!
#RMCity https://t.co/70asOD53ji"
1604487656888573954,"🔥 Almost time! 🔥
@atchouameni | #FIFAWorldCup https://t.co/fGhmOUOSC3"
1604474817050181632,"⚔️ @atchouameni ⚔️
#FIFAWorldCup https://t.co/0JTjBYqscZ"
1604469029397110784,"🧐🧐🧐
GUESS WHO
🤔🤔🤔 https://t.co/xoyexEPz73"
1604461482812608514,"📅🌐🏆 #OTD in 2016, we won our 5️⃣th Club World Cup!
🆚 @atlrs_english
📍Yokohama
#RealFootball https://t.co/7jDYsGhtXV"
1604446378763116551,"⌛ 𝐓𝐇𝐄 𝐅𝐈𝐍𝐀𝐋 ⌛
🇦🇷 🆚 🇫🇷
⚡ @atchouameni
⚡ @Camavinga
⏰ 16:00 CET 
#FIFAWorldCup https://t.co/hy9aaqBJhB"
1604436698783305728,🏃💨 https://t.co/uq2qUnPm4s
1604417842346090497,🏆 #FIFAWorldCup FINAL DAY IS HERE! 🏆 https://t.co/jsAlr60Lbh
