name,text
1604808767840784384,🇫🇷 Hugo Lloris said the @FIFAWorldCup in Qatar marked a shift towards the team's new generation led by Kylian Mbapp… https://t.co/w6ylZ8VHn7
1604778577580281858,"🧤 @emimartinezz1, a man for the big moments!

#FIFAWorldCup #Qatar2022 #ARG https://t.co/fXgmVkU3u9"
1604766408965263360,"🇦🇷🏆 

The @FIFAWorldCup champions toured through Lusail with the biggest prize in football following their unforget… https://t.co/QudQtUIDSM"
1604758682310508544,"🇦🇷✈️

Lionel Messi and his teammates set off for Argentina with the biggest prize in football as millions of compat… https://t.co/WYCGK0ujiU"
1604582021510168576,"🎬 Highlights

🇦🇷🏆

Argentina defeated France 4-2 in a penalty shoot-out to win the World Cup for the third time in… https://t.co/qGRwgOjhCa"
1604557897744224256,"🔜 Join us for the World Cup Review show as we look back on an unforgettable night and tournament!

#FIFAWorldCup… https://t.co/jFXWj2zUsz"
1604555859987951616,"🇦🇷🏆🎉

Introducing your FIFA World Cup Qatar 2022™ champions, @Argentina!

#FIFAWorldCup #Qatar2022 #ARG https://t.co/9U5yxLHYRQ"
1604552377171746817,"🇦🇷🤝🇫🇷

PSG teammates Lionel Messi and Kylian Mbappé certainly stepped up to the occasion!

#FIFAWorldCupFinal… https://t.co/dU7vot9lNd"
1604549460637384710,A short love story 🇦🇷💙 https://t.co/zv9x5lxYPG
1604547086719995905,"The individual accolade winners collect their trophies 🏆

#FIFAWorldCupFinal #Qatar2022 https://t.co/fpTXXREFkO"
1604545391235633152,"🏆😘

#FIFAWorldCupFinal #Qatar2022 #Messi https://t.co/dGCC6hpR2z"
1604544119325564930,"🛣️🏆

Your FIFA World Cup Qatar 2022™ champions, @Argentina!

#FIFAWorldCupFinal #Qatar2022 #ARG https://t.co/gyDfUYw85o"
1604539605948461056,"Tears of joy for Messi 🥲

#FIFAWorldCupFinal #Messi #ARG https://t.co/vlw5IiU8y0"
1604538363893190657,"#ARG ✅✅✅✅
#FRA ✅❌❌✅

@Argentina are perfect from the penalty spot as Gonzalo Montiel slots away the winning penalty… https://t.co/Q5jKCuLgr1"
1604538091074891781,"🇦🇷🏆

This is what it means to the @Argentina players.

#FIFAWorldCupFinal #Qatar2022 #ARG https://t.co/uCwPE6zcEL"
1604536084469518336,"🇦🇷 𝗖𝗔𝗠𝗣𝗘𝗢𝗡𝗘𝗦 🏆

@Argentina win the penalty shoot-out 4-2 to claim their third @FIFAWorldCup title!… https://t.co/5avN0DPiPN"
1604533311619170314,"😬 Who are you backing to win the penalty shoot-out?

#FIFAWorldCupFinal #Qatar2022 #ARGFRA"
1604533120283336704,"FT (AET): 🇦🇷 3-3 🇫🇷

What. A. Match.

The FIFA World Cup Qatar 2022™ final will be settled with a penalty shoot-out… https://t.co/ip9YjU2Eau"
1604532389274869760,"Endless drama 😱

@KMbappe confidently steps up from the penalty spot to score his hat-trick and it looks like we're… https://t.co/6j1bbM3qtK"
1604530264012689408,"🇦🇷🐐

The Little Magician fires home from close range and this FIFA World Cup Qatar 2022™ final looks to be written… https://t.co/ojDsRFUmkU"
