name,text
1604537271516020736,"🏆 Congratulations 👏

#FIFAWorldCup https://t.co/cAcWQwavsF"
1603782318736703488,FULL TIME: Galatasaray 2-1 Toulouse FC #GSvTFC 👏 https://t.co/LLaP9em2Rm
1603769387747614720,⏱️ 46' Back underway for the second half. #GSvTFC
1603767117756698627,Photos from the first half 📸 #GSvTFC https://t.co/jGnTbvWRRn
1603765062191104001,HT: Galatasaray 1-1 Toulouse FC #GSvTFC https://t.co/WCIM3q7eq6
1603752636406272000,"⏱️ 1’

Kick off. 

#GSvTFC"
1603747587584040961,It's time to warm up! 🔥 #GSvTFC https://t.co/bpF4UQS3WT
1603739385228365824,"Our starting XI against Toulouse FC 👇 #GalaXI #GSvTFC

@matchpr_ https://t.co/LycGGDW50B"
1603656213518028800,"⚽ Friendly Match
🆚 Toulouse FC
📆 16.12.2022
⏰ 15.00 (CET)  
🏟 Titanic Mardan Sport Complex
📲 #GSvTFC https://t.co/rHTUo6CKno"
1603348337331150848,Haris Seferović is back! 💪 https://t.co/xoKam4jW6K
1603347845180006400,📸's from today's training session. 💪 https://t.co/mHriJVClIa
1602990706963976194,"✈️🧤

@1_Muslera_25 

https://t.co/GgUnhCVqNY"
1602988232173826051,He is back! 💪 https://t.co/vw0iavs1CR
1602987835941863425,📸🦁 https://t.co/cQbLdf9SjU
1602987829084459008,Our work continues 💪 https://t.co/bVPHFX17ph
1602715981020790786,📸 Moments from the second half #GSvLazio https://t.co/kjWvwhDdnR
1602709683478974464,"Final whistle.

#GSvLazio https://t.co/zOGsMcwlER"
1602697683549970434,"⏱️ 46' 

It's time for the second half. 

#GSvLazio"
1602695090241249281,Photos from the first half 📸 #GSvLazio https://t.co/Ec6UngUaDN
1602693101805621249,"HT: Galatasaray - Lazio 

#GSvLazio https://t.co/kU7qjoSMAa"
