name,text
1290204542030630918,"@Tomohare90 Hi there, if you could please send us a DM with more information we can look into this. Thank you."
1278648315979145219,"@Poptartskitties Hi there, we're so sorry to hear this. Please can you send us a DM with your query? Thank you."
1271009349138292736,"@PhilipHaskings Hi Philip, we're sorry to hear this. Unfortunately, due to the extremely high volume of contacts we… https://t.co/90YIdTmvE4"
1268862914527723525,"@CiaraLa82530189 Hi Ciara, we are so sorry to hear this. Please can you send us a DM at @statravelcares"
1258338573943701509,"@shadaisy Hi there, we’re so sorry for the delay in getting back to you. For us to help you further, please can you… https://t.co/rRZBmUnKMp"
1241828627576164359,@TennOldNews @united Thank you for your kind words! We will be sure to pass that along to Ruby!
1240541161091149824,"@erwarmoth @STATravelCares Hi Eric, can you please send a PM with your booking info? ^Ri"
1240363981677748234,"@rcdobe13 @STATravelCares I am sorry service has not lived up to your expectations Ray, We are experiencing an extr… https://t.co/bRrdvCqf76"
1240332212031098885,@hannahpercyx Hi there – apologies for the delay. As you can imagine we are experiencing an unprecedented amount of… https://t.co/psw8gGeryN
1240330999554334722,@elinor_scanlon @STATravel_UK @STATravelCares Hi there – apologies for the delay. As you can imagine we are experie… https://t.co/bNOAuFG978
1240326879166464002,@KiGRivera Hi there – apologies that you’ve experienced this. As you can imagine we are experiencing extremely high… https://t.co/ygbhit16lp
1239964436510564352,@mhairi_anderson I'm really sorry to hear of this. We've been really busy as I'm sure you can imagine. I hope that… https://t.co/lnR64MjNeD
1238473271148007433,"For the best approach to contacting us regarding your booking, please follow the link for more advice -… https://t.co/V4SkV8yuSP"
1233317467570802689,https://t.co/KkRMca3HTr https://t.co/DmvU2M3KwN
1223939121778917376,"Today's the day! Where will you be watching the big game? 🏈

Let us know!"
1223652414827499522,Grocery shopping on #SuperBowl weekend should be considered an extreme sport 🛒 https://t.co/0KDUQDckxv
1222484278581383168,RT @Australia: One of the best ways to support #Australia right now is to keep visiting – This week we’re strolling through lavender fields…
1222203254228103169,"#NationalPlanForVacationDay got us like 🤗

If there's ever a day to book that dream trip, this is it!:… https://t.co/oiMEyAcxva"
1219273857502253058,#MLKDay https://t.co/4AoQOS61Gj
1214918556862820352,"#Ruin2020In4Words

Not going on vacation"
