name,text
1600810879079030785,"2022/23 #U17EURO elite round draw made ⚽

The 8 mini-tournament winners and 7 best runners-up in March join hosts H… https://t.co/0wpPrfHCKT"
1600803624451543045,LIVE STREAM: 2022/23 #U17EURO elite round draw 📺
1600798381974118402,"2022/23 #U19EURO elite round draw made ⚽

The 7 mini-tournament winners in March join hosts Malta in the finals from 3 to 16 July 🏆"
1600792307405651969,LIVE STREAM: 2022/23 #U19EURO elite round draw 📺
1600790182625615872,"The draw has been made for the 2023/24 #U17EURO qualifying round 🏆 https://t.co/2LYGWTX3G7

⚽ 52 teams compete in a… https://t.co/fao1xbs2Xs"
1600789871299526658,"The draw has been made for the 2023/24 #U19EURO qualifying round 🏆 https://t.co/TR0RO3maip

⚽ 52 teams compete in a… https://t.co/am8zl6sel4"
1600777201510600704,LIVE STREAM: 2023/24 #U17EURO qualifying round draw 📺
1600762105841401857,LIVE STREAM: 2023/24 #U19EURO qualifying round draw 📺
1600506946955743233,"⏪ @Goncalo88Ramos with a final tournament hat-trick - in the #U19EURO semis in 2019 🇵🇹

U19 and #U17EURO qualifying… https://t.co/O5EBOVmz9M"
1572495854052806658,The road to the 2023 #U19EURO in Malta begins today with 9 of the 13 qualifying round groups running until Tuesday 🏆
1562861608019234822,"RT @WEURO2022: 🤩 𝐒𝐚𝐫𝐢𝐧𝐚 𝐖𝐢𝐞𝐠𝐦𝐚𝐧 🤩

After leading England to #WEURO2022 glory last month, Sarina Wiegman is awarded the UEFA Women’s Coach o…"
1562861583340281857,"RT @ChampionsLeague: 🏆 Carlo Ancelotti - the first coach to win the #UCL 4 times 👏👏👏

#UEFAawards || #UCLdraw https://t.co/RFhKQPMFo0"
1562861555129413633,"RT @UWCL: 👑 𝐀𝐥𝐞𝐱𝐢𝐚 𝐏𝐮𝐭𝐞𝐥𝐥𝐚𝐬 😍

@alexiaputellas is named the 2021/22 UEFA Women's Player of the Year - the first player to win the award twi…"
1562861523097501697,"RT @ChampionsLeague: 🏆 A 5th #UCL title &amp; top scorer with 15 goals.

Bravo, Karim Benzema 👏👏👏

#UEFAawards || #UCLdraw https://t.co/mKERLBC…"
1562861275452882945,"RT @ChampionsLeague: Bring it on! 👊

#UCL || #UCLdraw https://t.co/z9IBs4zdUA"
1559885345579220992,"RT @UWCL: The nominees for the 2021/22 UEFA 𝐖𝐨𝐦𝐞𝐧'𝐬 𝐂𝐨𝐚𝐜𝐡 𝐨𝐟 𝐭𝐡𝐞 𝐘𝐞𝐚𝐫 are...🥁

⭐ Sonia Bompastor
⭐ Martina Voss-Tecklenburg
⭐ Sarina Wiegma…"
1559885169791729664,"RT @WEURO2022: The nominees for the 2021/22 UEFA 𝐖𝐨𝐦𝐞𝐧'𝐬 𝐏𝐥𝐚𝐲𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐘𝐞𝐚𝐫 are...🥁

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Beth Mead
🇩🇪 Lena Oberdorf
🇪🇸 Alexia Putellas…"
1558373129776504832,"RT @ChampionsLeague: ✨ NOMINEES: UEFA Men's Coach of the Year 2021/22 ✨

🇮🇹 Carlo Ancelotti
🇪🇸 Pep Guardiola
🇩🇪 Jürgen Klopp

🗓️ #UEFAaward…"
1558373040056049665,"RT @ChampionsLeague: ✨ NOMINEES: UEFA Men's Player of the Year 2021/22 ✨

🇲🇫 Karim Benzema
🇧🇪 Thibaut Courtois
🇧🇪 Kevin De Bruyne

🗓️ #UEFA…"
1546040154229542914,"Re-live @SEFutbolFem's #U19WEURO victory 🇪🇸 👏

📺 https://t.co/vqPrF5d34i https://t.co/ieQLYBI5ek"
