name,text
1603823200407781382,"🇵🇪🐙🦐🐟 #ceviche emblem of #peru #gotravelclub
#Travel 
#16December 
New York | Prince Andrew | World Cup Final | Ode… https://t.co/9PMAPMUCEy"
1268150633607069697,This train is considered one of the best trains in the world. Here luxury is perceived not only in the material sen… https://t.co/ufTLC4nSuN
1267788261130407944,"In the Spanish metropolis, bars are crowded at night, and craft beer is in vogue. More and more people are interest… https://t.co/JjHxaiYsK2"
1267425861285949444,Dublin is the capital of the Republic of Ireland and also its largest and most cosmopolitan city. It is tremendousl… https://t.co/D9BEwjBxz5
1267063366130024449,"Chenonceau Castle is one of the most beautiful and most frequently visited castles in France, with a history that c… https://t.co/F7bZpKT6om"
1266700994014044160,The Land of the Seven Colours is a natural tourist attraction very close to the town of Chamarel. The landscape is… https://t.co/QQryFETfaA
1265251513213091843,The island of Eleuthera in the Bahamas hides a paradise called The Resort: the only resort in the world designed fo… https://t.co/6ohFDSlKRe
1264889132637130752,"Neuschwanstein is located in the federated state of Bavaria, near Füssen, in Germany. It was opened to the public i… https://t.co/3FSd6TREaw"
1264526673837506560,"If you are one of those who like modernity, a varied cuisine, good shopping and a cosmopolitan city, then in Manche… https://t.co/3e3gi3yXJz"
1264164539614068736,The old continent has the privilege of having cities and towns with a lot of history and lush landscapes that its i… https://t.co/dGqny6z84U
1263802129107554304,Large cities have airports equipped with shopping centres that help travellers to pass the time while waiting for t… https://t.co/vM7qzrewfI
1263439882833321984,"When the plane in which you are travelling lands at your destination, you must quickly locate three key points to m… https://t.co/9sFVUv3OCg"
1263077341871382528,"The best thing to do in Ibiza is to navigate its waters and get to know the small islets that make it up.
#Ibiza… https://t.co/n38MQ3a3c0"
1262714970791383044,"The City of Light also worships death in the Père-Lachaise cemetery, the largest in Paris and one of the most famou… https://t.co/c3KHvjDLXR"
1262352513447198722,"Senmaida is a rice field in the province of Ishikawa, in Japan, arranged in small terraces of immense beauty that r… https://t.co/pO4IAcnjBw"
1261989928235421697,Tuscany is an Italian region that is characterized by its exceptional beauty. this region offers harmony in its mou… https://t.co/XDkm0Ya0yB
1261627665150357504,There is no princess without a castle and for that purpose Disney travelled through different countries of the plan… https://t.co/wqoM6AD0xf
1261312951799218176,"🌄 Yosemite Falls is one of the many waterfalls in Yosemite Park in California, EEUU. Its flow depends on how much i… https://t.co/3rzF3zV7qD"
1261265347359002626,"Argentina, a country with unmatched natural benefits, you will have to plan your itinerary so that the time spent i… https://t.co/HxSuPC8KMl"
1260902911409881089,"Istanbul is one of the largest cities in Europe and the largest in Turkey. Originally it was called Byzantium, unti… https://t.co/tf1nVKXl1w"
