name,text
1604590329872670729,"Puglia, Italy 🇮🇹
📸: bambi.thalia | IG https://t.co/7puQVHhD7D"
1604547878789079041,RT @goKonrad: We learn so much from our travels because it’s often the only time we pay attention to what’s around us https://t.co/XmbUMoCc…
1604500993877606406,"Quebec, Canada 🇨🇦
📸: @davignon_steven | IG https://t.co/ZIQzUObaB7"
1604277772628725760,"Istanbul, Turkey 🇹🇷
📸: @iamkritzinger | IG https://t.co/pv552Jbhoo"
1604143638182756352,"Cobh, Ireland 🇮🇪
📸: lost_at_me | IG https://t.co/46BMmHeMnT"
1603914631516389378,"Vienna, Austria 🇦🇹
📸: @KremserPhoto | IG https://t.co/7lH6aDNxaq"
1603781248404652036,"Bordeaux, France 🇫🇷
📸: margauxgazzano | IG https://t.co/HZWqdNcEPM"
1603552240958148609,"Erfurt, Germany 🇩🇪
📸: magictiron | IG https://t.co/FVLjsczwTL"
1603489327777996811,"Namibia 🇳🇦
📸: izabel.philippa | IG https://t.co/aEOYrwE3he"
1603202185399095296,"Antigua Guatemala, Guatemala 🇬🇹
📸: @toscano_foto | IG https://t.co/oiQZyLFTpw"
1603076861034221568,"Puebla, México 🇲🇽
📸: @dannychazari | IG https://t.co/MkCFyK3C4I"
1602818659549863938,"Utrecht, Netherlands 🇳🇱 
📸: bodiek | IG https://t.co/Mt4KWFRKjf"
1602723277591531524,"Brussels, Belgium 🇧🇪 
📸: https://t.co/0AzEoQH5pl | IG https://t.co/EO263J0Q5s"
1602444189182185473,"Venice, Italy 🇮🇹🖤
📸: photo_travel_block | IG https://t.co/djfCDJ93vD"
1602331696816431104,"Henningsvær, Norway 🇳🇴
📸: @tylerwayneglass | IG https://t.co/L1UNBpV02g"
1602088596051214336,"Perast, Montenegro 🇲🇪
📸: @donaldhyip | IG https://t.co/0itp3woxvR"
1601971829580742656,"Bangkok, Thailand 🇹🇭
📸: photo_travel_block | IG https://t.co/teZtIumWKg"
1601720670999699462,"Nusa Penida, Indonesia 🇮🇩
📸: @_adamdesjardins https://t.co/pI1jO2K0es"
1601606922666393603,"Tokyo, Japan 🇯🇵
📸: jakerosmarin | IG https://t.co/BN44EMgyHk"
1601366588728434689,"Strasbourg, France 🇫🇷
📸: tonyrammath | IG https://t.co/xtWXvCkalY"
