name,text
1604762460132675584,Singapore https://t.co/c7OpmAe9bh
1604614485158678529,"Prague, Czech Republic https://t.co/cGM9PYK7Bf"
1604499058843754500,An amazing place to visit Providence Island Colombia https://t.co/diBOTOXrHO
1604465755134763008,"El Nido. Palawan, Philippines https://t.co/3QAhXgBF8t"
1604316773448310785,"Dubrovnik, Croatia https://t.co/rQ7n0fNtsp"
1604197739172024320,"Manhattan, New York, USA https://t.co/kigLmy4GIZ"
1604047499328507904,"Torres Del Paine, Chile https://t.co/qptFR0pK1g"
1603899524115636224,"Dinant, Belgium https://t.co/YsAZE8DreH"
1603750794309910530,"Budapest, Hungary https://t.co/YZOyg8J8os"
1603619161267228673,Major cities and tourist destinations in South America https://t.co/EtCopyiNR0
1603602819080019968,"El Nido, Palawan, Philippines https://t.co/HAYnaB6tNU"
1603454089416671232,"Tayrona National Park, Colombia https://t.co/i59ZwM9pr0"
1603305107273043969,"Sevilla, Spain https://t.co/OA2bO040NU"
1603157635812859904,"Utrecht, Netherlands https://t.co/Au45s9aHkS"
1603005634554646528,"Tulum, Mexico https://t.co/HNtQThXUzy"
1602857407327227910,"Valletta, Malta https://t.co/M9zgs1OHLg"
1602738437626404866,Peninsula Mitre currently one of the most hidden places in Argentina https://t.co/BrkSoB3jbl
1602709180640632834,"Sveti Stefan, Montenegro https://t.co/Z0IbamQg31"
1602560953958137856,"Oahu, Hawaii, USA https://t.co/UdnN7PYSPi"
1602411217288454146,"Bellagio, Italy https://t.co/piIsB1F0tm"
