name,text
1604807507024584704,Argentina celebrated their World Cup victory with tens of thousands of fans along Doha’s Lusail Boulevard 🏆🚌 https://t.co/AMBUuo9Uqf
1604799957382311937,"""This guy is in a league of his own at the moment""

Clinton Morrison does not think there is any other player on th… https://t.co/vKfMXm6iZG"
1604794257147310081,"An incredible drone shot of Buenos Aires after Argentina’s World Cup win… 🤯🇦🇷

🎥 IG: alepetra_ x… https://t.co/XDiQNwJkRa"
1604784735548497923,South American football expert Tim Vickery says Lionel Messi will now be recognised alongside Diego Maradona by Arg… https://t.co/ayVJbAT3NV
1604582277429620736,Surely? 🍿 https://t.co/JJegdW4j65
1604579590487552000,The best player of the World Cup? It HAD to be Lionel Messi🔥 https://t.co/5c2UNDev1l
1604578543152701441,"𝐄𝐈𝐆𝐇𝐓 𝐠𝐨𝐚𝐥𝐬 𝐨𝐯𝐞𝐫𝐚𝐥𝐥 &amp; 𝐚 𝐡𝐚𝐭-𝐭𝐫𝐢𝐜𝐤 𝐢𝐧 𝐭𝐡𝐞 𝐟𝐢𝐧𝐚𝐥  ⚽✨

The winner of the Golden Boot for the 2022 World Cup is Kylian… https://t.co/vFhxuVhURI"
1604575877869682688,World Cup secured. Is the GOAT debate over? 🐐🏆 https://t.co/SCDjmSwuJR
1604551466827382784,Argentina and Lionel Messi lift the World Cup! 🥳🇦🇷 https://t.co/E7oa0DGorm
1604539175067435011,The perfect story ✨🇦🇷 https://t.co/YeT2ZgUwWa
1604538040944250880,Football? Completed it mate. https://t.co/p9HCu7f8hh
1604535719535742976,ARGENTINA WIN THE WORLD CUP!  🏆🇦🇷 https://t.co/1vI5alUhjB
1604534269145128961,RT @SkySportsNews: Argentina vs France is going to penalties ⚽🥅 https://t.co/7UFtzHzi0x
1604532982819454976,A KYLIAN MBAPPE HAT-TRICK ON THE BIGGEST STAGE OF THEM ALL 🇫🇷 https://t.co/niCPrZrscm
1604532179245191169,"SURELY the greatest World Cup final 𝐄𝐕𝐄𝐑?! 

A hat-trick for Mbappe to make it 3-3🤯 https://t.co/ATeYrYZOA6"
1604530344673398786,WHAT A MOMENT! 🤯 https://t.co/ibSget2lV4
1604529839817506825,MESSI SCORES! IT'S 3-2 TO ARGENTINA! 🤯 https://t.co/hqZfxveWmw
1604523818340450306,An EXTRAORDINARY World Cup final! Extra time it is 🍿🍿
1604519379273748480,TWO GOALS IN 90 SECONDS 🤯🤯 https://t.co/5kI5eSfLv0
1604518450155687938,"SIMPLY INCREDIBLE! 🤯

MBAPPE MAKES IT 2-2 🇫🇷 https://t.co/us8uv2yUmi"
