name,text
1602247283055202304,This consultation follows the publication of our industry research report ‘The Sky’s the Limit’ which focused on th… https://t.co/KT1bTa6blY
1602247275698331650,Delighted to hear from @smytho this morning at the launch of the ‘Infrastructure as a service’ consultation from… https://t.co/saR1kM5pXx
1595452674266234880,Fantastic to see @cronanmcnamara from @cremeglobal speak on a video at the #DigitalIreland2022 event today on the i… https://t.co/UhCGtLUYXA
1595451260785905665,Minister Catherine Martin announces that a national ‘countering disinformation’ strategy that will be developed soo… https://t.co/D4o7Oc4k4F
1595436480939413505,"@UnaFitzpatrick0 Director, Technology Ireland spoke with members of the joint committee on Enterprise, Trade and Em… https://t.co/p92dDCYBr1"
1594713464097964035,"RT @siliconrepublic: Software company @mycompliance took the top prize at this year’s @technology_irl awards.

Other winners on the night i…"
1594657995270811648,RT @Nutritics: Nutritics was a finalist in two @technology_irl Industry Awards categories — and we're thrilled to share that we won in both…
1594020722892238848,@SophieKeepWell @fujitsu_ie @alzheimersocirl Thank you for supporting the awards🏆
1593737707410190336,"A wonderful photo of some of the previous recipients, and tonight’s winner Geraldine Magnier, of the prestigious Pe… https://t.co/BIAApWRuMo"
1593737579698028544,"We are thrilled to announce @mycompliance as winners of the 2022 Digital Technology Company of the Year Award, spon… https://t.co/IWEnYXSsdg"
1593736152116232192,"Geraldine Magnier has been awarded Technology Ireland Person of the Year 2022👏🏆

Congratulations Geraldine!… https://t.co/AX8q9sxphK"
1593734598936100866,"@ProtexAI are winners of the Emerging Company of the Year Award, sponsored by @DigitalSkillnet ! 💥🏆

Congratulation… https://t.co/RDfoaDWnNR"
1593733205974302720,"@GabadooPlatform are winners of the Tech 4 Good- Product/ Service Award, sponsored by @FidelityNews ⚡️🏆

Congratula… https://t.co/yQ7moZ1w3e"
1593732366467584005,"@Nutritics are winners of the Outstanding Achievement in International Growth Award, sponsored by @Entirl! 🌎🏆

Cong… https://t.co/YWSSCVValv"
1593731449022304257,"@ STEMPInc  are winners of the Women in Tech Initiative of the Year sponsored by @IDAIRELAND! 👩‍💻🏆

Congratulations… https://t.co/l2bLZX8eVe"
1593730791296716806,"@fujitsu_ie are winners of the Tech 4 Good – Community Award sponsored by TikTok 🏆

Congratulations to all at Fujit… https://t.co/RmvAlMSPVx"
1593729826455638016,"@ProtexAI are winners of the Technology Innovation of the Year sponsored by @Workhuman! 💡

Congratulations to all a… https://t.co/LMYLfhgPE2"
1593728568789442562,"@FINEOS are winners of the Digital Technology Services Project of the Year sponsored by @FastrackintoIT! 💻🏆

Congra… https://t.co/2veO2Vr713"
1593727692515557377,"#Foodprint by @Nutritics are the winners of the inaugural Tech 4 Good - Sustainability Award, sponsored by… https://t.co/9wWSVnugtq"
1593726868879974403,Congratulations @FidelityNews our winners of the Excellence in Talent Development Award sponsored by @ICTSkillnet!… https://t.co/f7XEExvprJ
