name,text
1604812678459195392,"Chelsea are reportedly leading the race to sign right-back Denzel Dumfries from Inter Milan, who is also on the rad… https://t.co/i0ZEUhy8bf"
1604805258420850689,Lionel Messi wrote his name into the history books for the umpteenth time when he led Argentina to victory in the F… https://t.co/8lM3Pgo1mH
1604799829225635840,"Argentina thanked their fans in India, Bangladesh and Pakistan for their support 🙌👑🇦🇷

#FIFAWorldCup #Qatar2022… https://t.co/5DuY9EeOo8"
1604797956825448450,"Capturing the imagination of millions, or rather, billions of footballing fanatics across the globe, Lionel Messi,… https://t.co/GUsuBM8qMw"
1604790677099155456,"Former England international Gary Linekar’s son, George, won £4276.40 after making unbelievably accurate bets invol… https://t.co/02wU0ZDxj6"
1604789373547188225,"RT @SportskeedaF1: Max Verstappen has his say on the Cristiano Ronaldo 🆚 Lionel Messi debate 👀

@skworldfootball 

#F1 #LionelMessi𓃵 #Crist…"
1604783177364811776,"🇦🇷 Alexis Mac Allister 
🇫🇷 Kylian Mbappe 
🇯🇵 Ritsu Doan 
🇧🇷 Vinicius Junior 
🇭🇷 Ivan Perisic 
🇲🇦 Sofiane Boufal

Wh… https://t.co/TReYBAZcza"
1604783109450629120,Bollywood superstar Ranveer Singh showered his stunning actress wife Deepika Padukone with praise after the 2022 FI… https://t.co/XjCwpYBMV6
1604781528948801536,Iran national team player Ami Nasr Azadani faces execution in Iran after taking part in nation-wide protests. 😳❌… https://t.co/VcIAEcWCfZ
1604776298555277312,"🇪🇸 Ferran Torres 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Bukayo Saka 
🇯🇵 Takuma Asano
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Marcus Rashford 
🇳🇱Cody Gakpo 
🇲🇦 Hakim Ziyech 

Whi… https://t.co/EXVOZIttYQ"
1604775941162827777,"Argentina, led by Lionel Messi, earned a victory over France in the 2022 FIFA World Cup final on Sunday, December 1… https://t.co/tHjJ7nsCl0"
1604769035857821696,The 2022 FIFA World Cup has drawn to a close and Argentina have been crowned world champions. It was a final befitt… https://t.co/iG2ZqlMBM2
1604761718521229313,Lionel Messi and his teammates celebrated wildly as Argentina lifted the 2022 FIFA World Cup trophy after a thrilli… https://t.co/vJNhWVYzSi
1604754419547262976,Brazil legend Ronaldo Nazario lauded Lionel Messi after he led Argentina to their third FIFA World Cup trophy at th… https://t.co/f8NWuM4mQ4
1604747556466348032,"What an incredible journey for Emiliano Martinez! 🥺🇦🇷☝️

#FIFAWorldCup #Qatar2022 #EmilianoMartinez https://t.co/Ml2tMrny1U"
1604747122234261505,Brazil legend Pele shared a message for Lionel Messi and Kylian Mbappe following an enthralling 2022 FIFA World Cup… https://t.co/pKiTEFyJbo
1604746743073353728,"Past and Present of Manchester City and Argentina 🇦🇷🏆

#ArgentinaVsFrance #FIFAWorldCup #SergioAguero #JulianAlvarez https://t.co/VzhLDujJH5"
1604740094107451392,"Lionel Messi captained Argentina to the 2022 FIFA World Cup final win against defending champions France on Sunday,… https://t.co/5RJ3pgE74y"
1604732903728238592,Argentina captain Lionel Messi called former Barcelona teammate Luis Suarez from the dressing room right after winn… https://t.co/EQUc1GfPvR
1604725861718331392,Former Germany international Mario Gotze shared a stunning picture of Lionel Messi on his Instagram story after Arg… https://t.co/J00fy6pVdH
