name,text
1603751957495259136,Tis the SZN ✨ Gabor Kugler designed this unique chandelier model for a friend's daughter using Onshape's in-built c… https://t.co/TI2h2TqPT7
1603454176226426889,"🥗 As grad students, the founders of @mezli_med wondered if there was a way to get tasty, affordable + healthy food… https://t.co/PCXCGXlm3O"
1603129160326447104,"@fire Hello - Individual variables can be created and edited from the iPad, but the Variable Studio tab environment… https://t.co/nr4EsXR7r7"
1603117894858027009,We got together with @MassRobotics to host an insightful event about the future of robotics and design.… https://t.co/MczmfAcPPj
1602753354555609089,"#TechTip ➡️ Viewing, Sorting, Editing, and Manipulating BOMs in #Onshape

https://t.co/GZnRfQCSp7

#techtipTuesday #techhtipsandtricks"
1602682545988304896,"What's New in Onshape Tue December 13, 2022 (1.157) https://t.co/0wVtOM72WR"
1602668462584774656,"2022 will be over in less than 20 days 😮 Our final product release of the year includes:

✅ Color map curvature vis… https://t.co/eavjM7zcnK"
1602280290780594177,@darknessblades Thanks for reaching out. Our team would love to hear directly from you. Would you be able to share… https://t.co/W0whGqgWhJ
1602273423568375808,@BryanLAGdesign 🙂🙌 https://t.co/Rq08sXS2NL
1601222621093322755,"Onshape Live'23 is back on March 1st! This event will be jam-packed with solid breakout sessions, customer insights… https://t.co/0P2MdU7UVc"
1600862991326773249,@oxncgen We'll be sure to pass the feedback along!
1600862858845507587,@Aledafis @teacherfent @DT_Chat @adskFusion360 @autodesk Appreciate your positive feedback @Aledafis https://t.co/ck1eblHcI3
1600862368870842374,@oxncgen Thanks for the feedback! 🙂
1600862012061675520,@cadagility @theusergroupguy That's awesome! https://t.co/PmdBX8Gb62
1600861781580075008,@cadagility Hi there - Maybe the view needs to be updated?  The yellow update icon in the upper left corner while i… https://t.co/jAykGlFodu
1600503747540656128,RT @openbionics: @Onshape @PTC Great to hangout team! Please sign up to help us bring the Hero Arm to 10 more countries here &gt; https://t.co…
1600490642399891456,We welcomed @openbionics COO Samantha Payne to @PTC Boston to chat about product design + new technologies. Open Bi… https://t.co/m1fMQHbk4M
1600476118376714240,@jhjgubbels @OrTwoDeeTwo @adskFusion360 @jhjgubbels Ah. Wish we had more updates on when these would be available f… https://t.co/uegbBAWVDB
1600474563682656262,@mroliphantadl @OrTwoDeeTwo @adskFusion360 Hi Tom - Our education plan is free for teachers and students if you'd l… https://t.co/RX4aMDlX6t
1600229973213732869,"#TechTip: How to Use Section Views in #Onshape
https://t.co/L5KiGAA1F9

#TechTipTuesday #TechTipsandTricks"
