name,text
1604017388567027712,"📱 “There are red lines. And sanctions, soon,”

Elon Musk has crossed a “red line” the EU has said, after he abruptl… https://t.co/MwKyfPSVV7"
1602852178242244609,"IPhone users can contact 999 even in mobile blackspots via a first-of-its-kind satellite service 

https://t.co/4KdmBm9das"
1602672422506971137,"Shares in the LSE jumped 4pc in trading on Monday, making Microsoft's stake worth roughly £1.5bn

https://t.co/pbEm4RANQL"
1601903776201408513,"🤖ChatGPT is the most recent revolution in artificial intelligence, with mind-boggling capabilities – but it raises… https://t.co/VjiaeAkMuG"
1601305990703595520,"""Musk exposed a sore that neither he nor Tim Cook really wants opened up: is the world that we see through Spotify,… https://t.co/WQ7ADe7u2J"
1601262761920679936,"The company is renting out all of the 375,000 square foot building after the first round of redundancies in its his… https://t.co/8Dp5ycuOSD"
1601219135643521028,"🤖 The public release of the ChatGPT, a chatbot developed by Silicon Valley scientists at OpenAI, has created a huge… https://t.co/LO1JuiwgJJ"
1595898682158862337,"Prime Minister Rishi Sunak has vowed to “radically innovate” the NHS, using new technology to deliver healthcare re… https://t.co/hsWd1Hwop6"
1595764655724822528,"Tech giants that flocked to Ireland are now slashing their workforces, leaving the country facing the brunt of thei… https://t.co/ehw76Ky7gW"
1595717256868032512,"The Tesla chief this week hired coder and entrepreneur George Hotz to overhaul Twitter’s search engine, part of a w… https://t.co/MIrxa5b1Vg"
1590726321998790656,"""Mark Zuckerberg’s approach to the first round of firings at Meta was a lot more humble than his rival Elon Musk’s… https://t.co/HaEsBJEG8M"
1590678269619326977,Elon Musk's purchase of Twitter has led to an exodus of high-profile users- and one upstart social media platform s… https://t.co/IlXts8gjhV
1589636455504433153,The tech giant said there will be slower delivery times after a new outbreak of Covid at its key supplier Foxconn's… https://t.co/oyxa3VuXsw
1589585181450670083,"""Over the past few days, much has been written about the fate of Twitter – but rather less about the distraction it… https://t.co/jFgtrjaMfw"
1589196658063151105,"💻The world's richest person has bought Twitter, what will it mean for the platform and its users? https://t.co/xbDqthxUUy"
1585347102200168469,"Shares fell 5.7pc in after-hours trading immediately after the results were unveiled, wiping around $7.6bn off one… https://t.co/BqMTsXKTWU"
1585323499392057356,"The errors come as Imagination gears up for an initial public offering, which could come as soon as next year 

https://t.co/jtex71a64A"
1585299194343989253,The European Union wants all portable electronic devices sold in the bloc to work with a standard USB type-C charge… https://t.co/wpycAMlRfz
1582779090331107328,"SoftBank took control of the company which became Pelion following a £27m deal in 2018, merging it with British chi… https://t.co/KHfg5i6eV3"
1582736155610468354,Mr West was suspended from Twitter and Instagram after recent posts about Jewish people that anti-hate speech group… https://t.co/EyWf769DEw
