name,text
1604643576864014342,Thanks to @robeytech and Jeremy for stepping up to this fun and crazy challenge!
1604642757284438017,"Do you like hot chips? No not THOSE kinds of hot chips, we mean the spicy kind! Tune into the latest Creator Challe… https://t.co/fO8McyNery"
1603450861111214080,"RT @morhardt: Learn about #sustainable end-of-life processes for PCs, like recycling and waterfalling, in this #WhatThatMeans episode on #s…"
1603450564364234753,RT @intel: Who’s hoping to unwrap a new piece of tech for the holidays? 🎁
1602764044976406529,"Join Intel and Ajuna in this latest security webinar which will discuss how Confidential Computing, a rapidly growi… https://t.co/znv2vcTDkv"
1602699230736424961,"RT @intel: More and better data makes #AI more effective. More and better AI engineers help make AI solutions possible. 

Watch this video…"
1602355841683714048,"RT @morhardt: You might know about #sustainability, but what about #sustainablecompute? In this #WTM episode, Michelle Chuaprasert (@mchuap…"
1602355688742653952,RT @RajaXg: 4th anniversary of OneAPI reveal at 2018 architecture day. Came a long way - almost 10x increase in developer adoption since th…
1600931477679525889,Pop Quiz 😋 https://t.co/Ow23rdOO6K
1600908550334689280,"RT @IntelAI: Intel Innovation 2022 revealed true technical insight into how Intel helps #AI developers. Listen to experts from Intel Labs,…"
1600627538132611072,"RT @SimplyNUC: With the power of 12th Gen @Intel® Core™ processors and the discrete graphics card of your choice, Dragon Canyon Pro will ex…"
1600578395133329432,"📅 Friday, Dec 9 - Mark your calendars!

Come and join us for an Intel Insiders Office Hours session on overclocking… https://t.co/N8bNfxCniC"
1600538478793854977,"RT @scwagnerTW: To achieve #sustainability, it’s not enough to create sustainable products. Businesses must lower the carbon footprint of t…"
1600537851967336448,"RT @intel: The #transistors get smaller, but the facts get more impressive.

Learn how 75 years later we’re continuing to advance #MooresLa…"
1600234029151838215,"Coming Soon: You’re going to have to schedule your coffee breaks, because Intel’s new workstation processors mean l… https://t.co/x9PkleVKUk"
1600178185559105540,"RT @intelnews: What’s 167 feet end-to-end and weighs as much as 100 cars? 

Check out the first Fab 52 roof truss being lifted into place.…"
1598471592857960449,"RT @bandrewsdc: Great podcast from @IntelTech on the ethics of #ArtificialIntelligence, including bias, sustainability, user intention and…"
1598407114413801473,"AI/ML is opening a world of possibilities for developers. To become a true #Ai developer, you must understand the b… https://t.co/0uDdVEhFtv"
1598361008275611648,"RT @intel: Did you miss our Twitter Spaces discussion on deepfake technology?

Good news, you can listen now. Hear @Ilkedemir and @MarcusYa…"
1598360680272646145,RT @RoseSchooler: Honored to be joining the ARM Board of Directors!
