name,text
1604812540642357248,"Bukayo Saka has won the Arsenal fans' footballer of the year🌟

#AFC
https://t.co/NFXAyEB2rh"
1604811785537814528,"🏆 Oh, Thiago Silva! 🏆
#cfc
https://t.co/YqZAA3N77Q"
1604808766754545664,"Harry Kane is Tottenham Hotspur Fans' Footballer of the Year for 2022 🏆

#THFC

https://t.co/plKdi5jmTR"
1604802255987027971,Here are our Tottenham winners and losers from the World Cup.  https://t.co/JOKLtdPhV5
1604786116367831042,"How Arsenal's loan army have fared over the past week.

#AFC

https://t.co/YA28vG2AWW"
1604760950736793601,"Is Ronaldo right?🐐

https://t.co/dFBxTDcQP3"
1604751135583227906,"Who would you start?
#cfc
https://t.co/EFXoctdwlC"
1604745982461239300,"Ronaldo doesn't think the GOAT debate is over🐐

https://t.co/dFBxTCVfXv"
1604737042730057730,"Arsenal loan latest 🔴

#AFC

https://t.co/YA28vGkclw"
1604620023590400000,"Outgoings will be just as important as incomings at Arsenal in January.

#AFC

https://t.co/quiIvl0A6W"
1604604925098557441,"Not the medal Arsenal's William Saliba wanted.

#AFC

https://t.co/7IpM1CzNI5"
1604570948736352256,"Three potential deals Arsenal could complete next month.

#AFC

https://t.co/quiIvkIZfo"
1604565160051499008,"Who won 2022 Qatar World Cup Golden Boot, Golden Ball, Golden Glove and FIFA Young Player award.
https://t.co/ZDY9TJ6pTe"
1604556601763180544,"The BBC panel were not happy with what happened to Lionel Messi during Argentina's World Cup celebrations. 
https://t.co/LC8DPfur3M"
1604555848847540225,"Others took their medals off 🥈

#AFC

https://t.co/7IpM1Cicjv"
1604549322544410630,"Who surprised Lionel Messi on the pitch before lifting 2022 World Cup trophy for Argentina 😮🏆 #FIFAWorldCup 
https://t.co/zU10sqxbGV"
1604543824268763136,Cristian Romero and Antonio Conte's plans to make him world class as well as a world champion | @AlasdairGold https://t.co/byXY79h5ug
1604539379929829379,"Emiliano Martinez with his usual penalty shootout mind-games...
https://t.co/NOKhEpI9Hg"
1604536190312538112,"BREAKING: Argentina win the 2022 FIFA World Cup as Lionel Messi stars in dramatic final 🏆 #FIFAWorldCup 
 https://t.co/pzP5L5ygFB"
1604532207640616960,"Why Lionel Messi World Cup final goal vs France was checked by VAR in extra time. 
https://t.co/HJECFWmpZO"
