name,text
1604647802931388416,It's time to get in the holiday spirit with @NCTsmtown_DREAM's winter special mini album #Candy. 🍬… https://t.co/wW3gEJrOMa
1604516862007590915,Get ready for #AppleMusicLive with @aliciakeys' @Starbucks Christmas Party Takeover playlist. 🎁 https://t.co/x1DLh5192X
1604240887575465986,"Ever wonder how the @MariahCarey holiday classic ""All I Want For Christmas Is You"" was created? Walter Afanasieff g… https://t.co/JJziyRY2yo"
1603873877616123934,".@lildurk and @1future are back at it on ""Mad Max."" Hear it now on #RapLife: https://t.co/Mj8jFkPvAs https://t.co/sKcOZOquOJ"
1603850458069667870,"As she wraps up her #Motomami world tour, @rosalia speaks to @zanelowe on #NewMusicDaily Radio about collaborating… https://t.co/fOG1aSGidQ"
1603824840217354241,".@rosalia and @iamcardib headline #NewMusicDaily with ""DESPECHÁ RMX."" https://t.co/pDiLhpjQIH 🔥 https://t.co/xUxXwVLh7o"
1603785957240602624,"Celebrate the holidays with @aliciakeys!

Her #AppleMusicLive performance from the United Palace in New York is you… https://t.co/JB0eEL5FIX"
1603633559612293122,"Fingers crossed. 🤞 Turn up @wallowsmusic's new track ""WISH ME LUCK."" https://t.co/Brx75LdbJF https://t.co/FmKS5ysQpi"
1603631277743144960,"The wait for @officialavatar is over.

Experience the #AvatarTheWayOfWater soundtrack, featuring ""Nothing Is Lost (… https://t.co/duLzJXjBc2"
1603624745689309184,"This collab is everything. @rosalia taps @iamcardib for ""DESPECHÁ RMX."" ❤️‍🔥 https://t.co/RAOp0GHVnf https://t.co/Tg9byWxBA0"
1603622318839939072,".@Jacquees' new album #SincerelyForYou, executive produced by @1future, is streaming now in #SpatialAudio with… https://t.co/K3Y4dzkRuc"
1603619729217839105,Long live Young Dolph. His posthumous project 'Paper Route Frank' is out now. https://t.co/Z7hUEfvvNx https://t.co/hbCtFKHkeq
1603616377302048768,Family ties. @lildurk's 'Loyal Bros 2' just touched down in #SpatialAudio with @Dolby Atmos. https://t.co/UPE8vQfPnp https://t.co/XAZ0U2Xr51
1603559515307245574,Introducing Apple Music Sing. A whole new way to be part of the music. Sing along to your favorite songs with adjus… https://t.co/F04gtbCDap
1603472629897302026,Tune in to #PROUD Radio as @hattiecollins celebrates the wins for the LGBTQIA+ community in 2022.… https://t.co/zLOltfZGOK
1603243484709883904,.@RVsmtown and @aespa_official join forces to celebrate the most wonderful time of the year. #BeautifulChristmas is… https://t.co/4lJxwF0UVl
1603146689535254531,"It wouldn't be a @TieraMusic holiday party without a few special guests. @JessicaWFisher, @FrankRayMusic, and… https://t.co/ORtqbSn9ka"
1603106436078358531,"As 2022 comes to a close, @oldmanebro, @neweryork, @LowKeyUHTN and @yourboyeddie sit down to recap the albums that… https://t.co/FJL8im1kAS"
1602452836004028418,Get ready for tonight’s #MNF matchup between the @Patriots and @AZCardinals with their official @NFL playlists.… https://t.co/ta0vbYuPv8
1602418565138812955,"The anthem we needed! 🙌

Listen to @BarnsCourtney's ""Supernatural"" on #ALTCTRL. https://t.co/nOfX9KqwqE https://t.co/qIs2iumcig"
