name,text
1604577240792145924,.@Beyonce?? no we want to BeyonSEE the visuals!!!!! @parkwood
1604570606980177925,@princecharmgrey anyone still sleeping on the queen might wanna wake up IMMEDIATELY 🐝
1604569644748136448,@KamiAkuma3 solid list 🔥 seeing some legends in there who hold weight!
1604569427130949633,@emelineisme the honor is ours!! the looks you served spoke volumes! 🔊💖
1604569117884878849,"@Tip to this day ""Go Get It"" still motivates us to get up and grind 💯"
1604568918298861572,@AvaMax two years worth the wait with a special ending 🤩❤️
1604568726078197760,"@LewisCapaldi we're not crying, you're crying... ok fine we're crying!! this video took the song to another level 😭❤️"
1604565700542177280,"looking back at 2022, @jvkesongs won “Class Clown“ with this lol-worthy Short 😂 https://t.co/sHiUVpqe5O"
1604540780877692930,happier than ever bc it’s @billieeilish’s bday!! 🎂 https://t.co/wt36kRlnYK
1604522006619488256,"hip hop? k-pop? indie? pop? we’ve got a 2022 hits playlist for *every* genre 🌟 play @kendricklamar, @aespa_official… https://t.co/L72Ps2xP2t"
1604208615384137728,@sofitukker speechless!! we can just feel the emotion you brought to this 🥰
1604208169043243009,@TierraWhack this is why this is why this is why i’m hot
1604207843166633985,@Yo42O_ really speaks to the soul 🤍 never give up and keep doing what you're doing!
1604207210892066816,@jamesklusener UNIQUE!! stays on repeat 👽🔥
1604206818162782209,@Music_Martin_ gotta represent 💯 the album and these Shorts are incredible!
1604206483767316480,@bootiebrownOG such a great collab 🔥 who else would you like to see @gorillaz work with?
1604182211300691968,and @emelineisme gets “Best Dressed” for 2022 Shorts… duh! 👗 https://t.co/MrZ1Emdmvq
1604159491628376066,drop an artist everyone is sleeping on ⤵️
1603873368066908239,@Latto you NEVER miss!! giving us the friday energy we all need 🎰
1603871767071711263,@kendricklamar it's visual after visual...we can always count on you for creating art 🎨
