name,text
1604740773441929217,@DICKBYAIR Killed that set 🫡
1604469027908325379,Who's going to win? ⚽️🏆 Drop your celebration song and #ARG or #FRA below 👇
1604235803999309826,"@loveligyu Obviously we’re OT5, but maybe the teeniest tiniest bias to 🐰"
1604227295065014274,@TXTChartData @TXT_members Congrats kings 👑
1604194102223978499,"RT @RapCaviar: Chief Keef's influence has been undeniable since he stepped in the game. Tune into our IG story tomorrow, we're cooking some…"
1604165950948909056,📸 by @EricDBlack
1603942143340560384,"Dive into Nothing Is Lost (You Give Me Strength), @theweeknd's epic new track for Avatar: The Way of Water 💙… https://t.co/UqcnW7mD6y"
1603940169727385600,RT @bigguccicraigy: this the clearest chief keef picture of all time
1603922873499799552,@peppapig There is always room for Queen Peppa on our playlist 😌
1603842629069930496,"RT @OurFrequency: 10 new, must-have songs — no searching needed 🔊 #FrequencyFriday

feat. @flolikethis @YoungDolph @littlesimz @DoubleLambO…"
1603823140852961280,@fakeshoredrive @ChiefKeef had to do it for the legend
1603817614077206533,Tap in with your inner baddie w/ our new @NTWRKLIVE collab celebrating the #FeelinMyself playlist! Enter on the NTW… https://t.co/yab43RIm33
1603797110113067008,Sosa is bringing new life to the classic that started it all. Finally Rich the Complete Edition is out on Spotify!… https://t.co/3yPz4a4UXa
1603785780752777217,You can find @50cent in the club... the #BillionsClub that is 🔥 In Da Club is officially 1 Billion streams! https://t.co/hbMaPRbkJE
1603771436220416001,Concert people... what's the best show you saw this year? 👀
1603767411756650496,RT @SpotifyUSA: You won't want to miss the new single from @UncleSego 🔥 You Never Visit Me is out now https://t.co/HIFY6EICQM https://t.co/…
1603761357974913024,"Hear the magic of #WhitneyHouston new, classic, and reimagined with the soundtrack from the film I Wanna Dance with… https://t.co/5IGbMTCjIA"
1603759684422455296,The wait is over! @SUICIDEBOYS DIRTIESTNASTIEST$UICIDE is here https://t.co/5peVlFnZRK https://t.co/FyFuKu7RQX
1603463198014742528,RT @OurFrequency: Who are you putting on repeat today?
1603434739800723458,@abnerz_ ooof yes 👏
