name,text
1604637989837185027,"We're just trying to keep it cool while we jam out to @OHGEESY's newest song #1stDayofSchool 😎 📝

🎵🔗:… https://t.co/DFsPyflP6t"
1604320625274900481,"The winter vibes @aligatie gives us in #WalkOutThatDoor are ✨elite✨   

🎵 🔗: https://t.co/qXPaAZVdaF https://t.co/NCOSoiIAFh"
1604300521984212998,"This may be an #OrdinaryWorld but this is no ordinary performance from @adamlambert 😍 🖤 

🎵 🔗:… https://t.co/VAwQSFwvfV"
1603962787377684480,"Looking for a low-key night song? #CentralCee's got you covered with #LETGO 🔥 🙌 

🎵🔗: https://t.co/zTDreb6f17 https://t.co/NZWXPjMfDu"
1603896687604424704,We still can't believe @crashadamsmusic  were able to track down @realkingvvibe and record #Destination with his fr… https://t.co/bRojKY6cKz
1603852825976573959,Looking for the perfect last-minute holiday gift for the music lover in your life? @chaptersindigo has got you cove… https://t.co/ndz1RtFIiY
1603841367356362752,"RT @w_network: Get into the spirit this holiday season with the perfect holiday music playlist! 🎄 🎵 From W Network and @WarnerCanada, enjoy…"
1603172593049141250,"Just when we thought we couldn't get enough of #Destination, @crashadamsmusic gave us an acoustic version 😍  

🎵 🔗:… https://t.co/8tp2RYTAaU"
1602761780002004992,@Jenticing @breland @baileyzimmerman Amazing!! 🤠
1602733846528655364,What artists did you discover in 2022?
1602048142463176706,Raise your hand if you have listened to #astudyofthehumanexperiencevolumetwoandahalf and are obsessed with it 🙋 🙋 🙋… https://t.co/Z3Z0sgne39
1601982480491462657,"#SLAYER is 🔥🔥🔥 @JustJohnForReal 

🎵🔗: https://t.co/lY7wNV2aHn https://t.co/jbZn3cuSbF"
1601782956380639233,"New @ArtistHBTL album &gt;&gt;&gt; literally anything else

🎵 🔗: https://t.co/xBp88F59Rl https://t.co/8KnQFHdkaM"
1601339747401699329,"🚨THIS JUST IN🚨 In case you haven't heard #TheNews, @paramore's new song is now available for streaming 😜 

🎵 🔗:… https://t.co/0fH1M36zaI"
1600960161648091148,Who are you excited to see live in 2023?
1600146094054252544,RT @Nickelback: We’re having a holiday give-away contest! Grand Prize winners will receive a holiday gift pack + 2 tickets to a show near y…
1598770145287028736,Which Warnerfest would you go to? 🎶✨ https://t.co/2ZM622FeJp
1598523418785320961,"RT @paramore: The News. 12.8.

Pre-save our upcoming album ‘This Is Why’ out 2.10. https://t.co/nFVfQB0JkC https://t.co/pvUe7K59rB"
1598142842995707905,"Happy #SpotifyWrapped Day to all who celebrate 🎵 

Who were your top artists this year?"
1597986182440574977,RT @Much: Making your day better with this clip of #OmarApollo performing in #Toronto last night ✨ https://t.co/iqRTmnY4OX
