name,text
1601472973458001921,"https://t.co/SWDQcSNWrf
Witness the other side of Kaka!💞 The romantic melody of 'Didaar' by #KakaJi is out now on T… https://t.co/5whtLx24jo"
1594638216296292352,Sensual and hot! Naina Pech Ladaayen's amazing teaser will be out tomorrow on Times Music😍🔥 #StayTuned… https://t.co/f1ciKZ6e04
1591402173619122177,"https://t.co/TZBbXHXZyV
1.5 Million+ views of the dreamy and beautiful wedding song 'Tu Mera Banja' on YouTube!💞 Th… https://t.co/kA8l3myBrl"
1590595174044164097,"https://t.co/TZBbXHXZyV

The mesmerizing melody of 'Tu Mera Banja' is out now on Times Music! 💞
#vivekhariharan… https://t.co/SY9qecE0KA"
1589866778427285509,The swooning teaser of the lovely wedding song 'Tu Mera Banja' featuring Kanika Mann &amp; Umar Riaz is out now on Time… https://t.co/vh2D491BBB
1589533878938927106,RT @realumarriaz: The scintillating wedding song 'Tu Mera Banja' featuring Kanika Mann &amp; Umar Riaz is dropping soon on Times Music! Teaser…
1589516811502243841,The scintillating wedding song 'Tu Mera Banja' featuring Kanika Mann &amp; Umar Riaz is dropping soon on Times Music! T… https://t.co/ZQtfnOl73A
1579688342694006784,Times Music wishes the very handsome and talented @kkundrra a very Happy Birthday!❤️ Best wishes to you on this spe… https://t.co/gQlIlnw6d9
1573201481603649536,Check out the gripping teaser of #TeraYaar by #Kptaan ft. #StraightBank!🔥😍 This amazing track is releasing on 26th… https://t.co/LN9Zz5Io8o
1572088716138811394,"RT @DeedarKaur: Gussa hoya na karo, muh phulaya na karo 😉 
#Gussa is out now on @TimesMusicHub 
Show some love, guys!
#kpmusic #preetsingh…"
1571841188810072067,"RT @DeedarKaur: Sweet as sugar, hard as ice😉💃🏻 
Just one day to go! 'Gussa' is releasing tomorrow on @TimesMusicHub 😍

#Gussa #newsongalert…"
1570741654226870273,"RT @DeedarKaur: Check out the teaser of my new song 'Gussa' 😍 Releasing on 20th September 2022 on @TimesMusicHub

#kpmusic #preetsingh #cho…"
1570444022577238018,"RT @DeedarKaur: My new single 'Gussa' is dropping on 20th September 2022 on @TimesMusicHub 
#kpmusicindia #preetsinghbhullar #choreographer…"
1570028456649576449,"RT @DeedarKaur: Do yourself a favour, take a moment and savour 😉💃🏻 
My new single 'Gussa' is coming soon on Times Music!✨
#kpmusic @preetsi…"
1569247836759552001,"RT @MikaSingh: Aisi ki taisi Enjoy the full song..https://t.co/nfu4rBvfaV.
#JahaanChaarYaar @ReallySwara @MikaSingh @TimesMusicHub https://…"
1568839012252778501,"RT @DeedarKaur: And the adventure begins soon! Only one day to go for a song that will take you on a joyride, 'Aisi Ki Taisi' by @mikasingh…"
1568137500203548672,"RT @ZeeStudios_: All set to do the bhangra? 🕺🏻🥁🎊
#SaareTaare is out on the official YouTube channel of @TimesMusicHub , listen to it now!🎶🎧…"
1567403471946629120,"@ZeeStudios_ @akhilofficial01 @BajwaRubina24 Listen now!
https://t.co/F7WGVEWNrQ"
1567403252966096896,"RT @ZeeStudios_: Lives fall apart when the hearts are broken.💔
The soul-touching track of #Zindagi is out.
Tune in to the official YouTube…"
1566684426230046720,"RT @Pooja_Chopra_: Get ready to groove with us on the festive song of the year #MeriPatliKamar, out now on Times Music!🔥😍

https://t.co/lPa…"
