name,text
1604628848473169921,Bah Humbug 🎄 👎 Not in the holiday spirit? We've got your anti Christmas playlist https://t.co/LeFCypyp3N
1604600158028808193,"#ThisDayInMusic Wild Honey by @TheBeachBoys was released 🗓 
https://t.co/BbGTYlsCkP"
1604569446852460545,"Happy 21st Birthday to the singular talent that is @billieeilish 

Her music has evolved from Soundcloud introspect… https://t.co/jashgytOvn"
1604527184324034561,"Today we celebrate the first night of Hanukkah 🕎  From traditional tunes to offbeat comedy numbers, the 25 best Han… https://t.co/wCHoXi53gb"
1604493696770183168,"For @officialKeef’s birthday today, we’re celebrating with the greatest guitar licks by the man they call the Human Riff👇"
1604252097238536192,"Widely-respected drummer Dino Danelli, an original member of soul-infused 1960s New Jersey rockers the Rascals, has… https://t.co/oXrTQpEFY3"
1604193415377211392,.@Cian_ducrot has shared some festive comfort with his fans in the form of a cover of “Hallelujah” and a “Sad At Ch… https://t.co/I6Zh5tVsOw
1604131057216786433,"Whether it’s a traditional or modern song, the best Christmas carols are seasonal classics that never get old ✨  He… https://t.co/CzJ69Hv1AP"
1604114449861844995,"Released as the first taster from the ‘Prism’ album, ‘Dark Horse’ revealed that @KatyPerry was committed to taking… https://t.co/bX0YCRGzGC"
1603894239317950467,Happy Birthday to ZZ Top’s @BillyFGibbons. Hear the Blues and rock legend tell the story of performing to an audien… https://t.co/kuyTthD6HO
1603882784287621120,"As their music became more complex, #SteelyDan turned to a murderer’s row of session giants who helped make their s… https://t.co/WdFlySBE9q"
1603877381827170304,"@BIRDMAN5STAR and Juvenille are back! 🎧 to their new single 'Ali' 
https://t.co/jpX1M8ewkV"
1603875791372050432,".@kendricklamar seeks treatment with Helen Mirren playing his therapist in his new “Count Me Out” video 🎥
https://t.co/dV4Ho2oldv"
1603862287969837069,"Two esteemed country and pop hitmakers and fellow inductees of the Country Music Hall of Fame, Brenda Lee and Ray S… https://t.co/NzcNDKr4E7"
1603858043950665728,"Offering hints as to where @Nirvana could have gone next, ‘MTV Unplugged In New York’ remains one of the greatest l… https://t.co/NdvEqmCmdb"
1603846944631230477,".@KISS, @MotleyCrue, @DefLeppard, and more will headline #Hellfest 2023 🔥 

More details on lineup 👇   
https://t.co/W44e1FmuIw"
1603842071567036416,The video is the fifth and latest installment of @Megadeth’s epic multi-part short film revealing the origins of th… https://t.co/t3L80L3jr1
1603831607227449370,"Last night, The White Buffalo stopped by ‘Jimmy Kimmel Live!’ for a late-night performance of the new single “C’mon… https://t.co/yufCDQRjeO"
1603824789948342272,"Luke Grimes, the star of TV’s top-rated #Yellowstone, has released his debut country song “No Horse To Ride”
https://t.co/tZVv7P880Z"
1603819849108553737,".@SelenaGomez will team up with former Georgia state representative Stacey Abrams for a new music documentary.
https://t.co/rD6ExjKGow"
