name,text
1604809178396098560,"Honesty is the best policy, @AnderHerrera! 😅

#MUFC || #UTDPodcast"
1604801489918197763,"You'll come back stronger, Rapha ❤️

#MUFC || #WorldCup https://t.co/bxL4E7XOWI"
1604784606409916417,"The goal that launched a thousand memories.

👑 King Eric's first for United, #OnThisDay in 1992...

#MUFC || @TeamViewer"
1604758721552388096,Morning. https://t.co/M4a9SIzekj
1604712380105105409,"📅 The Reds are back in action this week 🙌

#MUFC || #MondayMotivation https://t.co/jOer8UilVA"
1604553945568854016,L I C H A 🏆 https://t.co/ha5D7rgP1Y
1604542038716088321,"Huge commiserations, @RaphaelVarane 🙏

You’ve done your country, your club and your family proud throughout the tou… https://t.co/2hxwWFqXw8"
1604538634429902848,"On top of the world 🌍🏆

🇦🇷 @LisandrMartinez

#MUFC || #WorldCup https://t.co/eBjoJq5sJQ"
1604537002023473153,Lisandro Martinez is a #WorldCup winner 😍🇦🇷
1604476577508519936,"Whatever happens, we're proud.

May the best man win.

#MUFC || #WorldCupFinal https://t.co/RYLk1tk2b7"
1604468775117430784,"🇦🇷 Argentina or France? 🇫🇷

#MUFC || #WorldCupFinal https://t.co/6BkjLlKTeg"
1604459212066660357,"Ready for a #WorldCup showdown ⚔️🏆

⚽️ @adidasFootball

#MUFC"
1604449686982725632,"Sending good luck to @ManUtdWomen in our final match 2️⃣0️⃣2️⃣2️⃣! 🤞🔴

#MUFC || #MUWomen https://t.co/CswQ5DarWv"
1604416933960376320,"🌟 It's your time to shine. 

Wishing you both the very best of luck, @LisandrMartinez and @RaphaelVarane ❤️

#MUFC… https://t.co/HbJb5R0idj"
1604410138663612416,"Wishing a happy #Hanukkah to those of you starting your celebrations today! ❤️

#MUFC https://t.co/Nwu5Qf91tG"
1604399569072115712,"1️⃣8️⃣ // 1️⃣2️⃣ 

@Casemiro x @TyrellMalaciia 

#MUFC https://t.co/nPH2HwmwZ9"
1604330111368675330,"Represent the Reds 🔴
Any time ⏰
Any place 🌍

#MUFC"
1604211580387852288,"One final shot at glory 🔜🏆

⚽️ @adidasFootball

#MUFC || #WorldCup https://t.co/l812aT2zEl"
1604174589155647489,"1️⃣ Unlock an Ultra Rare 🔑
2️⃣ Become a United legend 👑

Powered by @Tezos and brought to you by Tezos ecosystem co… https://t.co/aaBv8JuMje"
1604142877566636032,"Stay warm. Stay United. 🧣🔴

#MUFC"
