name,text
1604804990433755136,"🧱

#ABECEL | #cinchPrem | #COYBIG🍀 https://t.co/yneRsICWDu"
1604802269932929027,"🍀 The Bhoys are back in domestic action at Celtic Park for #CELLIV!

For supporters who can’t be there, you can tun… https://t.co/F22Gn8zqkC"
1604786116237803520,"GT🥰

#ABECEL | #cinchPrem | #COYBIG🍀 https://t.co/UTpBcmV9o1"
1604784040325701634,Celtic Soccer Academy’s first block of Weekly Skills Schools for 2023 are available to book online now – a perfect… https://t.co/OBwFc834BK
1604778570483609601,"🎅 Dafabet Festive Giveaway Day 5!

🎟Win 1 of 5 pairs of VIP tickets to the Dafabet Lounge with hospitality for… https://t.co/CbD8YCvVSN"
1604771017833840641,"On Repeat 🔁

😍 The scenes in Pittodrie! 

Watch @CelticTV's Unique Angle of Callum McGregor's late winner  ⤵… https://t.co/rskUFt5LZD"
1604763474889826304,"🧤

#ABECEL | #cinchPrem | #COYBIG🍀 https://t.co/8MGV3kJgl7"
1604748373080215553,"🎄 #CelticAdventCalendar Day 19! 🍀

@CelticFCWomen's #19 @livfergusson is next up on our 25 days of Celtic! 🎁… https://t.co/EzC3HfwzmK"
1604540749516746753,Happy #Hanukkah from Liel Abada and everyone at #CelticFC! 🕎🍀 https://t.co/awTmBuhJns
1604487901106118657,"🗣 ""That’s who we want to be as a team. It also goes for our football. We want to play a certain way and through tha… https://t.co/hPfwdcZKy5"
1604431280854163456,"🗣 ""It was excellent, and personally to get the goal was brilliant as well. But it’s all about the team and getting… https://t.co/FvZ3KnNidG"
1604405340166127619,RT @CelticFCWomen: ⚠️ Unfortunately today's match against @MotherwellWomen has been postponed following a pitch inspection. Further details…
1604401245187444737,"RT @CelticTV: 😍 The scenes in Pittodrie! 

Watch @CelticTV's Unique Angle of Callum McGregor's late winner now ⤵

#ABECEL | #cinchPrem | #C…"
1604385980475138049,"🎄 #CelticAdventCalendar Day 18! 🍀

@CelticFCWomen's #18 Caitlin Hayes with a bullet header! 💥

#ShareTheMagic✨ https://t.co/rY7hxzalk2"
1604191136477691904,"RT @FoundationCFC: Our new Appeal T-shirt, which pays tribute to the legendary Billy McNeill is still available to purchase online or in th…"
1604172522668249088,"🇭🇷🥉 Congratulations to Josip Juranović &amp; @HNS_CFF on their Third Place finish at the #FIFAWorldCup! 🙌

#CelticFC🍀 https://t.co/9dgywW1NLB"
1604159490714107906,"💚+3!

#ABECEL | #cinchPrem | #COYBIG🍀 https://t.co/priMKAnKsN"
1604142407662157829,"💬 ""I thought we got the rewards we deserved.""

On the match with Ange Postecoglou 📽

#ABECEL | #cinchPrem | #COYBIG🍀"
1604138918739337217,"🗣 ""The character and resilience to go right to the end was brilliant.""

On the match with today's match-winner Call… https://t.co/BMUzheLOXd"
1604134204756877313,"🗞 Match Report: McGregor caps return to action with stunning winner at Pittodrie! 💚

#ABECEL | #cinchPrem | #COYBIG🍀"
