name,text
1605657182002941954,@FIFAWorldCup 🇺🇸 The @USWNT leads the way on the #FIFAWWC side... https://t.co/9Y28E8i3eI
1605656600177479712,"RT @FIFAWorldCup: What will this list look like after the #FIFAWWC in 2023? 🤔 

#FIFAWorldCup https://t.co/b2KVvQ4YwH"
1605558637971312641,"Sleek from @itscarolineweir. 😮‍💨

@ScotlandNT | #FIFAWWC https://t.co/qBfbePRbkw"
1605546896050659330,@mayapapaya319 A moment! 🇺🇸😍
1605540816960856065,What is your first #FIFAWWC memory? 💭
1605215322650210304,@equipedefranceF So looking forward to it! 🔥
1605187206305710080,Describe Alexia Putellas in one word... GO! 👊
1605134259915821056,A strong selection from @Ebony_Salmon! 💪 https://t.co/bLvyvrBzX0
1604902391068839936,"RT @FIFAWorldCup: 2022 🤝 2023

#FIFAWorldCup done. #FIFAWWC here we come! https://t.co/3AyW8ZbkwL"
1604884789282340864,POV: realising you have 213 days to wait until the #FIFAWWC 2023 starts... 😱🤣 https://t.co/K9pOkvXndl
1604826662939594752,"@VivianneMiedema @bmeado9 Wishing you a speedy recovery. You’ve got this, @VivianneMiedema! 💪🧡"
1604811155083599873,"Next up: #FIFAWWC 2023! 😁

See ya there! 👋 #BeyondGreatness"
1604551472301195266,Ps. Can't wait for the #FIFAWWC 2023 now! 🤩
1604551016967446529,"#FIFAWorldCup Champions! 🔥 

Congratulations, @Argentina! 👏 https://t.co/e2JpsLsI07"
1604467768572755968,"That trophy lift feeling! 😍

Who will be crowned #FIFAWorldCup champions today? https://t.co/Pq7HsvGtKw"
1604436896687345664,RT @FIFAWWC: Who's going to win the #FIFAWorldCup final? 👀
1604436806186975234,"On the final day of the #FIFAWorldCup, we’re throwing it back to some classic #FIFAWWC final moments! 🙌🎞 https://t.co/1p5qQ0wwCk"
1604204743706148864,Who's going to win the #FIFAWorldCup final? 👀
1604137089754357761,"On the eve of the #FIFAWorldCup final, we take a look back at some of the best goals in #FIFAWWC history. 🍿

Let us know your favourite! 😁"
1604099341215416322,"Who's qualified for the #FIFAWWC 2023? 🤔

@dbulandshold's Sofie Bredgaard and Amalie Vangsgaard have got us covered… https://t.co/9klHQiO26P"
1604041711042367488,"Pure power and precision. 👏

Happy birthday, @Jackie_10_! 🥳"
1603814211989037056,"The three young players to look out for in 2023 are: 
1. ___________
2. ___________
3. ___________

#FIFAWWC #BeyondGreatness"
1603715300754657280,"Further information can be found here. ⤵️
https://t.co/JUWvXIsJxZ"
1603702367295242241,We have some exciting news... 🤩 https://t.co/XN54kflrcJ
1603678774217871362,"30 seconds of @LiekeMartens1 on her 30th birthday! ✨

Have a great day, Lieke! 🥳 https://t.co/8H6KRYGnEy"
1603445526535573505,Guess who? 🧐 https://t.co/PgTqrKl2yZ
1603357069545033732,"@ellsbells89 Congratulations, Ellen! ☺️"
1603331711315562502,The zombie apocalypse is coming and the @Lionesses... seem to not be ready for it? 😅🧟‍♀️ https://t.co/bm5vzftUfY
1603104833120116739,"Who doesn't love a good nutmeg? Wait for that slo-mo... 😮

Aline x @SelecaoFeminina 🇧🇷 https://t.co/bg8NGV82sI"
1603043455160225794,Who has been the best goalkeeper of 2022? 🧤
1603017507157250052,"Stream ‘Life in Spain’ on FIFA+ here ⤵️
https://t.co/jBYQyFFaHt"
1603017325816455170,"A woman on a mission. 😌

Get to know @HonokaYonei’s journey in Spain and how she's fighting to take @SDEibar back t… https://t.co/wjtxy5kPeb"
1602691044004560899,"This 5-a-side team would be 🔥! 

Top picks from @ALudmilaSilva. 👌 https://t.co/jB0qLIWvCO"
1602636399697694720,"RT @FIFAWorldCup: Who will be #TheBest? 🏆

🗓️ 27 February 2023 https://t.co/tNZYrk2YIF"
1602604250890211328,"RT @FIFAMuseum: History in the making! 

Stéphanie Frappart became the first woman to referee a match at a @FIFAWorldCup in #Qatar2022  

N…"
1602311903417667587,"Congratulations on an incredible career, @Fischer_Nilla! 👏

Thank you for your contributions to our game and wishin… https://t.co/bn3qP0ACTG"
1602278271613370370,"RT @FIFAcom: Just over seven months to go until #FIFAWWC 2023! 🏆🇦🇺🇳🇿

As #Qatar2022 comes to its final stages, FIFA's Chief Women's Footbal…"
1602263343561150464,"Team base camps across Australia and Aotearoa New Zealand have today been confirmed for the #FIFAWWC 2023! 🏡

Each… https://t.co/v0eNqFHExy"
1602015862684209152,"Tickets for the #FIFAWWC 2023 are on sale! 🇦🇺🇳🇿

Get yours now. 😁 #BeyondGreatness"
1601509022615490565,"""We're not at our peak yet but we're heading in the right direction."" - @DFB_Frauen coach Martina Voss-Tecklenburg.… https://t.co/46LNowJjoR"
1601283957529923584,"Stream ""Champions"" for free on FIFA+ here. ⤵️
https://t.co/f1kL5xqM5m"
1601283749098184704,"""When I set myself a challenge, I do it also for him."" 

Remarkable resilience and strength from Alexia Putellas. 🙏… https://t.co/gHfwij7s0n"
1601141936718761985,"See the latest #FIFARanking in full here. ⤵️
https://t.co/5QVyhaXPjD"
