name,text
1605649296648310784,"RT @JuventusFCWomen: FT | ⏱️|  A draw isn’t enough as we bow out of the UWCL group stage. 🥺✨

#OLJuve https://t.co/DL7rm4al2z"
1605645834246299648,RT @JuventusFCWomen: LB18 🐝 https://t.co/0VtL15jMb8
1605633358238711831,"A final performance worthy of a champion 🏆

Unlock Di Maria’s Team of the Tournament item in #FIFA23 now!… https://t.co/5YYdjA6rf3"
1605633160108179477,"RT @JuventusFCWomen: HT | ⏱️|  Goalless at the break. We’ll be out even hungrier in the second half. 💪

#OLJuve https://t.co/i25kqGFUu2"
1605620776727506945,"RT @JuventusFCWomen: 1' | 🚥 | FOR A SPOT IN THE QUARTER-FINALS! FORZA JUVE💪✨

#OLJuve (0-0) https://t.co/tcIHlfNN6S"
1605620720997789696,"RT @JuventusFCWomen: Almost showtime! ⚽️💪

#OLJuve https://t.co/GQ3xYPjiiS"
1605616524361859102,"RT @JuventusFCWomen: 👊 Under the Lyon lights 💡

#OLJuve https://t.co/jaSyhBxydf"
1605611001377742863,"RT @JuventusFCWomen: Motivation levels 💯🔥

#OLJuve https://t.co/rXBg7k3vkA"
1605603103562092561,"RT @JuventusFCWomen: Checking into tonight’s location! 🏟️✨

Dressed by #LoroPiana 

#OLJuve https://t.co/YDdXht4A1V"
1605600644773007362,"RT @JuventusFCWomen: 📝✨𝙊𝙪𝙧 𝙓𝙄 ⚪️⚫️

#OLJuve https://t.co/p15apdR1vY"
1605598776915218436,"RT @JuventusFCWomen: Our heroes are here! ⚪️⚫️

👌 Dressed by #LoroPiana

#OLJuve https://t.co/kx6bR9ErW5"
1605592309814284288,"RT @JuventusFCWomen: Locker room look! 👀

#OLJuve https://t.co/NGDOjzCiHX"
1605589360778280960,Juventus are set to take the field again for their friendly against Croatian side HNK Rijeka tomorrow at the Allianz Stadium. 🔗👇
1605586513504440323,RT @JuventusFCWomen: The lowdown on #OLJuve in numbers 🔢🗞️
1605578846857678848,Catch Thursday's friendly encounter against Rijeka LIVE and free on JuventusTV 📺⤵️
1605563746138566656,"""My lips are going nowhere today!"" 🤣

So close, Filip! 🤏🥅 https://t.co/ecKEPU7Xbf"
1605526625537376257,"RT @JuventusFCWomen: 𝙒𝙚 𝙗𝙚𝙡𝙞𝙚𝙫𝙚. ✨ 𝙁𝙞𝙣𝙤 𝙖𝙡𝙡𝙖 𝙛𝙞𝙣𝙚. 💪

#OLJuve https://t.co/bpyUNNWRP1"
1605518447798009856,"There was definitely ice in @Trezegoldavid's veins 🧊

#GoalOfTheDay https://t.co/8Js8mvizHh"
1605503349574356992,"🚩↔️⚽️

@locamanuel73 https://t.co/6fRCRA75GI"
1605496339256578048,This team 😍🤍🖤 https://t.co/LsZSFjT6Ch
1605495795058446336,"🎮 Juventus Dsyre!

Introducing our brand-new eSports team, which was presented at the final event of the eSerieA TI… https://t.co/VsqKvNVj9c"
1605488692620992512,"RT @JuventusFCWomen: 𝙻𝙴𝚃'𝚂 𝙺𝙴𝙴𝙿 𝚃𝙷𝙴 𝙳𝚁𝙴𝙰𝙼 𝙰𝙻𝙸𝚅𝙴! ✨💪

#OLJuve https://t.co/4599QmyjPp"
1605312359756484609,RT @JuventusFCWomen: 🎥 The day before #OLJuve… 🏃‍♀️🚍🏟️🎙️ https://t.co/528McwXC1w
1605297097112449024,"RT @JuventusFCWomen: Getting familiar with the field 🏟️✨

#OLJuve https://t.co/pV0Uio2nGo"
1605276856617521163,📹 Watch the Bianconeri’s Tuesday workout as preparations continue ahead of the Serie A re-start 🙌
1605246660266844161,Full-speed Filip 🇷🇸💨 https://t.co/9IwCNCZQF7
1605239104261734401,A double Tuesday workout for the Bianconeri ahead of Thursday's #JuveRijeka ✌️
1605231558964563969,"😃🇵🇱

Great to have you 🔙, @arekmilik9 &amp; @13Szczesny13 🙌 https://t.co/pUkpQNG7YM"
1605208903846805504,Blink and Barbieri's gone! 🌪️⚡️💨 https://t.co/QnMFBKnvYZ
1605208138700972033,@JuventusFCWomen S̷h̷o̷w̷ Snow time! ❄️😅
1605200113743405056,"Bon voyage, ladies! 👊 https://t.co/R20jNXye33"
1605178794658103296,"RT @JuventusFCWomen: The Bianconere leaving for Lyon ✨📝

#OLJuve https://t.co/FJdSdOXtmd"
1605156055159283714,"Hat-trick hero Pipp⚽️⚽️⚽️!

Can you remember which season #OnThisDay he scored these three 🆚 Salernitana? 🤔 https://t.co/WW9mckfWcv"
1605145537765933056,"@NKRijeka See you on Thursday, @NKRijeka 🙌"
1605141839748775936,Ready for Round 2️⃣ tomorrow @JuventusFCWomen 👊 https://t.co/rs8a7hMSMF
1605125858615771136,Tek continuing right where he left off 🧤❌ https://t.co/E8cFRXehB3
1604917493499396098,"We’ve lined up two more friendly fixtures before 2022 comes to an end! 🤝

Full details ⤵️"
1604884265090527233,As cool as you like from @CarloPinsoglio1 🥶 https://t.co/SbOPJr0Lm9
1604868276781211649,Back to work for the Bianconeri following the weekend's friendly win over Arsenal 🏃‍♂️
1604861832166006784,"Samuel Iling-Junior extends his contract until 2025, and is promoted to the Juventus First Team ⚪⚫

Congrats, Sam! 👏"
1604846704297115648,RT @JuventusFCWomen: With this energy into a new and important week! 💪⚡️ https://t.co/bmpZLrWwng
1604842144467935234,"Hi guys! 👋

And a shoutout to our #FIFAWorldCup winners! 📢🇦🇷 https://t.co/qNN6rFDtik"
1604839345013542913,"Almost, Nico! ❄️😂 https://t.co/ibPadbjRBN"
1604823864831262725,Future stars ✨ https://t.co/JjUfwvb26X
1604808743593680898,RT @JuventusFCWomen: Shovelling snow ❄️ and an avalanche of goals ⚽️⚽️⚽️⚽️⚽️
1604793669168599041,"Many happy returns, Renato! 🎉 https://t.co/8Kj6laeK6r"
1604778570194112524,"Juventus, the club with the most #FIFAWorldCup winners! 🏆

Find out who all our 2️⃣7️⃣ champions are 🌟⤵️"
1604763469655396353,"Angel Di Maria becomes the first player in history to score in a:

🎯 Olympic Games final
🎯 Continental Cup final
🎯… https://t.co/ZLI9S0qjQn"
1604559523221577728,Do you know all the other 25? 🤔⤵️
1604559296796180480,"Juventus is the club with the most World Cup winners, with Angel Di Maria and Leandro Paredes now making it 2️⃣7️⃣… https://t.co/pfK7MwiPlT"
1604549835545120769,"Proud of you, Adrien 💪🤍🖤 https://t.co/TlzJLC86uC"
1604544073393754112,Our #FIFAWorldCup winners! 🤍🖤 https://t.co/d0kkylVUgY
1604535691538726913,"ANGEL AND LEO ARE #FIFAWorldCup CHAMPIONS! 🤍🖤🇦🇷

Congratulations, @Argentina! 👏🏆 https://t.co/r1y3XB7IoR"
1604505239008206851,"🫶🥳

#FIFAWorldCup https://t.co/7fj39ADGoT"
1604501018041274369,"GGGOOOOAAALLLL!! 🫶

Di Maria on target for @Argentina in the #FIFAWorldCup final! 🇦🇷👏 https://t.co/o8zCC1UzJ1"
1604476582428438528,On opposite sides… but only for the #FIFAWorldCup final 🤍🖤 https://t.co/a5ZZiIL1t2
1604453928812281856,🇦🇷 @mati_soule showing his support for his compatriots! 💪 https://t.co/Hz97eTWFSC
1604446380533104640,🇫🇷 @paulpogba with a message of support for Adrien and France! 🤜🤛 https://t.co/DUwNcTwKjU
