name,text
1605655044115861519,"📹🔴🔵

Inside of the win 🆚 @QRM this Wednesday at Camp des Loges (3-1). https://t.co/UZE26Q1H4Q"
1605637803722670080,"🔙 This start of the week, the Parisians are preparing for the second part of the season. 🔴🔵

🔜 #PSGRCSA https://t.co/eGur4RHYlN"
1605637647178690561,.@AchrafHakimi's returns to the Camp des Loges! ❤️💙🔙 https://t.co/JnLwJLsfnD
1605606762588971008,🔙 @KMbappe was already back at the training center this Wednesday to prepare for the 2nd half of the season! 💪❤️💙 https://t.co/KFnxGgdgf7
1605606560037740544,"📹⚽️ #PSGQRM

The highlights of the Parisian victory 🆚 @QRM in a friendly. 🔴🔵 https://t.co/Up3RtvPZJK"
1605593433891954688,Which is your favorite? 🔴🔵
1605592823037718530,"🔝⚽️ 𝐒𝐤𝐢𝐥𝐥 𝐨𝐟 𝐭𝐡𝐞 𝐦𝐨𝐧𝐭𝐡 with @cryptocom 🔴🔵

It's time to vote for your October/November skill of the month 🗳⤵️ https://t.co/ReujRi3dUo"
1605581608127340544,"✔️⚽️

A 3-1 victory 🆚 @QRM (3-1) today! 

https://t.co/B6D2vAh7Jb"
1605576672086048771,👋 @AchrafHakimi is also back at the training center today! ❤️💙 https://t.co/bqIMCpJtio
1605548724070912000,"3⃣-1⃣ win in today’s friendly against @QRM! ⚽️ 

#PSGQRM https://t.co/cKaFNV5H7q"
1605537728849854465,"⏱️ 51'

Two goals for Ilyes Housni! ⚽️⚽️

#PSGQRM 3⃣-0⃣

https://t.co/OJyZxpjWyy"
1605536224399220736,"Back underway! 🔛⚽️

#PSGQRM 2⃣-0⃣"
1605533635217686530,"The Parisians lead 2⃣-0⃣ against @QRM at the break in today's friendly ⏸️

#PSGQRM"
1605528898166472704,"⏱️ 30'

Ilyes Housni makes it two! ⚽️

#PSGQRM 2⃣-0⃣"
1605524310415794177,"⏱️ 14'

Ismaël Gharbi opens the scoring! ⚽️

#PSGQRM 1⃣-0⃣"
1605521517453926401,"We're underway #PSGQRM! 🔛⚽️

📺 Watch with #PSGTV Premium: https://t.co/OJyZxpBxX8"
1605516034907275264,"Warming up ahead of #PSGQRM! 🔜

📺 Watch live on #PSGTV Premium: https://t.co/OJyZxpBxX8 https://t.co/22MWGmhELT"
1605512094157250560,"#PSGQRM coming up on #PSGTV Premium! 📺🔴🔵

https://t.co/a7KIk1VTtz https://t.co/OFxTKViOd3"
1605505719108878338,"📋 The starting XI 🆚 @QRM
 
🕦 KIck-off at 12pm CET | #PSGQRM 

📺 Watch with a #PSGTV Premium subscription:… https://t.co/nSz1Khl42Q"
1605504979036512256,🔙 Reunion between @KMbappe and coach Christophe Galtier 🔴🔵 https://t.co/uGWg4eKdoQ
1605492269204676608,🔙 @KMbappe is back in training! 💪 https://t.co/oGy8nv7lhl
1605491055184551939,"Bonjour @KMbappe! 👋☺️ 

https://t.co/Hls5EK3df7"
1605473395302285312,"⚽️ 𝐌𝐀𝐓𝐂𝐇 𝐃𝐀𝐘 ⚽️

🆚 @QRM 
🤝 Friendly game
📱 #PSGQRM
⌚️ 12:00 CET

📺 Watch the game with a #PSGTV premium subscriptio… https://t.co/gyIkCcXqtU"
1605235577963552770,👐🧤 Three youngsters from the Association Paris Saint-Germain took part in a very special training session with our… https://t.co/lZAi5bw0Rm
1605231299597254656,"🗓🎄 Parisian Advent Calendar - Day 2️⃣0️⃣ 

https://t.co/UU50xTdlAA"
1605227776776101888,"🏅❤️💙

#PSGQRM https://t.co/5pzWUkkZg7"
1605224505433116672,"🔛 @SergioRamos 
🔛 @gigiodonna1 

#PSGQRM https://t.co/lxHAjaxKfk"
1605220226819362818,"🔛🔴🔵 Preparing for the friendly against @QRM.

#PSGQRM I @qatarairways https://t.co/cLjaPYPXv6"
1605219024345993218,Paris Saint-Germain continue their mid-season preparations with a friendly at the training ground tomorrow against… https://t.co/PoqBPy18Y9
1605169357277073410,"👋 @vitinha 
👋 @Carlos10Soler 
👋 @Pablosarabia92 

🔜 #PSGQRM https://t.co/vMO6NhybCL"
1605166074181271552,"2️⃣4️⃣ 🎉

Do you have a message for our Parisian? ⬇️💬 https://t.co/e9rBJQcu2g"
1605159476419592192,🎂❤️💙 https://t.co/saoNriP5xw
1605148316857163782,🎂❤️💙 https://t.co/FxC6kX2gJT
1605148202847866881,"✨🎂 Happy birthday, @KMbappe! ❤️💙 https://t.co/8ETOr60yxm"
1604930529027010561,"❤️💙

The match #PSGRCSA will be dedicated to the beneficiaries of the @FondationPSG!

https://t.co/WrrQqugVnG"
1604930226689024008,"🔙❤️💙 Several players returned to training Monday.

⚽️ @Carlos10Soler, @vitinha and @Pablosarabia92 to the pitch. 
🚲… https://t.co/For3Tsfqbb"
1604845290145579010,"🗓🎄 Parisian Advent Calendar - Day 1️⃣9️⃣

https://t.co/ONfOzmogmn"
1604794433844699136,"President Nasser Al-Khelaïfi with World Cup champion Leo Messi. ❤️💙

🏆 #FromParisToQatar https://t.co/5GBCAA40Qx"
1604549177966563329,"3️⃣ goals in the final, 8️⃣ goals in the competition, well done @KMbappe, top scorer in the World Cup! 👏❤️💙

🏆… https://t.co/pwU2ApEtP5"
1604545593501966337,"You put your mark in this World Cup with your talent. You can be proud. ❤️💙

🏆 #FromParisToQatar https://t.co/9P5HlXsTRn"
1604536590541488140,"⌛️ What a final! Bravo Leo Messi, thank you @KMbappe for a great final. You have  both been heroic. ❤️💙

🏆… https://t.co/90lfaiIv8i"
1604531821223751681,"🇦🇷3️⃣🆚3️⃣🇫🇷 - #ARGFRA 

⚽️ THREE goals for @KMbappe!!

🏆 #𝗙𝗿𝗼𝗺𝗣𝗮𝗿𝗶𝘀𝗧𝗼𝗤𝗮𝘁𝗮𝗿"
1604529717717405696,"🇦🇷3️⃣🆚2️⃣🇫🇷 - #ARGFRA

Leo Messi at the double to put Argentina back in front.

🏆 #𝗙𝗿𝗼𝗺𝗣𝗮𝗿𝗶𝘀𝗧𝗼𝗤𝗮𝘁𝗮𝗿"
1604522758834200578,"🇦🇷2️⃣🆚2️⃣🇫🇷 - #ARGFRA 

Level after 90 minutes in the World Cup Final! ⏳

⚽️ Leo Messi
⚽️⚽️ @KMbappe 

🏆… https://t.co/EnQqyQyh0v"
1604518231208648706,"⚽️ @KMbappe at the double!

🇦🇷2️⃣🆚2️⃣🇫🇷 - #ARGFRA

🏆 #𝗙𝗿𝗼𝗺𝗣𝗮𝗿𝗶𝘀𝗧𝗼𝗤𝗮𝘁𝗮𝗿"
