name,text
1605669688326791168,Hit ❤️ if you can't wait to see these two back playing together for @FCBarcelona... https://t.co/r70tr5Cc9q
1605651013716697089,"RT @LaLigaTV: ""We want to challenge for every title!"" 🏆

@FCBarcelona manager Xavi outlines his side's ambitions moving forward... 🔵🔴

...b…"
1605639741059334144,"Who's ready for another wild night at Vallecas soon enough...? 🔴⚪️

#LaLigaSantander | @RayoVallecano https://t.co/NmrPK3npTy"
1605630025419485185,"RT @LaLigaTV: ""Messi had a feeling it would go well!"" 👀🇦🇷

Argentina manager Lionel Scaloni claims he could feel something special from his…"
1605617860851556352,"RT @LaLigaTV: 🚨 𝗔𝗧𝗧𝗘𝗡𝗧𝗜𝗢𝗡 🚨

#LaLiga is back and it's coming to 𝗟𝗢𝗡𝗗𝗢𝗡!

🤩 Join us at our UK #AtletiBarça watch party! 🇬🇧

📍 @EditorsTap, L…"
1605609044516823044,"🎁 We have a 𝘀𝗽𝗲𝗰𝗶𝗮𝗹 𝗴𝗶𝘃𝗲𝗮𝘄𝗮𝘆 to celebrate the return of #LaLigaSantander...

🎟️ We are teaming up with… https://t.co/7KAM9R4Y9e"
1605601447437127680,"RT @LaLigaCorp: After success in different countries, 'LaLiga Camps'👏 comes home. 

The @ESC_Village centre in Madrid will host training ca…"
1605595846841548801,"RT @LaLigaTV: How many goals will Robert Lewandowski score this season...? 🔵🔴

#LaLigaTV https://t.co/QqoNH9GNjg"
1605579343442362372,A rampant @realracingclub #OTD... 🔥 https://t.co/hQtQU5gYry
1605548892715614208,"8⃣ days to go...

#LaLigaSantander | @NabilFekir https://t.co/N0tAqRsW95"
1605518945305464834,"🇦🇷🙏🔟 This one's for you, Diego! 

#LaLigaHistory 
#LaLigaSantander https://t.co/ohreqkzv27"
1605496295744888832,"#OTD in 2⃣0⃣0⃣2⃣ @PatrickKluivert scored a heroic hat-trick for @FCBarcelona!

#LaLigaHistory https://t.co/Qc34gDUQET"
1605473898614513664,"Not once... but twice! 😏

Who remembers this stunning brace from Antonio Guayre #OTD back in 2003...? 🤩… https://t.co/w1EIxu54St"
1605428348238172160,"📞 ＨＯＴＬＩＮＥ ＧＲＩＥＺ 📞

@atletienglish | @AntoGriezmann https://t.co/7rSm2SAqrP"
1605382798268723201,"𝙎𝙪𝙘𝙝 𝙖 𝙛𝙧𝙚𝙨𝙝 𝙛𝙖𝙘𝙚!! 🤩

2⃣0⃣ years ago today, @andresiniesta8 made his #LaLigaSantander debut for @FCBarcelona!! 🔵🔴… https://t.co/tfL8BeyMUJ"
1605337499743780864,"🤍🤩🌟

@realmadriden | @Benzema https://t.co/khmvpTaumH"
1605307552572604416,"🔫⚽️🇺🇾

#OTD @LuisSuarez9 opened his account in #LaLigaSantander... https://t.co/95ZPhqEpdI"
1605277353235529729,"🅶 + 🅰 for @Benzema.
🅶  for @lukamodric10.
🅰️ for @RodrygoGoes. 

#LaLigaSantander | @realmadriden https://t.co/YGqmDK9IpF"
