name,text
1605684826677321731,𝙁𝙤𝙘𝙪𝙨 https://t.co/gpToUmrgqt
1605684727456964618,RT @FCBfemeni: Victòria i líders de grup ✅ https://t.co/Qra5YGwtaE
1605677180154961930,Six!!!!!! 🤯 https://t.co/E4xkZASlRV
1605672401211199489,"RT @FCBfemeni: GOOOOOOOOOOOOOOOOOOOOOOL DE @marta_torre5! GOOOOOOOOOOOOOOOOOOOL DEL #FCBFEMENI! (5-0, min 50) #BarçaRosengard https://t.co/…"
1605672380583534609,"RT @FCBfemeni: GOOOOOOOOOOOOOOOOOOOOOOOOOOOOLÀS DE @FridolinaRolfo! MÀGIA D' @AitanaBonmati! GOOOOOOOOOOOOOOOOOOOOOOL DEL #FCBFEMENI! (4-0,…"
1605669441403949056,Happy Frenkie 😍 https://t.co/kfhuz0ouPq
1605666916369981442,GOLAZOOOOOOOOOOOO!!!!!!!!!! 🔥🔥🔥 https://t.co/rIy7ff5NCv
1605658835128963072,"RT @FCBfemeni: GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL D' @AsisatOshoala! GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL DEL #FCBFEMENI! (2-0, min 16) #BarçaRosenga…"
1605657584299610162,"RT @FCBfemeni: GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL D' @AsisatOshoala! GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL DEL #FCBFEMENI! (1-0, min 10) #BarçaR…"
1605656717718654995,RT @FCBfemeni: Comença el partit a l’Spotify Camp Nou! 🤜🤛 https://t.co/KZHfjJlvYD
1605654634286223374,"Great to have you back, boys! 😍 https://t.co/p6dQ6878zU"
1605638839262973963,"RT @FCBfemeni: 1⃣1⃣ #FCBFemeni OFICIAL #BarçaRosengard
💙❤ #ForçaBarça https://t.co/O3xgQLQ0SA"
1605609041908142080,🎅 'Tis the season to be jolly — even jollier with the Barça Christmas sweater
1605580606980509702,"When Ronald smiles, we all smile 😀 #wednesdaythought https://t.co/HhnqC8HCQn"
