name,text
1605688436324651008,"RT @UWCL: 🏆 #UWCL 𝐐𝐮𝐚𝐫𝐭𝐞𝐫-𝐅𝐢𝐧𝐚𝐥 line-up ✅

🏴󠁧󠁢󠁥󠁮󠁧󠁿 @ArsenalWFC 
🇪🇸 @FCBfemeni 
🇩🇪 @FCBfrauen 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 @ChelseaFCW 
🇫🇷 @OLfeminin 
🇫🇷 @PSG_F…"
1605619771009077252,"RT @UWCL: 🥰 Here. We. Go!

It's anthem time 🔊🔛 

#UWCL https://t.co/aJJkD6sxFS"
1605610297468805121,"When the first touch is magic 🪄 

#UCL https://t.co/ILTnM6Haly"
1605590164268408833,"😎 The most beautiful nutmegs of 2021/22

Some of these are too cold 🧊 

#UCL https://t.co/uQnKS3u04E"
1605563741814362115,Darwin 🤗 Mo https://t.co/qNZs9qjaVv
1605540372242890754,🕷️ x 🕷️ https://t.co/HhDev4KuVZ
1605516357184823299,"🔴 Bayern crowned Club World Cup champions #OTD in 2013!

@FCBayernEN || #UCL https://t.co/UwBCBl3wG0"
1605495427494600704,"🥰🏆

Wishing a very happy birthday to @BenChilwell! 🎈 https://t.co/cICJZLGfFP"
1605296462715564034,Campeones del mundo 🇦🇷🏆 https://t.co/xqJVt1i2V3
1605293742734594048,World Cup heroes return home. Morocco 🇲🇦❤️ https://t.co/86tajsQVCb
1605269242999447552,"🇦🇷 Watch all 129 Champions League goals scored by Leo Messi! 

📺On #UEFAtv today 👇"
1605264129115168782,Buenos Aires 🤯🇦🇷 https://t.co/8eZhfKibBv
1605263630622404608,"🔵 Happy Birthday, 2021 winner Jorgi! 

#HBD || #UCL https://t.co/WblPmPjoYQ"
1605239747315896321,"𝐍𝐚𝐦𝐞 𝐭𝐡𝐞 𝐩𝐥𝐚𝐲𝐞𝐫. Wrong answers only edition 😜

#UCL https://t.co/ZKNzazn3Ou"
1605213703020113921,"🥇 Number 8 loading?

#UCL https://t.co/jB8x4EBFor"
1605199876869980160,Di María. Champion. https://t.co/ol03Gnrv55
1605186635980840961,"Buen día! 😁

📸: @TeamMessi https://t.co/g2vN8KBIbe"
1605185056976556032,"An all-time great ✅
Ashley Cole is 42 today 🥳

@TheRealAC3 || #HBD || #UCL https://t.co/LjmS0hGfEh"
