name,text
1605682929744715783,RT @NFFC: We're through to the last eight of the @Carabao_Cup! 🏆 https://t.co/g7tCq2aP8u
1605682841140051969,"RT @ManUtd: ➡️🏆 #CarabaoCup quarter-finals: here we come! 

#MUFC"
1605642236993146882,"Dictating the play 🫵

#PLReturns https://t.co/qRWYl3en1m"
1605619341764038656,"West Ham, Brighton, Newcastle 🆚 Leeds, Everton, Chelsea

🗓 Have a look at how the league leaders' fixtures compare… https://t.co/TH7Hv7aXrt"
1605601488344158208,Which player will hit the ground running when the #PLReturns? 💥 https://t.co/3I9fuoywTC
1605595414677270533,"RT @LUFC: ✍️ #LUFC is delighted to announce that @StruijkPascal has signed a new, extended contract with the club"
1605580334472597504,"🦂 Who scored a scorpion kick against Sunderland?
🎩 Which two former teammates scored the last two hat-tricks?
🏅 Who… https://t.co/QhMO6x1hJr"
1605554405905948673,"RT @LCFC: A dramatic late leveller for his first #PL goal ⚽ 🙌 

Happy birthday, Dan! 🎉 https://t.co/QWJi4HEf5s"
1605544491598970881,"The cleanest strike from @BenChilwell  🧹

#PL https://t.co/qRJ2oRvP3V"
1605529390372339713,".@KevinDeBruyne has the 🔑 to unlock any defence 🔓

#PLReturns https://t.co/pFK4l6ZDks"
1605510063468281856,"RT @LFC: #OnThisDay in 2018, goals from @MoSalah and @VirgilvDijk earned us a 2-0 success over Wolves 👌 https://t.co/oL5k19XyDm"
1605508118460485632,RT @ChelseaFC: Chelsea FC is pleased to announce the appointment of Christopher Vivell as the club's new technical director.
1605488731665973249,"Dejan Kulusevski has made quite the impression since joining @SpursOfficial 🔥

#GoalOfTheDay https://t.co/gN1XV5Dfdu"
1605318264795561991,RT @NUFC: INTO THE QUARTER FINAL! 🙌 https://t.co/m9CgveybAg
1605316901890101251,RT @SouthamptonFC: Into the quarter-final of the #CarabaoCup 👊 https://t.co/msoEozSHKD
1605316542119481344,"RT @LCFC: A good win to get us restarted 👊

Delivered by @ParimatchUK 

#MKDLEI | #CarabaoCup https://t.co/7VHnne8SS3"
1605316496930004992,"RT @Wolves: Job done. 

🐺⏱ https://t.co/st8tpjcT6V"
1605250552761294851,".@OfficialBHAFC's Alexis Mac Allister starred on football's world stage 🙌

#FIFAWorldCup https://t.co/Bjym2OWf5n"
1605244319857885185,RT @ChelseaFC: Megnuts! 🥜 https://t.co/OSQoDUVHrC
1605206771785687043,"RT @ManCity: OTD in 2014, double trouble from @21LVA and an unstoppable thump from @YayaToure! 🔥 https://t.co/WgVst1ukgV"
1605204295464386562,"RT @Arsenal: Three years of the boss  👊

Relive the journey so far... ❤️"
1605192923397734400,"""Erling Haaland will end the season with ____ goals"" 🎯

#PLReturns https://t.co/0Spmxq7Lum"
1605170022707597312,"RT @AVFCOfficial: Too cold. 🥶

A brace from El Ghazi and this brilliant Traore finish gave us the win away at The Hawthorns, #OnThisDay in…"
1605140954167525377,"We're ready. Are you? 🫵

⚽️ #PLReturns | @LethalBizzle 🎤 https://t.co/UwHT3Qvg3u"
1605128314011648002,"What a way to open your #PL account 😍

#GoalOfTheDay | @WestHam https://t.co/qFm5GK1N5k"
1604905487618785280,"Read about Kane's Boxing Day brilliance, plus other #PL festive period records 🎄

➡️ https://t.co/C7f2S8MSWi https://t.co/d8Ipz08iFx"
1604904501785362435,Will it be 1️⃣0️⃣ for @SpursOfficial's number 1️⃣0️⃣? https://t.co/aRkBirqe2K
1604888574154969098,"Pep was right 🔮

#FIFAWorldCup https://t.co/biJrWOdjGk"
1604869533851963392,"Match official appointments for #PL Matchweeks 17 (26-28 Dec), 18 (30 Dec - 1 Jan) and 19 (2-12 Jan) have been confirmed"
1604861985971216385,"Who was the most underrated #PL player at the World Cup? 🏆

#FIFAWorldCup https://t.co/rjTl8E3Ukr"
1604849031016071170,There's no stopping @LFC in this kind of attacking form 💥 https://t.co/oxCIfa2IWa
1604827765148090368,"Which #PL player have you missed watching week in, week out? 📺 https://t.co/5CLOy6PoBV"
1604810395348340736,"Heroics between the posts 🧤

#FIFAWorldCup https://t.co/57gVIHaFt5"
1604801099030052865,"RT @ManCity: One year ago today... 🗓

Joao Cancelo scored this screamer at St James' Park helping us to a 4-0 win! 🙌 https://t.co/lmet5pBHL3"
1604789749327200258,"🇦🇷 Alvarez
🇫🇷 Varane
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Saka
🇭🇷 Perisic
🇲🇦 Ziyech

Have your say on the best #PL player at the #FIFAWorldCup… https://t.co/KBH3ovBYF9"
1604774409054691335,"@alemacallister Congratulations, Alexis! 🥇"
1604765147767111681,"Timed to perfection by @asaintmaximin 😎

#GoalOfTheDay x @NUFC https://t.co/uJe6aRQkLI"
1604587818801680385,"@emimartinezz1 An incredible achievement! Congratulations, Emi 🏆🇦🇷"
1604582138225065985,"What dreams are made of 🤩

#FIFAWorldCup https://t.co/gjl99NX7Xq"
1604578914717900800,"@LisandrMartinez Well done, Lisandro! 🏆🎉"
1604578774313574403,"@CutiRomero2 @Argentina Congratulations, Cristian! 🏆"
1604546399558942720,"Congratulations, @emimartinezz1!

#FIFAWorldCup Golden Glove winner 🧤 https://t.co/bQPQMVxyQa"
1604539161117073414,This sport. 🤯
1604538009159962625,RT @ManUtd: Lisandro Martinez is a #WorldCup winner 😍🇦🇷
1604537991334354944,RT @ManCity: PROUD. https://t.co/ttCaTNM2Yg
1604537973751414784,RT @OfficialBHAFC: Alexis Mac Allister. World Cup WINNER. 🤩 https://t.co/pqFZOAKRwR
