name,text
1605291291772084224,"FT | 3-1 💪💪

#FBvİST https://t.co/FneUS37zH0"
1605290732545511424,"90+3’
Fenerbahçe 3-1 İstanbulspor"
1605288822669037579,"85’
Sub 

⬅️ Zajc 
➡️ Osayi https://t.co/BDW9ajA9zh"
1605287399042338816,RT @Fenerbahce: 𝕄𝕚𝕔𝕙𝕪 😚 https://t.co/TcqVq6BHnR
1605282427886338048,"59’
Sub 

⬅️ İrfan Can, Crespo
➡️ Rossi, Mert Hakan https://t.co/MYX9wI4spE"
1605280875372953600,GOOOOOOOOOOOOAAAAAAAAAAAAAAAAL! GOOOOOOOOOOOOAAAAAAAAAAAAAAAAL! GOOOOOOOOOOOOOOOAAAAAAAAAAAAAL! BAAAAATSHUAAAAAYIII… https://t.co/GXoMPDmmU7
1605278955833016321,"46’
Sub 

⬅️ Emre Mor 
➡️ Lincoln https://t.co/f39qb9ze1I"
1605278650458406912,"Back for the second half.

#FBvİST"
1605274291574013952,"HT:  Fenerbahçe 2-0 İstanbulspor

#FBvİST https://t.co/JPHLwzz98j"
1605270919282192384,GOOOOOOOOOOOOAAAAAAAAAAAAAAAAAAL! GOOOOOOOOOOOOOOAAAAAAAAAAAAAAAAL! GOOOOOOOOOAAAAAAAAAAAAAAAAAAAL! BAAATSHUAAAAYII… https://t.co/MArTdEJvc5
1605270045302456320,GOOOOOOOOOAAAAAAAAAAAAAAAAAL! GOOOOOOOOOOOOOOAAAAAAAAAAAL! GOOOOOOOOOOOOAAAAAAAAAAAAAL! JOSHUAAAAAAAA KIIIIIIIIIING… https://t.co/PkImlv7qtB
1605262339904634880,"1'
Kick-off.

#FBvİST https://t.co/ucfXuZKiS0"
1605246975678578688,"📋 Here is our starting XI tonight! 👊

#FBvİST https://t.co/XJeqqkqrnH"
1605219741764820993,"Tonight's jersey. 🟡🔵 

#FBvİST https://t.co/JKTj6048V9"
1605105303288152064,"📣 Matchday!
 https://t.co/PukYIV254c"
1604931368391413760,"🏆 Ziraat Turkish Cup  
🆚 İstanbulspor 
🗓 Tomorrow  
🇹🇷 9pm (GMT+3)
🇪🇺 7pm (CET)
📍 @ulkerstadyumu 
📲 #FBvİST https://t.co/zEZzeKRpYY"
1604537428760743937,"🙂

#FIFAWorldCup https://t.co/5n6jv7GVPD https://t.co/6muv6Ihlsm"
1604534147288023041,What a final! 🤯 https://t.co/z5ckFf6X7I
1604093103027224578,📸 from today's training. https://t.co/DIcuLugehy
1604092834239287296,RT @Fenerbahce: Batsman🦇 https://t.co/bCxCYjF9IA
1604092821551595520,RT @Fenerbahce: Ａｌｔａｙ Ｂａｙıｎｄıｒ🙌 https://t.co/rgbquImQS6
1603748400096239616,"🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱
🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱
🧱🧱🧱  𝐀𝐓𝐓𝐈𝐋𝐀 𝐒𝐙𝐀𝐋𝐀𝐈  🧱🧱🧱
🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱
🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱🧱

 https://t.co/EGJhCntPlb"
1603703005727100928,📸 from today's training. https://t.co/FnMOheduHi
1603696529444933633,RT @Fenerbahce: 😄👋 https://t.co/7b3ejKzWim
1603344177240182785,RT @Fenerbahce: 𝐉𝐨𝐫𝐠𝐞 𝐉𝐞𝐬𝐮𝐬 👍 https://t.co/AyTqYtZRbt
1602355846754729984,📸💪 https://t.co/KtKC8p4NWa
1602354220254040064,RT @Fenerbahce: 📸 Enner Valencia 😎 https://t.co/LRYVucNoBP
1602302180836327424,H🏡ME 😌 https://t.co/ww9toEZIuo
1601605408602607616,RT @Fenerbahce: 🦇 𝗕𝗮𝘁𝘀𝗺𝗮𝗻 https://t.co/oIaG4o3mma
1601605392454197251,RT @Fenerbahce: 𝐊𝐈𝐍𝐆 https://t.co/5BjU60MLJU
1601593370320973825,"FT |  Fenerbahçe 3-0 Salernitana  💪

@matchpr_ https://t.co/i19Y91JVdr"
1601585707872448515,"RT @Fenerbahce: 👑 Joshua King!
https://t.co/uPTRPdf8mG"
1601584030008287232,"58'
GOOOOAAAAAAL | JOSHUAAAAAA KIIIIIING! [2-0]

#FBvSAL https://t.co/gsLS5Ve4Hj"
1601580845835653120,"Back for the second half.

#FBvSAL"
1601577712967352320,RT @Fenerbahce: 😎 @irfankahveci https://t.co/CwQGLHsIUF
1601576856641499137,"HT | Fenerbahçe 1-0 Salernitana 

#FBvSAL @matchpr_ https://t.co/fPe378AavJ"
1601575053438889985,RT @Fenerbahce: 💪 İrfan Can Kahveci! https://t.co/ahW9uWuZIc
1601572485539188736,"34'
GOOOOAAAAAAAL | İRFAAAAAAN CAAAAAAAN! [1-0]

#FBvSAL https://t.co/GTaEHz2VT9"
1601563933365530625,"1'
Kick-off.

#FBvSAL"
1601548199625269249,"Starting XI! 👇

#FBvSAL https://t.co/1pNP1FDKAy"
1601175124287557632,📸 @irfankahveci https://t.co/QckaL2BJY0
1600899138442342400,📸💪 https://t.co/7eGb9vc59a
1600569683568115722,RT @Fenerbahce: 🫡 Mert Hakan Yandaş https://t.co/SjANC9Pe0r
1600550178859237402,"FT | C. Alanyaspor 2-4 Fenerbahçe 💪

@matchpr_ https://t.co/jN9R6bcml6"
1600549443291562059,"90+1'
C. Alanyaspor 2-4 Fenerbahçe"
1600546262834724869,"78'
C. Alanyaspor 1-4 Fenerbahçe"
1600544443748130816,Serdar Dursun! 💪 https://t.co/y1ifVqoE85
1600542585373589505,İrfan Can Kahveci! 💪 https://t.co/CZiCcavcyx
1600539381408100352,"51'
GOOOOOOOAAAAAAAAL! SERDAAAAR DURSUUUUN [0-4]

#ALYvFB https://t.co/F9JhOHYLWj"
1600538521885757441,"47'
GOOOOOOOAAAAAAAAAL! LINCOOOOOOOLN [0-3]

#ALYvFB https://t.co/kSNLsgb7Lm"
1600537989372936194,"Back for the second half.

#ALYvFB"
1600534130059509762,"HT | C. Alanyaspor 0-2 Fenerbahçe 

#ALYvFB @matchpr_ https://t.co/Hy10lNYg8n"
1600531723493965824,"41'
GOOOOOOAAAAAAAL! SERDAAAAR DURSUUUUN [0-2]

#ALYvFB https://t.co/GQscFWCd0l"
1600530045269069825,RT @Fenerbahce: İrfan Can Kahveci! 💪 https://t.co/WeQ7ARcrbb
1600528458672590850,"28'
GOOOOAAAAAAAAAAL! İRFAAAAAAN CAAAAAN! [0-1]

#ALYvFB https://t.co/wwXCjoJ7mZ"
1600521386329485312,"1'
Kick-off.

#ALYvFB https://t.co/TRrah93VDf"
1600518598270885888,Warm-up 🔛 https://t.co/Nk33451W5w
1600506621481869312,"Starting XI! 👇

#ALYvFB https://t.co/2PPwhLUT8r"
1600189938510622721,Happy faces 😄 https://t.co/gvJKvXIDo5
1600064261715152897,RT @Fenerbahce: 📍Antalya’dayız! https://t.co/5rlNswmyEF
1599721741084786688,📸💪 https://t.co/jg2fMcaofK
