name,text
1605681654403850240,Journera launches new destination marketing solution https://t.co/HQ5gzOCkeq
1605654352307552256,"Carnival Corp. to unload three ships, including two from Costa https://t.co/u3zBkbIOGt"
1605628306191421440,Storm adds uncertainty to strong holiday travel demand https://t.co/sXcG3Ch87T
1605581373125066753,MSC Cruises is in talks to build a Galveston terminal https://t.co/PQKOoEWVEJ
1605534686138470400,"2022, A year in review https://t.co/Wh9grJqPWV"
1605516184090480645,What do baguettes and bell ringing have in common? https://t.co/MJ6aYVPL7F
1605464475792199680,Anantara hotel to open in Nice after two-year renovation https://t.co/Quk7JPt4Zp
1605347075457441792,Frenchman's Reef redevelopment on St. Thomas takes a new turn https://t.co/cL7MXMEd6P
1605327568412217344,Holland America Line introduces new and longer Europe cruises https://t.co/vOiSTh5A2p
1605293100083314689,Royal Caribbean unveils Caribbean cruises for summer 2024 https://t.co/23aSQ7KJ9v
1605239619574181888,Royalton Splash Riviera Cancun opens https://t.co/05EO89Lgao
1605098070915837958,Passenger recounts 'terrifying' turbulence on Hawaii flight https://t.co/5ipQ6veQ4S
1605040307955191808,Experiencing a Christmas market cruise with the Young Professionals Society https://t.co/OTV83OjYZS
1604993870802354177,TMCs propose changes to DOT's ticket refund rule https://t.co/ezcHRrYOu2
1604963175317016576,"Mesa to halt regional flying for American, signs new deal with United https://t.co/fWltBpOjTP"
1604921410019028992,Chicago City Council OKs Bally's casino project https://t.co/RtKbhamPby
1604921402746081280,Katina Athanasiou leaves Silversea for Celebrity Cruises https://t.co/pUlDLkB90Q
1604911075396562944,Playa unveiling two Jewels in the D.R. https://t.co/Heuj8gbigk
1604886667860770816,New partnership gives Royal Caribbean funding for port development https://t.co/GrSRwXG8pb
1604867790565183488,"Selling the Mouse, episode 3: Disney dining and minions multiplying https://t.co/TZI2fJBaYs"
1604810809322147840,"After record 787 order, United claims to be the U.S. 'de facto flag carrier' https://t.co/VFCAEV59XQ"
1604807030761730048,Tauck president Jennifer Tombaugh on optimism and challenges in 2023 https://t.co/p5xkkeSaf6
1604788018082361344,Charging fees is becoming the norm https://t.co/BvZXpmKVDu
1604281818878201856,Ecuador exploration on Kontiki Wayra yacht https://t.co/eijdKewSOK
1604161895573118981,Travel advisors on Antarctica sailing say recent deaths don't give rise to fear https://t.co/MD3JWoTqez
1604127036729348096,How lucky we are to do what we do https://t.co/vHh58FGDqh
1604118478939918337,The Scenic route to shipbuilding has its advantages https://t.co/l9ALdE9iad
1604016556694212608,Palisades Tahoe gondola opens https://t.co/MvV43hSbOb
1603869589896835072,Lobby aquarium bursts at Radisson Collection hotel in Berlin https://t.co/UXDhJ6dDxg
1603820013873692673,Bonotel Exclusive Travel promotes Herbst and Bautista https://t.co/VGTHnZKBx2
1603804411532562432,Marriott makes UAE debut with Palm Jumeirah resort https://t.co/PsRhXSlpnh
1603787324684664833,"American Airlines adds loyalty reward tiers, raises status threshold https://t.co/FZYc2pEU0b"
1603787317147500545,Highgate is acquiring Viceroy Hotels https://t.co/uaKpaN2jDg
1603723377172414465,Will Indonesia's premarital sex law hurt tourism? So far it hasn't https://t.co/bKXcqTXUbu
1603647394293637120,Waldorf Astoria hotel is coming to San Miguel de Allende https://t.co/NF0Ie15JrX
1603499544159064066,Setting the record straight https://t.co/wLOgUN2Nos
1603497896779087872,Tennis star Rafael Nadal and Melia collaborate on new hotel brand https://t.co/1qdLkn0Jcq
1603456240478478336,Norwegian Cruise Line Holdings cuts jobs https://t.co/KnK96rbN7J
1603436118825119746,Muckermann to succeed Martinoli as Silversea CEO https://t.co/WjwALZIoQZ
1603419118958706688,ASTA tells DOT refund rule just won't fly https://t.co/hcjsgk90Yr
1603417363260801024,Just getting my feet wet: My first year on the rivers https://t.co/vG67jVJOYg
1603376090877423616,NCLH taps familiar faces for Oceania and Regent leadership https://t.co/Puq5D9A3qT
1603345388844765184,"Now more than ever, we must keep the customer satisfied https://t.co/1Cln5GS6c9"
1603285738132770817,"Spirit Airlines will fly to Charleston, S.C. https://t.co/kiWytjCQRV"
1603229257312112647,The list of winners of the 2022 Readers Choice Awards https://t.co/kP7UkmzgUB
1603205095508049920,Fairbanks' Borealis Basecamp puts on a light show https://t.co/FogbsEJ40e
1603165718597763072,Let's-a go! Nintendo area to open at Universal Hollywood in February https://t.co/FhjlQzEdHL
1603153629099483136,'The White Lotus' has turbocharged interest in Sicily https://t.co/7vhkMFgDAp
1603130976103981056,Delta will bid farewell to 50-seat Bombardier planes next summer https://t.co/xHaN3sVQRP
1603096496471437312,Emerald Cruises adds Christmas market sailings https://t.co/LlwYpq7DIt
1603056989164404736,New Uniworld course educates advisors about 2023 products https://t.co/h4xCwXrsOP
1603046422848630787,Celebrity Cruises unveils metaverse experience https://t.co/tWiEotiiuD
1602998349405523970,Selling experiences: Growing your business and making clients happy https://t.co/hiEedJLbhw
1602923603875749889,Embraer postpones development of large turboprop plane https://t.co/YyKt1rXFOJ
1602862581966082049,"Dispatch, Oahu: Spam musubi in Waikiki and at Disney’s Aulani https://t.co/7asAeI3831"
1602814261373603840,Direct Travel launches booking platform for leisure advisors https://t.co/w5dfxTqflt
1602805079727566848,Tivoli's latest resort in Portugal will be its first all-inclusive https://t.co/MQEOiMwBNh
1602739894799175680,Airlines can anticipate a post-pandemic rebound in Asia and elsewhere https://t.co/ZdD8JAzDPJ
