name,text
1605616994597756930,@RyanBiddulph @OceanHouseRI @TheBerkeley @thewilliamvale @RitzCarlton @DolderNews @TheAmericanClub @FSWhistler… https://t.co/OQHsGUPTaN
1605615862425088001,"From a St. Moritz chalet in NYC to a cozy winter village in Munich, these pop-ups are full of holiday cheer:… https://t.co/WAvO96lo5C"
1604540151367098370,It's hard to believe that these elaborate sculptures are made of gingerbread: https://t.co/oGTiN6m7DS @TheBroadmoor… https://t.co/mRKNTkp59c
1604220694832848898,"This holiday, we're dreaming of the bright blue skies and pristine turquoise waters at The Ritz-Carlton,… https://t.co/SOYLDJcqlM"
1603925233475338240,"After an exquisite French meal, we look forward to the trolley carrying more than two dozen cheeses at Les Amis Res… https://t.co/mRWpnwLUEJ"
1603555916657434624,Discover a hidden nature oasis filled with cherry blossoms in the middle of #Tokyo at @HotelChinzanso. See more as… https://t.co/e3rOLLNxrY
1603230238896402439,"RT @BiltmoreEstate: Our fabulous lobby Christmas tree at The Inn on Biltmore Estate! 

This @ForbesInspector Four-Star Hotel offers unparal…"
1602828923808919552,"The @RitzCarlton  New York, #CentralPark claims a coveted location alongside the city's most famous green space. Se… https://t.co/GHEgCKydRu"
1602368569156567040,Here's what to buy for the travelers on your list this year: https://t.co/Q3bCcQiMC4 @autographhotels @TrtlTravel… https://t.co/VyWSQk01XG
1601317204246814720,Take a quick tour through @FaenaMiami's incredible Mammoth Garden. The utterly stylish Five-Star hotel takes over o… https://t.co/mPw5BomPe7
1600953818627592192,"Get a sneak peek at the newly renovated @mii_amo_spa in #Sedona. Reopening in February, the desert oasis takes over… https://t.co/ZpmzGPJLAY"
1600231114748010497,"Every day is a pool day The Ritz-Carlton, #Doha. See more as the luxury hotel takes over our Instagram today for… https://t.co/eeIFoFikMl"
1599849334908276738,Take a soak in healing Icelandic waters amid breathtaking surroundings: https://t.co/fSOkRAdem1 @The_BohoChica… https://t.co/0WURCUkICE
1598717940794363904,We want to be in one of these in-pool loungers at @TheVanderbiltSJ. See more as the beautiful #PuertoRico hotel tak… https://t.co/hWS28eYRIh
1597703327596580864,"Explore the work of Dale Chihuly and other glass artists through VIP tours, workshops, festivals and more:… https://t.co/f7dNGwpYsU"
1595122355889934336,"Here's everything you need to know about @WynnLasVegas' ""Awakening,"" the Strip's first large-scale spectacle in yea… https://t.co/uhikOffsrr"
1594807138215403530,The Set Collection's @mamillahotel in #Jerusalem manages to blend history and modernity in the ancient city. See mo… https://t.co/H6huAsjRMo
1594735105897267200,"It's not too late to make plans for #Thanksgiving: https://t.co/tcviIEbnKp @EnchantmentAZ @FSLanai
@ConradHotels… https://t.co/tlsNhC2auj"
1594042158377467904,"Get a look inside @blueskyutah, a sprawling 3,500-acre ranch just outside of #ParkCity, #Utah. The modern mountain… https://t.co/9dWKqPivX5"
1593685478867451904,"Surrounded by lush foliage, @RanchoValencia is a hidden gem in #SanDiego. And the boutique property is a double FTG… https://t.co/8nBMI98OlU"
1593299626655973376,"Find Hawaii's largest villas, an unusual pool and a secret dining experience at the newly renovated @FSHualalai:… https://t.co/FNtQ3Q7k2N"
1592922448948699136,"Discover an island haven at the reimagined Aurora #Anguilla, where you can sip cocktails by the pool ocean, play go… https://t.co/BzK7GlI5eu"
1592676079679856641,"Head South and enjoy these vibrant cities: https://t.co/Hz6QtFYxT0 @AUBERGERESORTS @HotelBennett
@TempestCHS… https://t.co/CZINn1bGJA"
1592234018619232256,Take a peek inside @LutetiaHotel Paris' penthouse suite that's curated by renowned director Francis Ford Coppola. S… https://t.co/Y8phZC82BP
1591833435655503872,"These getaways promise fun in the sun for all ages: https://t.co/fOB1Eendvq @laneelee1 @hotelxcaretmx
@LosCabosGV… https://t.co/DouikguPBJ"
1591116217322201089,"We want to spend the holidays at @ooresorts Palmilla, which transforms into a sun-drenched winter wonderland. See m… https://t.co/YsPAntrTKW"
1590781021204930562,"This #BeaverCreek, @Colorado, getaway unveils a new look and added amenities in time for your next ski trip:… https://t.co/cK7y0j5LWK"
1589635389199114241,Check out these #museums the next time you're visiting the UAE: https://t.co/eNr05mqYSl @The_BohoChica @MOTF… https://t.co/YUxRyVi2Fu
1587390338624327685,"On 11/3, FTG’s Jennifer Lodge, SVP, Partner Services, Americas, will discuss hospitality in the workplace at Chicag… https://t.co/zXjh1WkzgF"
1587081381082955778,RT @TheBrandoResort: The Brando is proud to be a #ForbesTravelGuide Five Star Rated Hotel. @ForbesInspector https://t.co/se7TbMwYzF
1586026995179307008,"Mark #Thanksgiving with a reunion, a festive meal or simply a long weekend getaway at these luxurious spots:… https://t.co/XX78oyLdLO"
1585599176141856768,RT @JeffersonHotel: Thanks to @ForbesInspector for including Richmond and The Jefferson on their list of eight great train trips.  All aboa…
1584154165953318912,Forget plane hassles and long car rides. Take these #train trips instead: https://t.co/IXL5fuVg1Q @JeffersonHotel… https://t.co/z9NsYnxave
1582826546842042368,RT @Hines: Our partnership with Forbes Travel Guide (@ForbesInspector) will enhance service standards in Hines' office and residential prop…
1582107133939961857,"From sizzling shows to exciting exhibits, here are some new reasons you should visit #Atlanta this fall:… https://t.co/xm2R0OSI8o"
1581364592453656576,"If you've visited Napa and Sonoma, give California's other wine region a try: https://t.co/uHaVtPZh6b… https://t.co/LG9DsWkpNW"
1580966909410914315,Get an inside look at Forbes Travel Guide Five-Star @wapedregal as the awe-inspiring paradise takes over our Instag… https://t.co/gEcNMnd5oc
1579855098616107013,"Get a first look at the soon-to-open @WaldorfAstoria #Cancun, the brand's first hotel in the region:… https://t.co/NVimacBajC"
1578103528454864897,.@FourSeasons gets ready to hit the high seas with a fleet of superyachts: https://t.co/8lb9bJ8vXr #cruise #fourseasons #travel
1577749655965794304,"Model @cocorocha grew up on planes. The frequent flier shares her #travel tips, go-to airplane outfit and favorite… https://t.co/GBC8C7YP34"
1577357231452196864,"Rooftop bars, skyline views, incredible architecture and world-class dining await at these hot new #NYC hotels:… https://t.co/8nrlekHvEW"
1575585614246084608,"From the bird cliffs of the west to the fabled canyons of the north, these are #Iceland's must-visit sights:… https://t.co/6pORkgXSZK"
1575179292178542592,"Experience world-class dining, incredible art and vivid foliage in #Aspen this season: https://t.co/4xFxP01jWm… https://t.co/TLjap0s77J"
