name,text
1605684833459527680,"This is your sign to book a trip to Bali in 2023! 🤩🙌🏼

📷 IG 'tiffanysimonovski' https://t.co/xrCFlgi1Zf"
1605579445557133312,@Nickynoo15 This is South Africa. 😊
1605387995905159168,@saxbull 🙌😍
1605387559429111808,"@darlingrose Hi there, thanks for your message. We would suggest reaching out to Instagram user ‘mermaid_danii’ to… https://t.co/yEDJpI6jex"
1605307418338119683,"Would you travel to dive these beautiful underwater kelp forests? 😍

🎥: IG user 'mermaid_danii' https://t.co/gieb3F9NV4"
1604929669966487553,"We found #GrumpyFish, and he lives in #Taiwan. ☹️
📷 IG/far556 https://t.co/kwO2RDZyPo"
1604235096160194563,Komodo National Park attracts divers from all around the world because of its abundant marine life! 🤩 But is Komodo… https://t.co/IuJFfLJ4j7
1603857628521811968,"Kudadoo Maldives Private Island 🏝️
This island has everything from unlimited diving to dinners under the sea!

Book… https://t.co/41chhzNnv5"
1603687531408949249,@rezaredjo Wow! What an incredible photo. 😍
1603557509901737990,@bugwich 👌💙
1603540513398956034,"When the weekend of diving is just about to begin... 😄🤿🙌🏼

Have you been diving lately? Where did you go? https://t.co/3EaxE6EPGQ"
1603480235235737607,"Is Cape Verde calling? 🇨🇻 Save 18% on the Hilton Cabo Verde Sal Resort when you book 60 days before check-in. 

Get… https://t.co/93kU1N9nnZ"
1603148006722764800,"How long has it been since you ventured outside your comfort zone? 😉

📷 @nolanomura https://t.co/DIf20rV0PS"
1602770407144177664,One of the biggest reasons to get PADI Advanced Open Water certified is so you can experience mind-blowing diving d… https://t.co/sSKaPxwk8t
1602392906668572682,"Get scuba certified and take your travels to the next level! #liveunfiltered

Learn to dive here →… https://t.co/NKqhgTgch4"
1602030642904109061,"Summer may be long gone, but we’re always dreaming of fresh water diving in the Alps. 🏔️
📍 Samaranger See, Austria… https://t.co/DIdN2Xrbdb"
1601808117519765505,@SinuheTheV 😍
1601698458267688960,"If you love beautiful underwater photography as much as we do, you need to check out these 10 incredible sites for… https://t.co/MRDY8dhah3"
1601448901311332352,"@dpy365 It's pretty special, right? 🦈💙"
1601321034669592579,"Have you ever encountered a large shiver of scalloped hammerheads? 🦈 If so, where were you? 

🎥: IG user 'watermelo… https://t.co/dtpGHjsLtN"
1600943507547496448,“One of the ways you can tell gender in humpback whales is by how ‘smooth’ the whale is. When fighting for females'… https://t.co/Mmpeanlxdb
1600638023842029569,"""I’m so proud of her, she is such a good diver, and has even started underwater videography! She’s now my dive trav… https://t.co/j3hvkUiLzD"
1600233757356744711,"Would you rather explore Thailand above or below the surface? 😍

🎥: IG user 'nicole.aloha' https://t.co/22fWP2GnYQ"
1599856303941292049,PALAU LIVEABOARD DEAL ✨ Book now &amp; save up to USD $1000 on select departures of the Palau Aggressor II through Febr… https://t.co/ad59XDTKCq
1599493843291873284,"In #Mauritius, you can go swimming with wild dolphins! 🐬✨
📷 IG/whoisyannick
📍 Rivière Noire District, Mauritius https://t.co/aL6c9LPA1i"
1599146654636146688,When was the last time you went on an adventure and created unforgettable memories with your family and friends? 🥰… https://t.co/7rLpR8FUHH
1598784206255099910,"Have you already had the opportunity to explore the Red Sea? 😍 If so, tell us what your favorite experience was!… https://t.co/2kj3XHc6yt"
1598406694924652545,"Jump into the jellyfish lake on a trip to #Palau! Explore all the options → https://t.co/BNZz1p8G9c
📷 IG/bomancao
📍… https://t.co/xlp7PVxEd4"
1598059372852248576,"Want to share the experience or give the gift of endless adventure? 🙌🏼

Whether you are purchasing a course as a gi… https://t.co/XtlLxWPsS9"
1597697000853610496,"EXTENDED OFFER! 🛥️ 
Save 50% on liveaboards, like the Pacific Master! The Pacific Master will take you to explore t… https://t.co/vSwd5dLe5q"
1597334674321575936,"COCOS ISLAND LIVEABOARD DEAL 🦈🦈🦈

Save up to USD $1500 😱 on select departures of the Okeanos Aggressor II. Book by… https://t.co/p8Xw8M823d"
1596957207186530305,"SOCORRO ISLANDS LIVEABOARD DEAL 🦈🦈🦈

Save up to USD $500 😱 on select departures of the Solmar V. Book by Nov. 30, 2… https://t.co/T9DJte1mAm"
1596609946409320448,"The holidays are just around the corner! Where will you go diving next? 🏝🤿

📷 IG 'laurenelizabethexplores' https://t.co/IdCEMLH5q7"
1596247522707755009,"Honduras Travel Deal 🌴 

Book NOW and SAVE 50% on 7-nights All-Inclusive Packages! This offer is good for travel th… https://t.co/Mx6kmoecU3"
1595869965038632962,Our #BlackFriday Sale has begun!!! 🎉 Shop now for the best dive travel deals of the year → https://t.co/xbqcQeEDIR https://t.co/5js0wLCzPk
1595522625664880640,"Thank you for choosing us! 🤩🙌🏼

PADI Travel has won Reader's Choice Award for 2023's Best Dive Travel Agency. 🎉

Re… https://t.co/SiK3Jttaom"
1595160326252658693,Let's dive in to explore the beautiful underwater world of Bonaire 🤿 Who has been lucky enough to dive here? Share… https://t.co/9fIWVrat54
1594798026672873473,"#Galapagos - Save USD $1999 😱 on the Dec. 29th departure of the Galapagos Aggressor III. Book by Nov. 30, 2022. 🦈… https://t.co/UiRzFXDAqu"
1594435521002065921,Save up to USD $1350 😱 on select 2022 &amp; 2023 departures of the Red Sea Aggressor II. 🦈 Get more info &amp; book →… https://t.co/LduB4KHNfZ
1594073186605621249,"Spend the mornings diving and the evenings relaxing in the hot tub! 🤿🙌🏼

Dive the stunning Tubbataha Reef or the mi… https://t.co/zBugdWOUew"
1593710722558541825,"Looking to plan a dive trip in April? 🤿 Beyond exploring your local dive sites, there are so many amazing scuba div… https://t.co/8jD48uoO9M"
1593348431522693130,"Save up to USD $1800 😱 on select 2022 &amp; 2023 departures of the Maldives Aggressor II. Book by Dec. 30, 2022. 🐠 Get… https://t.co/N0CqVm2rQC"
1592985968327667714,"If you've always dreamed of going to Fiji; now is the time! 🏝

Book your trip to Beqa Lagoon Resort and receive a 1… https://t.co/180DyMtwhU"
1592623756534767616,"Have the Philippines been on your dive bucket list? Well mark your calendars! Book from Nov 20 - 27, 2022 to save 1… https://t.co/H9NPKRIiUc"
1592261267422576641,"🏝️Last-Minute Discount🏝️ 

Save 45% on a stay at the Viva Wyndham Fortuna Beach in the #Bahamas. Travel before Dece… https://t.co/VWYnK6LJR5"
1591898853917302790,"#Malaysia - 25% off diving packages at the Tioman Dive Resort on travel through Nov. 30, 2023. ✨ Book now →… https://t.co/E0Mk8A7MFP"
1591536452692738051,"Do you remember the last time you took your family on an adventure? 🌞

Take a breath this holiday season and make t… https://t.co/qUPZbf9s8P"
1591174140240998400,Last-Minute Monthly Special! 🛥️ Save 50% on the Solomon Master liveaboard in the Solomon Islands. Book before the d… https://t.co/63aEXdwBTA
1590811699434627073,"Ready for a getaway? Check out these deals on 3 Cozumel dive resorts 👇 

🌴 58% Off the Sunscape Sabor Cozumel
🌴 53%… https://t.co/pCwBoExWtd"
1590449315260125187,"Travel Deal Alert! 👇🏽👇🏽👇🏽

Book your next vacation at the Boutique Beach ALL-INCLUSIVE diving hotel and save 25% OF… https://t.co/PfjNRmDTl3"
1590086908482387968,"Who has been lucky enough to explore the beautiful underwater world of Iceland? 🤿

📷: IG user 'ants_stern' https://t.co/DCmZI0vv5e"
1589724538522112000,👉Long-Stay Discount👈 Save up to 15% on 7-night stays or longer at the Siladen Resort &amp; Spa in #Indonesia. Travel be… https://t.co/LKMpm9qBkS
