name,text
1605689754523246614,"RT @emmarcourt: NEW from me: 

A diabetes medication's unlikely TikTok fame has led to a ***four month-long shortage***, as celebrities and…"
1605686279403982848,The Treasury Department’s top official for financial markets and stability expressed little urgency over the potent… https://t.co/u3DrYbqr1o
1605684788198875146,"Ross Gerber: ""Elon [Musk] isn't suited to be the front-facing CEO of Twitter"" https://t.co/k7qlb4l8sq https://t.co/HKWCYcd7Df"
1605681022808596510,"RT @ellenhuet: i tricked instagram into thinking i want/have a dog, which helped me see how ads sell to our insecurities

https://t.co/5YMR…"
1605680808299315200,"It was supposed to be the year Congress reined in big tech. 

Meta, Apple, Amazon and Google made sure it didn't ha… https://t.co/k3DVidoqNn"
1605675222094471192,"High inflation, soaring borrowing costs and geopolitical uncertainty hindered dealmaking in 2022, sending global M&amp;… https://t.co/lVSprmzmAf"
1605669399070900224,Philips says tests on its recalled sleep apnea devices showed the products are unlikely to result in “an appreciabl… https://t.co/UHdAhf6aVP
1605668000916553728,"RT @BloombergTV: Ross Gerber: ""Elon [Musk] isn't suited to be the front-facing CEO of Twitter"" https://t.co/miMwNWpLCB https://t.co/tIVuFQU…"
1605663141861462016,"Global smartphone sales won’t pick up until the year-end holiday season of 2023, battery supplier TDK warned in a c… https://t.co/e2v0DPw1uU"
1605657847899066368,How to fool Instagram’s algorithm ⬇️ https://t.co/2S3JcXOD8J
1605651621945479184,Intel broke up its graphics-chip organization in a bid to accelerate efforts to take sales from Nvidia and AMD https://t.co/uy8MqehHNY
1605645096661180418,Cathie Wood ramps up purchases of Tesla shares in the fourth quarter even as concerns over CEO Elon Musk’s ability… https://t.co/D6AavVgoEk
1605638492784103428,The Guardian told its staff to work from home for the rest of the week after a suspected ransomware hack https://t.co/rHUk6bxQaf
1605633490329927693,RT @sarahfrier: Scoop by @KurtWagner8 @leah_nylen: The US FTC is deepening its investigation of Twitter's privacy and data security practic…
1605633400953503766,"RT @KurtWagner8: Elon Musk has spent the past two months pouring his time, energy and finances into Twitter. It feels like he's finally run…"
1605631652494966807,"Elon Musk has spent most of the past two months pouring his time, energy and finances into Twitter. 

But finally,… https://t.co/nzeXKq27Sr"
1605625675683069961,"Richard Branson’s Virgin Orbit has been granted a license to launch satellites from the UK, paving the way for the… https://t.co/4xtpP9Hba9"
1605620232621592576,Google has hired a former executive at crypto lender BlockFi for Web3 initiatives https://t.co/prvc6ewIR5
1605614147311386624,BREAKING: Former FTX CEO Sam Bankman-Fried will be heading to the US to face criminal charges after a Bahamas judge… https://t.co/aUNLILamGw
1605609318555869185,RT @KurtWagner8: NEW: The FTC has deepened an investigation into Twitter to determine whether the company is still adhering to previous pri…
1605607686007037954,UK Business Secretary Grant Shapps orders a company founded by sanctioned Russian businessmen to sell its holding i… https://t.co/qhloZILqin
1605601854313811991,WATCH: Sam Bankman-Fried arrives at a court in the Bahamas to pave the way for his extradition to the US… https://t.co/r9dprQIYMr
1605601840216870912,"“That is why I spent the last five weeks cutting costs like crazy.” 

Elon Musk says Twitter was on course to hit $… https://t.co/AKqiIywEp0"
