name,text
1605505851527114753,"World's Smallest TWS Earphones - Sony LinkBuds S🔥🔥🔥
 https://t.co/4fVv427Wjy via @YouTubeIndia https://t.co/wx8bZtAF8E"
1605505308431765504,#TGFamily nek kaam mein deri kaisi??? Jaldi se #BoloGuruji use karlo Sunday Tech Masala ke liye...
1605234432675557376,"Exclusive Look #GoogleForIndia 2022🔥🔥🔥
https://t.co/I8sf1fiPL2 via @YouTubeIndia https://t.co/pMBR5pdSBR"
1605216422850088960,❤️ @YouTubeIndia #CreatingForIndia #GoogleForIndia https://t.co/mjcGeMshbo
1604729492835926016,This Rugged Phone Has 21000mAh Battery &amp; Night Vision🔥🔥🔥https://t.co/HgnY4Ux4Hc via @YouTubeIndia https://t.co/qrs20TN8mb
1604727092905902081,Time for #GoogleForIndia @GoogleIndia https://t.co/oxbyyxFfUb
1604419953565655041,"BGMI Coming Back | Custom iPhone 14 | 240W Charging | | STM #312 | Technical Guruji🔥🔥🔥
https://t.co/rusWtj1k6a via… https://t.co/QYkhXm7XQe"
1604361787591208961,"Fake Motivation SCAM Exposed🔥🔥🔥
https://t.co/lhlMSwrh0i via @YouTubeIndia https://t.co/C8H0tpyjnI"
1604343994669879296,"RT @HTBrunch: What's the best way to go about when you're trying to get the best deal for reselling an old phone?
(By @TechnicalGuruji ) 
h…"
1604038205296082945,JioPhone 5G | Nothing Phone(2) | TATA Chips in India | WTF | Episode 21 | Technical Guruji🔥🔥🔥… https://t.co/Pf77vtwzd3
1603642329352441859,The Hidden SECRETS of Apple🔥🔥🔥https://t.co/x08GmovrLc via @YouTubeIndia https://t.co/XEY7zfmdVM
1603279941642117121,World's Cheapest TWS Earphones For ₹700🔥🔥🔥https://t.co/Lt1IO7DUPP via @YouTubeIndia https://t.co/mme6QAynmN
1602926565041455104,"This Phone Has 1500 Built-in Songs🔥🔥🔥
https://t.co/9YNdJEW6k8 via @YouTubeIndia https://t.co/gGubqAUCUU"
1602874739483025408,My Phone In Washing Machine 🧺 Service Center Experience🔥🔥🔥https://t.co/5W8VnHzzuT via @YouTubeIndia https://t.co/RosyEAPaoT
1602262946339426304,"World's Craziest Smartphone Is Here🔥🔥🔥
https://t.co/faV1q3s9LH via @YouTubeIndia https://t.co/Az5TbQgMMN"
1601912506594652160,Smartphone Charging | iPhone 15 | 5G Heating | BGMI on iPad | STM #311 | Technical Guruji🔥🔥🔥… https://t.co/uUviDzMkra
1601848751437467648,"Fake Apple Charger SCAM Online Exposed🔥🔥🔥
https://t.co/RHuSqBR0uY via @YouTubeIndia https://t.co/Cyc49VYQ83"
1601503831786803201,240W Charging | Apple Car Price | Samsung Multi Fingerprint | WTF | Episode 20 | Technical Guruji🔥🔥🔥… https://t.co/EKqcXtOqbK
1601126867922464769,⚠️Technical Guruji SCAM Alert🔥🔥🔥https://t.co/gjxxRp5vvP via @YouTubeIndia https://t.co/1zD0h5EK94
1600769666258853888,Realme 10 Pro+ Unboxing &amp; First Look - The Ultimate Midrange Phone🔥🔥🔥 https://t.co/woqwmivaZt via @YouTubeIndia https://t.co/UihUOL30LV
1600758585335562241,Kal kare so aaj kar...Aaj kare so ab...Pata nahi bhavishya mein twitter pe ban lagega kab??? #TGFamily Use… https://t.co/xhcAsbNelY
1600443463019147264,"""We Do Party All Night"" with big bros...@asliyoyo &amp; @SohailKhan🔥🔥🔥 https://t.co/aGtKI80L4j"
1600411649093308416,"Apple Watch Ultra Teardown - 1000₹ Fake Watch🔥🔥🔥
https://t.co/rKUIHqdoMF via @YouTubeIndia https://t.co/BW9tXObEqx"
1600016043614736384,"Double Your Smartphone Battery Life - Top Battery Tips🔥🔥🔥
https://t.co/9RlgGyG9g0 via @YouTubeIndia https://t.co/jEXXj93maT"
1599678457881202689,"World's Most Powerful Smartphone Is Here🔥🔥🔥
https://t.co/G1miR66Nc2 via @YouTubeIndia https://t.co/IwlkX2qqSw"
1599404748566048769,"Laptop Under 60K | 5Lakh Rs SmartPhone | OLX SCAM | STM #310 | Technical Guruji🔥🔥🔥
https://t.co/ySgKxcdonq via… https://t.co/iXFze6dYSJ"
1599299932493873152,"Fake PenDrive SCAM Exposed🔥🔥🔥
https://t.co/Yu7KISceZL via @YouTubeIndia https://t.co/Vru9w97s0i"
1598587886156230656,The Craziest Camera I've Ever Used🔥🔥🔥https://t.co/6ej0vMsGbT via @YouTubeIndia https://t.co/lGHdjlWszU
1597883207386816512,"World's Most Powerful Computer🔥🔥🔥
https://t.co/ceGoPekjnE via @YouTubeIndia https://t.co/T8Z8EYVuK6"
1597839261511786497,Dosto twitter App store se gayab ho us se pehle #BoloGuruji use karlo...😅
1597527314203832320,"This Smartphone Is Getting Better Everyday🔥🔥🔥
https://t.co/3fWXiSrI1I via @YouTubeIndia https://t.co/0ft957uQnV"
1597112374141779968,"Top Upcoming Smartphones - December 2022🔥🔥🔥
https://t.co/3RqBoSV6JI via @YouTubeIndia https://t.co/Tj5xr8t4TO"
1596842996523495426,Sometimes we plan a lot but end up doing #Nothing🔥🔥🔥 https://t.co/jR2lfu2Pzk
1596816352945508353,iPhone Theft SCAM Exposed🔥🔥🔥https://t.co/94bC5c4it3 via @YouTubeIndia https://t.co/v4zjhlgdC6
1596753313940508672,"Unlimited 5G In India | eSports In India | iPhone USB-C | STM #309 | Technical Guruji🔥🔥🔥
https://t.co/NKdKjZHgQD vi… https://t.co/xS8WiorRBw"
1596525957593985024,India Smartphone BAN | PS5 in Cars | Free 5G | Krafton Game | WTF | Episode 18 | Technical Guruji🔥🔥🔥… https://t.co/IJrKeAo3Cf
1596396573050961922,"Apple Watch Ultra in ₹1000🔥🔥🔥
https://t.co/NqByHQlVjy via @YouTubeIndia https://t.co/rUwWULNj0h"
1596022597136678912,Indian Govt. on Apple iPhone 15 USB-C Port or Wireless?🔥🔥🔥https://t.co/UZbBJH5jl9 via @YouTubeIndia https://t.co/jCAIsO7Yxp
1596020216378499072,"Hello #TGFamily...Twitter pe pata nahi kal kya ho, aap aaj hi jaldi se #BoloGuruji use karke apne sawaal post kardo… https://t.co/3fkHB7OgML"
1595342080993202177,"The Ultimate Folding Phone - #HonorMagicVs Unboxing &amp; First Look🔥🔥🔥
https://t.co/GqJMX2jCpD via @YouTubeIndia… https://t.co/amPCoqnhSP"
1594983488146415621,"The SECRETS Of Whatsapp🔥🔥🔥
https://t.co/pIrGCNyYjy via @YouTubeIndia https://t.co/MKShMQTYOB"
1594578252885942272,Redmi Note 12 Explorer Edition Unboxing &amp; First Look | World's Fastest Charging Smartphone 210W 🔥🔥🔥… https://t.co/e1che7fjvp
1594333929581838341,Qualcomm Vs MediaTek | iPhone Battery Health | BGMI Lite Launch | STM #308 | Technical Guruji🔥🔥🔥… https://t.co/8Oxzb8J9ZO
1594234905344344064,"Fake Powerbank SCAM Exposed🔥🔥🔥
https://t.co/KwTDQ2mFVS via @YouTubeIndia https://t.co/CL0imsmMad"
1593924987785576449,Jio True 5G | Dimensity | Twitter Problems | Dimensity 9200 | WTF | Episode 17 | Technical Guruji🔥🔥🔥… https://t.co/FGCO6FY4wi
1593546359948210176,"The Phone Is Ultimate🔥🔥🔥
https://t.co/vrhqtZDLou via @YouTubeIndia https://t.co/kWMqxEHGau"
1593275037854810112,Toh #TGFamily kya haal hai? Jaldi se #BoloGuruji use karlo Sunday Tech Masala ke liye..Aapke liye sabhi questions ke interesting jawaab..
1593115763447304193,"World's Cheapest 5G Smartphone - Lava Blaze 5G Unboxing &amp; First Look🔥🔥🔥
https://t.co/SVMzo9uEdL via @YouTubeIndia https://t.co/KImE9fEAFG"
1592852784151670785,"World's Cheapest Gaming Console🔥🔥🔥
https://t.co/stVCEdqG6M via @YouTubeIndia https://t.co/1VlS4zaE3Y"
1592464930900410368,"Hello #TGFamily...I've partnered with @nothing and arranged for this special giveaway for you🔥🔥🔥
Participate here:… https://t.co/6MG1Ve2GHR"
1592094946215219202,"I Tried Weird Products From Amazon | Technical Guruji🔥🔥🔥
https://t.co/sbWRrFqHEz via @YouTubeIndia https://t.co/U26vo36kyX"
1592032591817084930,"We WILL, we WILL rock you...
Flying @emirates is super fun when you have #WillSmith flying with you...
#TGFamily 🔥… https://t.co/N9izYogjMC"
1591743927891247105,BGMI Comeback News | GTA 6 on Mobile | iPhone 14 Pro Experiment | STM #307 | Technical Guruji🔥🔥🔥… https://t.co/bwnOaXpCh4
1591668430448443398,Whatsapp Hot Video Call SCAM Exposed🔥🔥🔥https://t.co/hKHKZVjqJe via @YouTubeIndia https://t.co/HwWpzIwVQa
1591345314002513920,BGMI Comeback Confirmed | Oppo 240W | Elon Musk 8$ Verified | WTF | Episode 16 | Technical Guruji🔥🔥🔥… https://t.co/tKgAyDdzdx
1591115563358912514,"The @PlayStation VR2, is powered by 
#MediaTek...It is a custom chip for the #PSVR2..Can't wait to try it out..🔥🔥🔥 https://t.co/NWLqAuvLvf"
1591113454680969217,"The Antutu Benchmark score of the new @MediaTek #Dimensity9200 is through the roof🔥🔥🔥
It also comes packed with mul… https://t.co/RRRG4lVSez"
1591112625978765312,"They say, chances are you have at-least one device powered by #MediaTek around you...These chips are everywhere in… https://t.co/n9I9Rq7fYs"
1591104136053157888,"Hello #TGFamily! I'm at the #MediaTekSummit in Sonoma, CA, USA.
It's always fun to experience the cutting edge tech… https://t.co/Y2a9XRgCAg"
1590948997023555584,"The Secrets Of Elon Musk &amp; Twitter Revealed🔥🔥🔥
https://t.co/RQkcVLELrN via @YouTubeIndia https://t.co/JHLNPDBO56"
1590671262946590720,"Phone with 7 Cameras???🔥🔥🔥
 https://t.co/Agp3386slE via @YouTubeIndia https://t.co/CygcR8zaWH"
1590226428598968320,In Conversation with Shri @AshwiniVaishnaw | 6G in India | Semiconductors | Vande Bharat Exp.🚅🔥🔥🔥… https://t.co/k8LuRfEIFM
1589931916341706753,"The Ultimate 85"" TV - Samsung QN90B Unboxing &amp; First Look🔥
https://t.co/OC43kiPg8H via @YouTubeIndia https://t.co/QV9RIjgC6F"
1589894830519619586,Hello #TGFamily kal wala kaam aaj aur abhi karlo..Twitter ka pata nahi kya hoga aage...Jaldi se #BoloGuruji use kar… https://t.co/hDgfDXYblQ
1589545978566438917,"Smartphone Without Camera🔥🔥🔥
https://t.co/blGCJUPSHY via @YouTubeIndia https://t.co/ulr72IT5mg"
1589240155592101888,"Tesla Phone | Redmi 210W Charging | GTA 6 | Elon Musk 8$ | STM #306 | Technical Guruji🔥🔥🔥
https://t.co/8KN2zkFSsT v… https://t.co/DydiywPvK1"
1589171124814086146,"The Biggest SCAM on YOUTUBE Exposed🔥🔥🔥
https://t.co/oC52tFXeIT via @YouTubeIndia https://t.co/DJrzVQn8Mm"
1588885104340135938,GTA 6 Here | Xiaomi 210W | Digital Rupee | WhatsApp Ban? | WTF | Episode 15 | Technical Guruji🔥🔥🔥… https://t.co/kiY4TIoiUP
1588817767821869056,Everything Going Wrong With Meta📉?🔥🔥🔥https://t.co/ImFjvIVlju via @YouTubeIndia https://t.co/Vhx6iOGhmf
1588481006881107968,"World's Most Powerful iPad - iPad Pro M2 Unboxing &amp; First Look🔥🔥🔥
https://t.co/g1D7kR1y4k via @YouTubeIndia https://t.co/nfAvE56MWt"
1588119504634073088,"What's Inside ₹10,000 iPhone 14 Pro Max?🔥🔥🔥
https://t.co/rQV4SyfIcP via @YouTubeIndia https://t.co/22l43ERRpC"
1587748856359718912,Aaj ke match ka kya scene lagta hai #TGFamily??? Jaldi se #BoloGuruji use karlo Sunday Tech Masala ke liye...
1587737810965958657,"Crazy Smartphone with TWS - Nokia 5710 XpressAudio Unboxing &amp; First Look🔥🔥🔥
https://t.co/djfQ0GwoIU via… https://t.co/OIWsiM2LUU"
1587426217820446720,"Apple iPad 10th Gen Unboxing &amp; First Look - Best For Students?🔥🔥🔥
https://t.co/p2fDtVOljM via @YouTubeIndia https://t.co/e1BhEz3FrP"
1587014298991153152,"Xiaomi 200MP Camera - Xiaomi 12T Pro Unboxing &amp; First Look🔥🔥🔥
https://t.co/eTbxMtP8A9 via @YouTubeIndia https://t.co/ynkNtDpPLj"
1586753861594882048,IndVsPak Experience | 2023 Phones | GTA 6 Update | Whatsapp Down | STM #305 | Technical Guruji🔥🔥🔥… https://t.co/1j4pZRf8W6
1586635277631557632,Earn ₹500-1000 Daily SCAM Exposed🔥🔥🔥https://t.co/0pdAtibe7M via @YouTubeIndia https://t.co/HyQDocayoq
1586376938511179776,BGMI Special News | iPhone 15 Pro | Elon Musk Twitter | WTF | Episode 14 | Technical Guruji🔥🔥🔥… https://t.co/IomntRWlHj
1586280925750472704,JioBook 4G Unboxing &amp; First Look - Jio Aur Jeene Do - Waste Of Money🔥🔥🔥https://t.co/jU1Rcd8lFe via @YouTubeIndia https://t.co/ocvqFQGPL6
1585920003685031937,Nothing Ear (Stick) Unboxing &amp; First Look - Earbuds in Lipstick? 🔥🔥🔥https://t.co/3whWvGGSuD via @YouTubeIndia https://t.co/eRoXcFNu1e
1585625457717714944,"Top Upcoming Smartphones - November 2022🔥🔥🔥
https://t.co/X4vuSSjyrm via @YouTubeIndia https://t.co/cnwMRtqXkT"
1585578946837766146,"Aaj ki party meri taraf se...#INDvsNED 🇮🇳🇮🇳🇮🇳
#TGFamily 🔥 🔥 🔥 https://t.co/WGBJyGlKOn"
1585538952672337920,Hello #TGFamily...#INDvNED Match ke maje lete hue jaldi se #BoloGuruji use karlo aur apne questions pooch lo Sunday Tech Masala ke liye...
1584867933775618048,"Dynamic Island On Android? Xiaomi Civi 2 - Unboxing and First Look🔥🔥🔥
https://t.co/JFDDvtCi9r via @YouTubeIndia https://t.co/v0jU2xpYCj"
1584514736699609089,Wishing you all a very Happy Diwali...May we all get the best in life...#TGFamily 🔥🔥🔥 https://t.co/0cwo21XRpS
1584500514519408641,What a day it was...Just watched the highlights again for Diwali Celebrations🔥🔥🔥#INDvPAK #happydiwali https://t.co/XPGpsJPDbi
1584477617960673280,"#TeamTG wishes entire #TGFamily a very Happy and prosperous Diwali...
Have a blast🔥🔥🔥 https://t.co/N7STMJYuDX"
1584428223055548416,"Delhi from #iPhone14Pro #ShotOniPhone🔥🔥🔥
https://t.co/phTmvT3Mhe via @YouTubeIndia https://t.co/9vYG5w2t4t"
1584210988995211264,"INDvPAK World T20 Melbourne 2022🔥🔥🔥
https://t.co/ucKR8HjPUz via @YouTubeIndia #INDvPAK https://t.co/V6y7XVmHso"
1584118683516878848,BGMI Dhokha? | iPhone Everywhere | Best 5G Phones? | STM #304 | Technical Guruji🔥🔥🔥https://t.co/QhFZz6zpX2 via… https://t.co/PDYXOpKUOf
1584096775887257601,"Indiaaaaaaaa...India..🇮🇳🇮🇳🇮🇳
#INDvPAK https://t.co/EJa2DTwGv8"
1584087852916559872,"My view for the evening...#INDvPAK 
🇮🇳🇮🇳🇮🇳 https://t.co/RUW1sBX51W"
1584065835097890817,Diwali Photography Smartphone Tips &amp; Tricks | Diwali 2022🔥🔥🔥https://t.co/vlO5TnaclH via @YouTubeIndia https://t.co/W6w3cDuHhM
1583806516506681344,Jio 5G Vs AirTel 5G | Mirzapur BAN? | Galaxy S23 | WTF | Episode 13 | Technical Guruji🔥🔥🔥https://t.co/5MHryKw3Fk vi… https://t.co/BWDGFSYN0h
1583703447227969537,"Best 5G Phone? SA Vs NSA? 5G Bands? 5G Speeds? Jio Vs AirTel?🔥🔥🔥
https://t.co/dqGHdWYEea via @YouTubeIndia https://t.co/dUKWqF4dWI"
1583548066820673536,"RT @HTBrunch: OnePlus vs Pixel, which is the better phone for you? And what are your options if you study sound engineering?
(By @Technical…"
1583398473487245317,"Apple Watch Ultra - The Ultimate Smartwatch Experience🔥🔥🔥
https://t.co/6p11cWM0dA via @YouTubeIndia https://t.co/orZTBlU3Tf"
1583043105883766790,"Crazy Next Gen Tech at #vivoTechDay🔥🔥🔥
https://t.co/pC3kR1P3x4 via @YouTubeIndia https://t.co/y3QoPfYW4e"
1582605720020664320,"Chinese Instant Loan Scam Exposed🔥🔥🔥
https://t.co/N3A6A8hcYW via @YouTubeIndia https://t.co/UnUiNtpLuS"
1582590129801084930,Hello #TGFamily..Diwali celebrations ki taiyaari kaisi chal rahi hai? Jaldi se #BoloGuruji use karlo Sunday Tech Masala ke liye...
1582229198134857728,"Apple iPhone 14 Pro Max in ₹10,000🔥🔥🔥
https://t.co/Ltv7FTQgjw via @YouTubeIndia https://t.co/RIBpeIykCL"
1581891507606413318,vivo X Fold+ Unboxing &amp; First Look- The Ultimate Folding Phone?🔥🔥🔥https://t.co/qa5U9rjtmr via @YouTubeIndia https://t.co/GZlTLsjDwa
1581526707843960833,BGMI Coming Back? | 5G In India | Xiaomi Ban in India? | STM #303 | Technical Guruji🔥🔥🔥https://t.co/KZNtLd93Fr via… https://t.co/ixsF4Xjl8F
1581243960411856901,BGMI Back In India | Trump On Twitter | iPhone SE 4 | WTF | Episode 12 | Technical Guruji🔥🔥🔥… https://t.co/KRJeHzIjfg
1581107712670445570,"RT @HTBrunch: What's the best option for a pair of sweat-free earphones that give you the entertainment you need
(By @TechnicalGuruji ) 
ht…"
1580821000882511874,"Hello @OPPOIndia..I just checked your new mediocre yet highly over-priced #4G Smartphone offering #F21sPro...
Curio… https://t.co/AX80ETCkUb"
1580795771644887040,"OPPO Exposed🔥🔥🔥
https://t.co/CSvRppvvKJ via @YouTubeIndia https://t.co/Xvje614Sw3"
1580575218686259201,"The Secrets Of Truecaller Revealed🔥🔥🔥
https://t.co/ZwjtgxqVGd via @YouTubeIndia https://t.co/CmPOSTgZY6"
1580242275698761728,"Google Pixel 7 &amp; Pixel 7 Pro Unboxing and First Look - The Ultimate Camera Experience🔥🔥🔥
https://t.co/PVKQ9VBNnr vi… https://t.co/O2ZRqqnGnw"
1580111807653744641,Namaskar #TGFamily!! Kaise hain aap sab? Samay aa gaya hai main aapke interesting aur fun sawaalon ka jawaab dene k… https://t.co/4z612INpmq
1579719526606045185,"Nokia Mystery Box Unboxing - Nokia 2660 Flip &amp; Nokia 8210 4G🔥🔥🔥
https://t.co/3yC944nyns via @YouTubeIndia https://t.co/kTl0PgpqjJ"
1579468721395228674,"It was so exciting to discuss tech with an academic Gold Medalist, IIT-K &amp; Wharton Alumnus, former IAS officer but… https://t.co/XwM4Qm983u"
1579389088268185600,World's Smallest Bluetooth Speaker🔥🔥🔥https://t.co/9IziwyoG7H via @YouTubeIndia https://t.co/CPJvSWT0Bf
1579001388495142913,Speed of 5G | Google Pixel 7 And Pixel 7 Pro | JioPhone 5G Launch | STM #302 | Technical Guruji🔥🔥🔥… https://t.co/wG4MHVAjed
1578794509063704576,Jio 5G Welcome Offer | iPhone USB-C | Nothing EarStick | WTF | Episode 11 | Technical Guruji🔥🔥🔥… https://t.co/YMyK4Nj0qo
1578653443149172736,"RT @HTBrunch: If you're confused about how to light up your balcony and that too on a budget, here are a few suggestions
(By @TechnicalGuru…"
1578382280275304451,"AirTel 5G Plus Launch - Crazy Fast Speeds🔥🔥🔥
https://t.co/A4OX4vD4wb via @YouTubeIndia https://t.co/Kj3sXZmLdE"
1577964515278266370,"I Apple-Solutely love it! 😍
#TGFamily #Apple #iPhone14🔥🔥🔥 https://t.co/s2KkIaYORp"
1577942890759655424,Hello #TGFamily!!! Kya haal hai? Jaldi se #BoloGuruji use karke apne apne sawaal pooch lo #SundayTechMasala ke liye..
