name,text
1604870329217736706,"Massachusetts Senator Elizabeth Warren wants to know whether Elon Musk is still fit to run Tesla, following his tak… https://t.co/aMTqklg3cI"
1603472462959607808,"Following the collapse of crypto exchange FTX, @SenWarren introduced new legislation Wednesday aimed at cracking do… https://t.co/3SFobH8w8I"
1603435422251630592,"In both Silicon Valley and Boston, concerns about layoffs, relocation, and cost of living are looming large as 2023… https://t.co/gbUsBTWN94"
1598361079326937088,"⏰ Today is the LAST DAY to make nominations for Tech Power Players 2023, where we highlight the people impacting Bo… https://t.co/csci9TAyPa"
1597622841566179329,"⏰ Thursday is the last day to make nominations to Tech Power Players 2023, where we highlight the people impacting… https://t.co/8pXhQcmcBi"
1597321382282788864,"⏰ Just a few more days to make nominations to Tech Power Players 2023, where we highlight the people impacting Bost… https://t.co/j2K2qaWARR"
1596186954105868289,"⏰ Less than 1 week left to make nominations to Tech Power Players 2023, where we highlight the people impacting Bos… https://t.co/QfY7iUsi6R"
1595491766081572864,"⏰Just over 1 week left to make nominations to Tech Power Players 2023, where we highlight the people impacting Bost… https://t.co/GWdp8wzrp1"
1594796373534187553,@rlevy1250 December 1!
1594768718822838284,"⏰Just over 1 week left to make nominations to Tech Power Players 2023, where we highlight the people impacting Bost… https://t.co/3FTTkNuUpB"
1593644892651233285,"As Elon Musk’s Thursday evening deadline for Twitter employees to decide whether to stay or resign approached, seve… https://t.co/ejbEC3jvjx"
1593606501796569088,"🏅 It's time to make nominations to Tech Power Players 2023, where we highlight the people impacting Boston's tech a… https://t.co/kobvpAEJU2"
1593261571882483713,Elon Musk's takeover of Twitter last month has been rife with controversy — and it has likely taken a toll on the w… https://t.co/ZK1spct2MC
1592611605862547456,"⏰Less than two months to make nominations to Tech Power Players 2023, where we highlight the people impacting Bosto… https://t.co/XT0wxocyTw"
1590372348875923457,The Massachusetts technology sector has benefited over the past decade from the expanding operations of West Coast… https://t.co/QFZdAe7lyw
1585286487930806274,🚨 A reminder to make your nominations for Tech Power Players 2023. Submissions close Dec. 31! ⏰… https://t.co/nsNvijimfR
1583518483710476290,"On Thursday, Boston tech entrepreneur @englishpaulm launched the Deets app — where friends can post reviews of loca… https://t.co/WmgxvXSvNr"
1583488294490456067,"@bhalligan, the cofounder of @HubSpot, launched a $100 million investment fund on Thursday dedicated to funding oce… https://t.co/tUijHWYybT"
1583458008809340931,"@teamhoobe, a ""link in bio"" company currently based in Boston, has landed some notable users: Tom Brady, Jeff Bezos… https://t.co/PufVMK6zT7"
1582068927403900929,"A prototype of a solar-powered electric car by Germany-based @SonoMotors made its way to Boston on Friday. 

But th… https://t.co/0jsoW94oj4"
1582052264998449164,"You can now buy a hearing aid as easily as an iPhone, writes @HiawathaBray. 

Read about why and how over-the-count… https://t.co/43E5KolzbX"
1581024614985400320,"Two local tech firms are looking to track health information by analyzing...sweat? 

Read the latest on @epicorebio… https://t.co/TYs1JroLBJ"
1581023872576389120,"XL Fleet, once Boston’s most promising EV business with a stock-market valuation over $4 billion, is nearing the en… https://t.co/9QK73JqGQi"
1581023509039325184,RT @globeevents: Missed our panel this summer exploring strategies for mitigating and protecting against #cyberattacks in education present…
1580184236824592384,"Ascidian Therapeutics, the latest entrant to the budding RNA editing field, emerged from stealth on Tuesday backed… https://t.co/DRVcIVFQYj"
1579900546647195648,"🎧 Listen to the Twitter Space we hosted last week, where reporters @anissagardizy8, @ampressman, @ScottKirsner, and… https://t.co/kqMg9xGiUx"
1578141693580574721,"RT @BostonGlobe: 3D printing company Seurat Technologies will build a 100,000-square-foot factory in the Boston area to mass-produce metal…"
1578069870545190913,"RT @ampressman: @BostonGlobeTech @anissagardizy8 @HiawathaBray Mine were the Buxton smartphone ban https://t.co/zdYTNqgJdR
and the latest t…"
1578069832737722369,"RT @ampressman: Favorite stories from your @BostonGlobeTech team:
@anissagardizy8 Bose https://t.co/as8cuhPzpc
@HiawathaBray online misinfo…"
1578067947318386688,"While we're chatting about what's next...

A reminder that the Tech newsletter, Innovation Beat, is delivered twice… https://t.co/9zi36AGO0w"
1578056236808798209,"⏰STARTING IN 15 MINUTES⏰

@ScottKirsner will lead a discussion on the future of Boston's tech scene with other Glob… https://t.co/qRRZYt31Gs"
1577697380312530953,"@Ginkgo, the Boston-based synthetic biology company, said Tuesday that it has acquired two biotech companies, Altar… https://t.co/N6EfVUz6qv"
1577691290233356293,"Tomorrow at 12:30 p.m. EST, Globe reporters will talk about the future of Boston's tech scene. Set your reminder no… https://t.co/NghfXdASFm"
1577292875422900225,"🗓️It's been one year since we launched our expanded Technology section!

🎉To ring in the tech-iversary, we’re hosti… https://t.co/InYlQVBhk3"
