name,text
1605690918228697104,"Manchester United clear the Round of 16 of the EFL Cup! ✅️

#ManchesterUnited #EFLCup #BurnleyFC https://t.co/P0mQakJNRA"
1605689954944057345,Manchester United returned to competitive football with a comfortable 2-0 victory over Burnley in the last 16 of th… https://t.co/8vRv7KEejS
1605685590086688768,"Kylian Mbappe was all over the field at the World Cup. 🇫🇷⚡🤩

#KylianMbappe #FIFAWorldCup #Qatar2022 https://t.co/iUvJYgcFmD"
1605682534100369409,Manchester United welcome Burnley to Old Trafford on Wednesday (December 21) in the EFL Cup Round of 16. Erik ten H… https://t.co/dBLaJcEEoo
1605678565210853376,"👀

#CristianoRonaldo #EintrachtFrankfurt #ChampionsLeague https://t.co/R142ocxz2a"
1605678423443136514,"Marcus Rashford is just too good! 🔥 

All the way from the half line to the back of the net, WHAT A RUN! 🤯… https://t.co/ACF5VpsAjr"
1605675360942948352,Brazilian legend Ronaldinho has confirmed that he almost joined Premier League giants Manchester United before even… https://t.co/qblRoUQuKn
1605669547607855105,"Pogback at Juventus! 🇫🇷👀

#PaulPogba #Juventus https://t.co/VDIqrxqoIi"
1605669526003417089,"Christian Eriksen scored his first-ever goal at Old Trafford! 💪🏻

That assist by Wan-Bissaka though! 🥵

HT: MUN 1️⃣… https://t.co/wURsgahhVk"
1605668319893549056,Lionel Messi's former Barcelona teammate Ronaldinho has given his opinion on claims that Messi could call time on h… https://t.co/OO6lUVfWIW
1605662412161572874,"You couldn't get past Achraf Hakimi at the World Cup.🏆🫣

#Qatar2022 #FIFAWorldCup #achrafhakimi https://t.co/4QjxVRmQl0"
1605661013558194176,"Joško Gvardiol was the best defender of the FIFA World Cup 2022! 🇭🇷🤩💪

#JoškoGvardiol #FIFAWorldCup #Croatia https://t.co/5mnwH0ZSI0"
1605660765381623808,Brazilian legend Ronaldinho has watched Lionel Messi from close quarters since a very tender age. https://t.co/Ubb57TiVA2
1605657510416945171,"Premier League is not ready for this duo! 🥵

#PremierLeague #ManchesterCity #erlinghaaland #julianálvarez https://t.co/knizM3Km7I"
1605657121533485058,Can the Norwegian goal machine end up with the Golden Boot in his first season at the Premier League? 🤔👀… https://t.co/hftQMVexYz
