name,text
527095295952584704,Free Keynote &amp; PowerPoint mockup templates for prototyping mobile and Web apps #design #UX #mockups http://t.co/BUI5FJkMWY via @keynotopia
344518373314527233,Google Asks U.S. Government For Permission To Publish Aggregate Number Of  National Security Requests It Receives http://t.co/47DDlxb4Xv
344337205654847488,"Sony takes on Microsoft, prices new PS4 below Xbox One http://t.co/jUhsaSOiVl #microsoft #sony"
344306988966092800,"The State of Apple 2013: Quiet, Thoughtful And Serious http://t.co/6FRxfB5MP4 #apple #timcook"
344216397401964545,Apple's iOS 7: Plenty to spur an upgrade cycle http://t.co/5eHWMqbnxN #apple #ios
343944583564111873,Meet your new martyr: Edward Snowden http://t.co/NQJekbfrKI #julianassange #federalgovernmentoftheunitedstates
343763367820926977,That Time It Rained Inside Of Facebook's Data Center http://t.co/kClKPrI2PE #facebook #datacenter
343370767012073474,Google Glass Banned At Google Shareholder Meeting http://t.co/M5qgUL2awP #pornography #google
343340638793781248,"Hard issues on table at Obama, Xi 'informal' summit http://t.co/kaMZWMPMTh #barackobama #xijinping"
343280234994479105,"Obama, Xi seek to ease tensions on cyber security http://t.co/kaMZWMPMTh #barackobama #china"
342827267803721728,Google Glass in casinos? Don't bet on it http://t.co/xoRdNdg6Q5 #gambling #pennsylvaniagamingcontrolboard
342797052448747520,"Google, Facebook And Apple Deny Participation In NSA PRISM Surveillance Program http://t.co/bacvSNbUZp #google #facebook"
342736660938756097,Facebook devs explain how it maps user connections to other 'entities' http://t.co/xrTTD9IWtY #facebook #socialgraph
341619268196126720,"Google Launches Mobile Backend Starter, A One-Click Deployable Cloud Backend For Android Apps http://t.co/L20WQaq3k9 #google #android"
341589087939080194,"Apple's WWDC App Subtly Flattens Visual Elements, Developers Should Take Note Of The New Normal http://t.co/qV0hphOXSh #apple #ios"
341558870495346688,Microsoft opens kimono on Server 2012 R2 at steamy New Orleans bash http://t.co/82rTjnRWDD #microsoft #neworleans
340954890446716929,Google bans face recognition apps for Glass http://t.co/4VhpdlWS50 #google #glass
340924691629895681,How to Ensure Your Sponsored Content Adheres to Google's Guidelines http://t.co/HhT3wHEUjp #google #googlenews
340894482427961344,The make(out)-or-break(up) for Google Glass: Dating http://t.co/agIWrSckJk #google #googleglass
340864286807191552,"Google Glass Won't Have Facial Recognition Apps Yet, Says Google http://t.co/YlqoyDIHsM #google #facialrecognitionsystem"
340713286276378625,Google Won't Approve Glass Apps That Recognize People's Faces… For Now http://t.co/vH9y5GZjGw #google #stevelee
340683089791553537,Judge orders Google to give customer data to FBI http://t.co/rfNfQBIVCK #google #nationalsecurityletter
340652906921484288,Judge orders Google to turn over data to FBI http://t.co/l8YOt8nv0v #google #federalbureauofinvestigation
340169724447047682,Google sick of your sucky passwords; posts video to help you out http://t.co/TflbbfD9cF #google #publicserviceannouncement
340139521356210177,Google's Sundar Pichai Says Google Play Music Is Coming To iOS In A Few Weeks http://t.co/0HGGqPFIhU #google #android
339928140963012608,"With Apple TV, Apple controls more than 70% of the digital media receiver market http://t.co/6uJAfMdxLw #apple #timcook"
339807336501768192,Facebook launches verified pages and profiles for celebs and businesses http://t.co/wcl94BfJpt #facebook #twitter
339626137388998656,"Tim Cook plays coy on Apple TV, wearables at conference http://t.co/H725kTAKgH #apple #iphone"
339595928870719490,Apple CEO: We rejected DOJ settlement in e-book suit http://t.co/Xa8jTHjSII #apple #timcook
339535530058477568,"Porn coming to Google Glass: OK, now it's creepy http://t.co/qVPdzuFuth #mikandi #android"
339384539468136451,EU may demand further Google antitrust concessions http://t.co/o51hGHyraG #europeanunion #google
338327493029289984,Google Unable To Keep Paying App Developers In Argentina http://t.co/dXcsCXFqak #argentina #google
338206770050789376,"Google Glass: It's not an enterprise product, get over it http://t.co/U1ubjadPxo #wearablecomputer #google"
337934987921866753,Google joins Waze acquisition race: report http://t.co/EUXHXpedMf #google #facebook
337874587121508352,"Report: Waze Could Be In Play Again, With Google The Latest Suitor. Or Not Actually http://t.co/8qMQqX8qQH #google #waze"
337783982726979584,"Google mapping Waze takeover, says report http://t.co/K1Jhh08Q8b #google #facebook"
337723603124637697,Google to double encryption key lengths for SSL certs by year's end http://t.co/ifO8KCXT50 #google #transportlayersecurity
337693391284486144,Report: Google Could Soon Face New FTC Antitrust Probe Into Its Display Ads Business http://t.co/f6R381Kubk #google #federaltradecommission
337632997132087296,Google reduces Cloud Datastore pricing http://t.co/p3XAOTDtbg #percentage #lenovo
337270612374482944,Miliband says Google tax behaviour 'wrong' http://t.co/rZdt6Ofhk4 #labour #edmiliband
336878029676634112,"Irish deputy PM: You want more tax from Apple? Your problem, not ours http://t.co/3SOEx0Dnnh #apple #unitedstates"
336847836010385408,"Apple, Congress face off over taxes http://t.co/2NpZ4vZfIW #apple #timcook"
336666631692500992,Google vows to integrate Google Voice into Hangouts http://t.co/yvhBflv0tG #google #googlevoice
336636451628408832,Apple's tax testimony ahead of Senate hearing: By the numbers http://t.co/gqCYS5QGHn #apple #cupertinocalifornia
336607064468119552,Yahoo's Unwatchable Live Stream Proves Its Next Acquisition Should Be A Proper Video Platform http://t.co/SFhYx4X0wB #yahoo #tumblr
336515641051844608,Yahoo to Buy Tumblr and ‘Not Screw it Up’ http://t.co/5NhZaRNzNV #yahoo #tumblr
336213644633321472,Yahoo pulls trigger on $1 billion-plus Tumblr buy http://t.co/41yvzj9BhH #yahoo #marissamayer
335790867182927872,Could Tumblr turn into Yahoo's MySpace? http://t.co/j9Le0GiuBz #yahoo #marissamayer
335579469794381824,"Google Now Introduces Mark Up Tools For Select Partners To Flag Flights, Hotel Stays And Reservations In Emails http://t.co/VRSmfSdV8S #ios"
335549516306604032,Google's Native Code browser tech goes cross-platform http://t.co/JlE53MQ5YM #google #binarycode
335519387366866944,Google Glass Stole the Show at Google I/O 2013 http://t.co/oOePPTCQMO #google #twitter
335488886073597952,"Google+ App For Android Quietly Switched To WebP Image Format A Month And A Half Ago, Saves 50% Bandwidth http://t.co/pnTrL3Akie #google"
