name,text
1604929253698576388,Does this mean Musk is going to step down? #musk #twitter https://t.co/z0fGiH7VQn
1604918605510049803,"Apple came in second place, closely followed by IBM, knocking the previous years' top 5 tech companies off the board https://t.co/pU8qAfPgDo"
1604891401233252361,"He's not had a good year, has he? #musk #twitter https://t.co/Fp4kPUrAkD"
1604869149993435138,Is Musk losing his grip on Twitter? #musk #twitter https://t.co/j0xkekVhuv
1604855099519651843,Will we be using Microsoft Teams like we're using Facebook soon? #microsoft #microsoftteams #msteams https://t.co/tVdnXCtg4d
1604838216636530688,PSA: stop writing your passwords down on sticky notes. #passwords https://t.co/N6nzPJXb2F
1602733999482347520,Are passwordless managers going to take off? #bitwarden #passwordmanager https://t.co/r4TaMLcigp
1602687526829002753,Is Google's VPN still safe? #googleone #cybersecurity https://t.co/IaYIldVOPx
1602668966396182528,Can it get any worse for Twitter? #twitter #musk https://t.co/yWWCvuO33h
1602650344143593473,Will other states follow suit? #texas #tiktok https://t.co/RYQtOhtgYK
1602617711678439425,Were you one of the unlucky two million? #googleplay #malware https://t.co/rRVVUzmq3m
1602607266359812096,"They have become more frequent, however #remotework https://t.co/FG75i5BqgZ"
1600153476780228608,The news comes just weeks after Twitter announced a 90% cut in workforce in the same region - Is Big Tech leaving I… https://t.co/nfQTcRd5jX
1600142064594845697,"If the rumors prove to be true, it'll be the biggest mass layoff of staff in the ecommerce behemoth's 28-year histo… https://t.co/1Az1eIGoq2"
1600127154829885440,"Is there ever going to be a working Twitter alternative? Right now, it looks unlikely #cybersecurity #hive #twitter https://t.co/uCZfgYnV1b"
1600113941602091008,"If you feel like your email inbox is becoming unusable, don't worry - you're not alone. #email https://t.co/h38s8yMBWD"
1600099952868343809,"A three-day weekend isn't too bad for the workers, either! #4dayworkweek https://t.co/Yof7fwJ6xh"
1600082400301776897,"When was the last time you went ""Goblin Mode""? #goblinmode #wordoftheyear #metaverse https://t.co/fNXxTGhEij"
1600073362734166016,"80% lack a vulnerability management solution, while 79% lack a comprehensive multi-factor authentication system.… https://t.co/WOzToqWs1s"
1598369991597953057,"A new study found that when asked about the importance of remote work, women were notably more vocal than men. https://t.co/SuFvrs3IHV"
1598341554497888257,You don't want your business to be the latest data breach victim #databreaches #cybersecurity #cyber https://t.co/RTUnAP3LXb
1598313704667348993,How long will remote working really last? #remoteworking https://t.co/NJd5dOb77w
1598299151208529920,"Musk has also ditched his moderation committee plans, stating that social activist and political groups broke their… https://t.co/i0jcrZp0Gk"
1598288058432077825,Just how bad could Twitter get? #twitter #musk https://t.co/OoGDPD2Gt8
1598270607447269377,"Will ""Live Shopping"" ever catch on in Europe? #liveshopping #tiktok https://t.co/b9gJdQigTh"
1597320852185698304,"The pandemic may be largely over, but that doesn't mean people have stopped worrying #covid #pandemic #remoteworking https://t.co/YiivitYLSo"
1597249442851102720,"Between Black Friday and Christmas particularly, both businesses and customers have to be extra cautious… https://t.co/lZr4CLZki2"
1597231593659195392,It'll be a long time before any other platform can truly rival Twitter #musk #twitter #mastodon https://t.co/15cbTyNmPg
1597217273835532290,Could they be a sitting duck for hackers? #oil #cybersecurity https://t.co/mjo2VtsIzK
1597199362257477633,Will Google's generative AI be able to replace human coders? #google #layoffs https://t.co/RAMHSEuv7L
1595491651987931137,It's coming back! #twitter #e2ee https://t.co/S2jCFSL0fw
1595446974005669888,"With scenes like this, is it only a matter of time before Twitter collapses? #twitter https://t.co/Tg7aZObGH9"
1595433771024646145,"Thanks, DuckDuckGo! Is it slowly becoming a much more attractive option than Google? #duckduckgo https://t.co/7SWqgC30Hm"
1595427018266525699,"When buying, be careful #blackfriday #scams https://t.co/Ql9Jz7r1cu"
1595416593923592195,The novel approach to distributing ransomware may catch even the most tech-savvy off guard. #cybersecurity… https://t.co/5GBgmMudJ6
1595399839050862593,Now we'll never be able to get anything done #microsoftteams https://t.co/fkDm1GOSuF
1595387128237723648,Wickr flickers out #wickr #amazon https://t.co/PMggcMluRm
1595371423672901632,They just keep on coming - and from companies of all sizes. #techlayoffs https://t.co/6EzCx7ZkQn
1595356574603939842,"No free lunches, no remote work hours, and the constant threat of getting fired. Are you hardcore enough? Do you wa… https://t.co/7CDpsXDjkg"
1592263952204972037,Are you currently paying for cyber insurance? #cybersecurity #businessnews #cyber https://t.co/zuifKoyw20
1592263931346968576,Mastodon isn't the only site benefitting from Twitter's tumultuous time of it #twitter #mastodon #countersocial… https://t.co/lms3A3wkUH
1592246151549517824,What could possibly go wrong? #zoom #tesla https://t.co/bJTGedsd39
1592241514322677760,"The law enforcement agency says it has observed ""several instances"" of this specific social engineering scam since… https://t.co/LXEC33caFR"
1592232164518727690,"Ukraine's cybersecurity response team has seen the attack multiple times, but the goal appears to be disruption, no… https://t.co/BCnzQYWpQm"
1592227420752547840,We can't be the only ones thinking this is shockingly high... #ecommerce #traffic https://t.co/oVOwBpKsC5
1592224463357108224,Would you use a Google VPN? #bigtech #vpn #google #googlevpn #googleone https://t.co/bKudupr6Gt
1590758870246477824,We told Elon Musk he was wrong about remote work when he banned the practice at Tesla back in June - but he's still… https://t.co/AKMI18j9F3
1590751383623548928,Is Mastodon the new Twitter? #mastodon #musk https://t.co/XRYhsmUhME
1590734166705917954,"Watch out, Google: Zoom is coming for you #google #zoom https://t.co/y0DrJbaFod"
1590722150951813120,"Hold onto your popcorn, Zoom is coming to the big screen! #zoom #movies https://t.co/UTmqWrzocv"
1590705015588536322,Keep your eyes on Etsy! #etsy #imagesearch https://t.co/DsIHYphyAV
1590693102431240193,The exodus has begun #elonmusk #twitter https://t.co/wLx0GGNEa7
1590685574100582401,Some very sensitive data might have been exposed in this leak #chegg #edtech #databreach https://t.co/gJumlMxfwQ
1590677691287511046,Which companies offer the most flexible working arrangements? find out here #wfh #remotework https://t.co/UdS5lGK3ma
1590650531701084160,"It was nice to Hangout, but all good things come to an end eventually #googlehangouts #google https://t.co/WnOvzlGimB"
