name,text
1605684556295806978,your horoscope says… you should go listen to our #YouTubeBlack Voices artist @t6mikee’s ‘Beware of the Monkey’ 🔮 →… https://t.co/aQJ2UT4GV4
1605669449088000015,what's your dream collab? 👯
1605639342055165954,"since @angel22 gave us @rosalia like we’ve never heard before, they win “Genre Swap Genius” for our fave Shorts of… https://t.co/eVkIbnagRp"
1605356006250364929,@AvaMax never been readier!! ringing in 2023 with some heat
1605355798678437891,@Sirjaxxx1 Shakira's got the M O V E S !!
1605355598547238912,"@keil1_tobias nothing but ♥️ for Shakira, always brightening our day :)"
1605291962080415761,you can’t spell music without us ❤️
1605272904412848128,@beynation4 she's called queen bey for a reason 👑
1605271462360784909,@Alitaxx28 such a great album 🔥 definitely one of ~ the greatest ~ albums to come out of 2022
1605269385945423893,back to Shorts in 2022... *obviously* @shakira is “Most Likely To Brighten Your Day” 🌞 https://t.co/jUtRtLMm6y
1604991257134104576,"@amalacareca she truly can do no wrong 😍 the energy, the transitions, the vocals"
1604991081170583553,@ericfg_vt the samples on this album are INSANE.. then you add in Rosalía's voice... speechless 🤯
1604990883723726849,@Osvaldo59037864 Midnights' is a lyrical masterpiece
1604990696351465472,@javiercoronalo this album was well worth the 2.5 year wait!
1604990315479416832,@LikuSwift13 another elite album from Taylor 🤩
1604990005503528960,@badcarter4 Beyoncé truly showed up and showed out with this album!! 😭
1604989777224278016,@allaboutROSALIA MOTOMAMI is the gift that keeps on giving ❤️‍🔥
1604989471371526144,"@maryoncezz2 queen bey always delivers, no skips!! 🔥"
1604936471676272645,album of 2022?
1604899447485485063,and you *know* @samsmith &amp; @kimpetras were the “Life Of The Party” on Shorts in 2022 💃🏿💃🏻💃🏾💃🏼💃🏽 https://t.co/ujw8zy1Msk
1604577240792145924,.@Beyonce?? no we want to BeyonSEE the visuals!!!!! @parkwood
1604570606980177925,@princecharmgrey anyone still sleeping on the queen might wanna wake up IMMEDIATELY 🐝
1604569644748136448,@KamiAkuma3 solid list 🔥 seeing some legends in there who hold weight!
1604569427130949633,@emelineisme the honor is ours!! the looks you served spoke volumes! 🔊💖
1604569117884878849,"@Tip to this day ""Go Get It"" still motivates us to get up and grind 💯"
1604568918298861572,@AvaMax two years worth the wait with a special ending 🤩❤️
1604568726078197760,"@LewisCapaldi we're not crying, you're crying... ok fine we're crying!! this video took the song to another level 😭❤️"
1604565700542177280,"looking back at 2022, @jvkesongs won “Class Clown“ with this lol-worthy Short 😂 https://t.co/sHiUVpqe5O"
1604540780877692930,happier than ever bc it’s @billieeilish’s bday!! 🎂 https://t.co/wt36kRlnYK
1604522006619488256,"hip hop? k-pop? indie? pop? we’ve got a 2022 hits playlist for *every* genre 🌟 play @kendricklamar, @aespa_official… https://t.co/L72Ps2xP2t"
1604208615384137728,@sofitukker speechless!! we can just feel the emotion you brought to this 🥰
1604208169043243009,@TierraWhack this is why this is why this is why i’m hot
1604207843166633985,@Yo42O_ really speaks to the soul 🤍 never give up and keep doing what you're doing!
1604207210892066816,@jamesklusener UNIQUE!! stays on repeat 👽🔥
1604206818162782209,@Music_Martin_ gotta represent 💯 the album and these Shorts are incredible!
1604206483767316480,@bootiebrownOG such a great collab 🔥 who else would you like to see @gorillaz work with?
1604182211300691968,and @emelineisme gets “Best Dressed” for 2022 Shorts… duh! 👗 https://t.co/MrZ1Emdmvq
1604159491628376066,drop an artist everyone is sleeping on ⤵️
1603873368066908239,@Latto you NEVER miss!! giving us the friday energy we all need 🎰
1603871767071711263,@kendricklamar it's visual after visual...we can always count on you for creating art 🎨
1603865142822854660,and in Shorts of 2022 news... @gorillaz won us over with the “Smoothest Collab” ft @tameimpala &amp; @bootiebrownOG 👯 https://t.co/EzW3oWpssL
1603863443597103104,"@raye thank you BOTH for creating the masterpiece that is ""Escapism."" 🤩 cannot stop listening!!"
1603857504512925705,.@sushitrash’s “Die For You” is setting the mood on #YouTubeShorts 💗 join this trend by pairing this track with a S… https://t.co/Zay1hDFmiO
1603856282221436947,@KiDCuDi your music is truly out of this world 🌙 congrats on this incredible achievement!
1603855715789115408,@JYPETWICE just when we thought our friday couldn't get any better! your bond is unbreakable ❤️🤩
1603845025162530838,"⬇️new music drop⬇️ play 

🔥 @zedsdead x @Griz 
🔥 @WejdeneOfficiel ft @NejOfficiel
🔥 @SAINtJHN &amp; @LondonOnDaTrack 
🔥… https://t.co/VI5GM75tWC"
1603836109162676267,which song did you used to skip but now it’s a personal fave?
1603827392753041415,pour one up and play @maskedwolfmusic’s “Butterflies &amp; Bandaids” 🍹 → https://t.co/zrOtjiIaTz https://t.co/izIwMqhFWb
1603812710210322437,it’s @abdashsoul’s first album in over six years and it’s a certified banger 🔥 press play on ‘HERBERT’ →… https://t.co/kfwWOhY4YF
1603529700575428612,@DriesLievens_ still recovering from the day Queen Bey announced this album release
1603529095278624781,"@WaluDYC the store is instantly turning into a personal dance floor when ""Overcomers"" comes on 🎶"
1603528563147284480,@playingforcats what song are you dropping everything and walking into the store for?
1603527929538945024,@seven58o 90s alt rock songs will stand the test of time as they rightfully should
1603526346956759041,@niallernroses never gets old ❤️ is this your fav Niall album?
1603524934537564161,@PoojaIsNagpal the second this dropped it was headphones: *on* world: *off* 🎧
1603524436140998659,@tomlloyd1989 oh you already know 'Merry Christmas' has been on repeat since november 25th ❄️ Mariah is an icon!
1603523653685153793,@bb_besty they really blessed the fans with this one 💿 what's your fav song from the album?
1603523064305704960,@infj_a_exol patiently waiting for a new EXO album but will continue to listen to the others nonstop until then 🎶
1603505190929403904,@edsheeran impossible to see you two together and not get excited 🤩 the dream team!!
1603504876843057153,@spicegirls 25 years later and still the greatest gift 😊 obsessed with the added scenes!!
