name,text
1602417232209973266,RT @DoubleLambOG: new song tonight
1600520416757424128,12.9.22 🔥 @ICECOLDBISHOP https://t.co/p2Qep6HI06
1600186318222303233,.@Meghan_Trainor turning heads at @Genius💖https://t.co/4i6IstBWia https://t.co/qq3IkLr2Kr
1600183665530523648,RT @mimiwebb: 🚩🚩🚩🚩🚩🚩🚩
1597995900491960320,"712PM OUT NOW🔥 @1future @trvisXX 
https://t.co/Ffxow8AeQ8 https://t.co/dZWSPkD8Gg"
1597714245847654400,RT @PontiacMadeDDG: Made the Forbes List this year! 💰🔥 30 Under 30!!! CAN’T NOBODY TELL ME NOTHING!!! https://t.co/qGEquG6nVj
1595443687747715078,"RT @mimiwebb: My album ""Amelia"" is a story about 2 girls: Amelia the countryside girl and Mimi the pop star 🌟To prepare you guys for it I c…"
1594535419102007297,"RT @AMAs: Give it up for @1future ft @Drake and @temsbaby👏

""WAIT FOR U"" won the award for Favorite Hip-Hop Song  #AMAs https://t.co/iAak8T…"
1593669287125942272,"NEW MUSIC FRIDAY 11.18.22

@lilharold21gang  
@johnk 
@ShoMadjozi 
@PontiacMadeDDG https://t.co/wDDq4pmKUF"
1593295428900077569,RT @johnk: can't fckn wait https://t.co/wxcxSDnwPE
1593295374638370822,RT @1future: Thank you @billboard https://t.co/ehDUyPXX7l
1592693408111669248,Congratulations to our 2023 #GRAMMY Award nominees! https://t.co/lGE1orlON9
1592587789648158722,RT or reply to vote @1future's WAIT FOR U for Favorite Hip-Hop Song at the #AMAs 🔥🦅
1592586431989706752,RT @1future: RT to vote WAIT FOR U for Favorite Hip-Hop Song at the #AMAs 🦅
1592264828621844480,RT to vote or vote here: https://t.co/00Om8q4rbZ
1592264737810968576,I'm voting for @1future's I NEVER LIKED YOU for Favorite Hip-Hop Album at the #AMAs 🔥
1592220562180694016,RT @1future: RT to vote for I NEVER LIKED YOU for Favorite Hip-Hop Album at the #AMAs 🦅
1591150862961111040,"Get into the holiday spirit with @giveon &amp; check out his take on ""The First Noel,"" exclusively on @amazonmusic… https://t.co/WYn8YiRpmT"
1591147542129315840,"NEW MUSIC FRIDAY 11.11.22

@Bahari 
@bep 
@HeadieOne https://t.co/iXTs7PQAAK"
1591078622084964356,".@1future is up for four awards at the #AMAs

🔥 Favorite Male Hip-Hop Artist
🔥 ""WAIT FOR U"": Collaboration of the Y… https://t.co/4qSFR6JRQv"
1590875696507019265,712PM SOON @1future https://t.co/nBdXLxPQUh
1590836110275801088,Vote here for @1future➡️https://t.co/f3T6cgQPoj https://t.co/MjaI3LXbnX
1590072426804969472,RT @Bahari: 11.11.22 https://t.co/ha0DhwsUD5
1590029520815288321,Vote Today. https://t.co/r5CQjZwnhV
1588675832595492864,"NEW MUSIC FRIDAY 11.04.22

@DardanRegard 
@headieone
@lilharold21gang 
@scribzriley 
@Tylathecurator https://t.co/VZToGpiKZv"
1588589641976131585,RT @Meghan_Trainor: Wow🥹🥰🥳 this made me so emotional. Love y’all
1588589464376741889,😎 https://t.co/B9huuNQmAU
1586034388780711936,"NEW MUSIC FRIDAY 10.28.22

@bep 
@rawyoungin7 https://t.co/ABnBTnQ3uF"
1585669355345481730,"RT @bep: ELEVATION ☁️🚀This is the next stage for us, higher. New album out 11/11. Pre-save it now! https://t.co/LhsLS6zsmB https://t.co/YhK…"
1585659643954610177,Congrats to @djkhaled and @giveon on their @BET @SoulTrain nominations!🎉 https://t.co/NGZnuQY8N3
1585322121567281152,"RT @mimiwebb: OMG guys so many dates of my upcoming tour are now sold out 🥹 thank you so much!!! A few tickets left in the link below, can’…"
1583495515466891269,"""Made You Look"" from @Meghan_Trainor's new album Takin' It Back! 💕 https://t.co/vsatpov63h https://t.co/oIOSPAPu6e"
1583472641939120134,"NEW MUSIC FRIDAY 10.21.22

@Meghan_Trainor 
@BabyFaceApm 
@DoubleLambOG 
@jamieraymusic 
@TylaYaweh https://t.co/leWCUZEZEu"
1583468745334280194,RT @Meghan_Trainor: My 4th album #TakinItBack is out now😭 Thank you to every single person who worked on this album (you know who you are a…
1583174949132726272,RT @CandyCrushSaga: 🍬 sweet video alert 🍬
1583173945104048129,"One day til she's Takin' It Back! @Meghan_Trainor 

https://t.co/TQMpY59mXS https://t.co/mPV324THi3"
1582759161859014656,RT @BabyFaceApm: Who’s Ready for Melvoni Friday #ThisIsNotADrill #viral #Underatted https://t.co/MEB6W2MZWL
1582759141680246784,RT @Meghan_Trainor: Catch me LIVE on the @TODAYshow on 10/21!! #MeghanTrainorTODAY 💖📺 https://t.co/VAG624vbcs
