name,text
1598354722577973258,RT @Spotify: Nothing can hold you back from getting your #SpotifyWrapped ✨  Smash the like button for a surprise.
1598041400331104256,RT @MetroBoomin: Tweet using the #HeroesandVillains hashtag and the fire will burn and reveal the tracklist at https://t.co/zItVZLZH5u http…
1587486303490379777,RT @RickRoss: We lost a young legend #Takeoff 🙏🏽
1587485985843159041,"Georgia's gift to the world.
His legacy: everlasting.

FOREVER TAKEOFF 🕊 https://t.co/KH15GsoF9b"
1587148925231931392,RT @taylorswift13: 10 out of 10 of the Hot 100??? On my 10th album??? I AM IN SHAMBLES.
1587119368915529728,"it's a @JoyceWrice kind of day 🧡💙
▶️ MOTIVE https://t.co/lbrXkAfxor"
1586047989889441792,@AXE https://t.co/10llPJUdUm
1586047489487953920,@laeticiaaac sure is!
1586047079713017857,"✅ Rihanna
✅ SZA
✅ Wizkid
✅ Smino
✅ Ice Spice
✅ UPSAHL
✅ JIN
✅ Fousheé 
✅ Chlöe + Latto
✅ BlueBucksClan"
1585843804413825030,"Better yet... a Navy.

#LiftMeUp
#Rihanna
#RiRi
#BadGalRiRi"
1585730491742883840,"RT @heisrema: My voice on the Black Panther trailer, I’m speechless! Big ups everyone who took part in making this happen, Wakanda Forever!…"
1585711877723926529,"RT @rihanna: tonight…
MIDNIGHT EST. 
#LiftMeUp https://t.co/1y8yRjh7GM"
1585705348014698496,RT @bujubanton: I see you @TwitterMusic !! #SiMiClean TONIGHT MIDNIGHT!
1585705314111918091,@bujubanton Mi ready! 💪🏾
1585310788390359041,"RT @prateekkuhad: Answering questions today about The Way That Lovers Do India Tour! 

Ps. Send your questions in before 10pm.
 #AskPrateek…"
1585302885935370240,"RT @rihanna: lift me up
10.28.22 https://t.co/hIvhUQP8Bj"
1585088826334027776,⚓
1584992464263208960,"@Niqa_Mor @_kaaaai Listen, Night Swim went triple platinum at the crib"
1584989456981184512,@KingCourtnie ☁️💙 https://t.co/bYyNZo0vCn
1584989135680733184,RT @KingCourtnie: CHECK OUT @TwitterMusic TODAY FOR A SPECIAL TREAT ☁️ https://t.co/tE1skms1jf
1584989055720493057,🔂 LIFTED by @KingCourtnie ☁️ https://t.co/r98Y1ubUeC… https://t.co/r98Y1ubUeC
1584954498283606018,your fave indie artists
1584946615387029504,"RT @ITZYofficial: ITZY THE 1ST WORLD TOUR &lt;CHECKMATE&gt; 

#ITZY_TwitterSpaces #LA
Let's meet a little earlier through 🆕Spaces🆕 before the sho…"
1584569121572032514,@pandoramusic @ckay_yo @UncleSego @ayrastarr @TwitterSpaces @okayplayer @OkayAfrica https://t.co/52d8U1ZPcR
1583539586029875200,K BYE BACK TO LISTENING TO MIDNIGHTS OVER AND OVER AGAIN
1583539510716964865,"🎧Dear Reader:
https://t.co/Sc5SSTZDkU"
1583539447013863425,"🎧Would’ve, Could’ve, Should’ve:
https://t.co/fx7G8818P7"
1583539394106970112,"🎧Glitch:
https://t.co/SftxWkRwn0"
1583539315409178625,"🎧High Infidelity:
https://t.co/ploJgUOIP2"
1583539248472285184,"🎧Paris:
https://t.co/v1fdin64Pd"
1583539155287494656,"🎧Bigger Than The Whole Sky:
https://t.co/X2xNRizNha"
1583539106444779520,"🎧The Great War:
https://t.co/CCntTgYf3e"
1583539055513378817,"🎧Mastermind:
https://t.co/kKFfmktiIE"
1583538429492490240,"🎧Sweet Nothing:
https://t.co/32WprICCvJ"
1583538356444487680,"🎧Karma:
https://t.co/Q339IJQYwm"
1583538276639440896,"🎧Labyrinth:
https://t.co/aN8ZoMDwr4"
1583538184738119680,"🎧Bejeweled:
https://t.co/ROS5wsfVG6"
1583538063493382146,"🎧Vigilante Shit:
https://t.co/BRB8EZCPbI"
1583537896685858817,"🎧Question…?:
https://t.co/6WXTasQoXZ"
1583537785092177920,"🎧Midnight Rain:
https://t.co/fJmyIDGeas"
1583537694386233344,"🎧You’re on Your Own, Kid:
https://t.co/D1vRWinlst"
1583537534549692416,"🎧 Snow on the Beach:
https://t.co/CdUjaneLcT"
1583537359441666048,"🎧 Anti-Hero:
https://t.co/CtUhYXb9dh"
1583537246010953729,"🎧 Maroon:
https://t.co/ZetgTBayPH"
1583537014338560001,"🎧 Lavender Haze:
https://t.co/61z5QuhTVs"
1583536888454914048,"#TSmidnighTS tracks as Tweets, a thread:"
1583355988265951232,SEVEN MORE SONGS
1582944711563563008,🕛
1582623973229006848,@juliaknowsit 🕰 take a look at my header 🕰
1582497500589527040,your fave Taylor era
