name,text
1605672998161108992,"This team is special 😊

Congratulations, @bmeado9 👏 https://t.co/w3gS0zAB8v"
1605670109858537472,"RT @ArsenalWFC: ❤️ OUR BETH MEAD ❤️

BBC Sports Personality of the Year 2022 🏆  https://t.co/pi5hnKDtfI"
1605661864041631745,"🗳 VOTE FOR MEADO NOW! 🗳

Let's make @BMeado9 the 2022 Sports Personality of the Year ❤️

You know what to do, Gooners 👇"
1605606871011713037,"RT @ArsenalWFC: ‘We love you, @bmeado9’ 🥰

Good luck Beth! Our whole Arsenal family are with you ❤️ https://t.co/I1BbDTR700"
1605595479999406080,"It’s a big night for Beth! 🙏 

Our Meado is off to the BBC Sports Personality awards 2022 🏆 

Head to our IG story… https://t.co/dbjiQZDE88"
1605562420847673344,"👏 Record start
🏟 Home &amp; away form
⚽️ Ten different goalscorers 

🗞 Behind the numbers of our superb start to 2022/23 👇"
1605179815090393088,"Three years of the boss  👊

Relive the journey so far... ❤️"
1605143623275773953,"RT @ArsenalWFC: Nominated for BBC Sports Personality of the Year 2022 🤩

Congratulations, @bmeado9 👏"
1604831666744299520,"🔥 Fast starts
⭐️ Emerging star
📈 Evolving roles 

The Breakdown evaluates our season so far 👇"
1604784787944009729,@VivianneMiedema @bmeado9 ❤️
1604784663842652160,"RT @ArsenalWFC: We're with you every step of the way, @VivianneMiedema ❤️"
1604776287024779269,"🥳 Happy birthday, Gabi! ❤️

🎂 @Biel_m04 https://t.co/aoDdXCR8Ei"
1604567178749034497,Happy Chanukah to all of our supporters celebrating! https://t.co/N9U9AuXd1B
1604557129717018624,"More opportunities to come. 

Our Wilo ❤️ https://t.co/3nFM3taWUy"
1604247973621370880,"▪️ The feeling in the dressing room
▪️ Saka and Martinelli 
▪️ Fitness updates

🗞 Catch every word from Mikel's pos… https://t.co/egX1hTOT76"
1604203134074572800,"It ends in defeat.

🔴 0-2 ⚫️ (FT) https://t.co/hWMLtUBlF6"
1604202596285272064,"Goal for Juventus - scored by Iling-Junior.

🔴 0-2 ⚫️ (90+1)"
1604195688820408320,"Three changes from the boss...

↩️ White
🔛 Cedric

↩️ Partey
🔛 Elneny

↩️ Xhaka
🔛 Cozier-Duberry

🔴 0-1 ⚫️ (62) https://t.co/nnXDwaBhGN"
1604190915958304769,"👊 Back underway at Emirates Stadium

⚡️ Come on you Gunners

🔴 0 - 1 ⚫️ (46) https://t.co/nkoVb4psqj"
1604188216252399618,"A goal against the run of play see's us one down at half time

All to play for in the second half 👊

🔴 0-1 ⚫️ (HT)"
1604187270751191040,"Juventus take the lead through a Xhaka own goal.

🔴 0-1 ⚫️ (45+1)"
1604180926908473346,"We've made our first change of the evening

↩️ Nelson
🔛 Marquinhos

🔴 0-0 ⚫️ (21)"
1604175199225712645,"⏱ We're LIVE at Emirates Stadium…

⚡️ COME ON ARSENAL!

🔴 0 - 0 ⚫️ (1)"
1604171531671654401,🔎 A look inside today's dressing room... https://t.co/8aybs6tL04
1604159635266707459,"🔴 𝗧𝗘𝗔𝗠𝙉𝙀𝙒𝙎 ⚪️

🧤 Ramsdale starts in goal
💪 Granit back in midfield
🎯 Eddie leads the line

📺 Get your Match Pass to watch the action LIVE 👇"
1604156203340140544,📍 We've arrived https://t.co/NsrJ7sRGdo
1604147728304332800,"Our home 🏡

See you soon, Gooners 👋 https://t.co/8CR1VSQ5zC"
1604116913495212032,Matchday memories against Juventus 🔥 https://t.co/iBKzLn5pF4
1604069405633159168,"🤩 Memorable moments
🏆 Previous meetings
🎥 Highlights

🗞 A look back at our last six competitive meetings with Juventus 👇"
1604058968493547520,"🚨 MATCHDAY!

🆚 Juventus
🕕 6pm (UK)
🏟 Emirates Stadium

📺 LIVE on https://t.co/4KJlfKW7rt 👇"
1604040910047653888,"🥳 Happy birthday, Captain ❤️ https://t.co/qrXopEmvid"
1603849949514502150,"🤩 Our Gunners return to Emirates Stadium tomorrow

🎟 Last chance to get tickets 👇"
1603839881293090816,"📸 Want to see more from training?

Check out the full gallery from today's session 👇"
1603834850728869898,"❄️ Throw-in practice, Mo? https://t.co/s3TH7ASIxE"
1603831073732952064,📍 Back at London Colney https://t.co/swCqcN9vU6
1603816701770207232,🤳 A heartfelt message from our Player of the Month ❤️ https://t.co/fSIRkoZ3EU
1603796972040847364,"🏆 November Player of the Month 🏆 

🥇 With 47% of the vote…

🎶 Benny White, White, White 🎶"
1603767406698135552,"⚽️ The current squad 
🏟 Form this season
🔎 Club history

🗞 Everything you need to know about Juventus ahead of our match tomorrow 👇"
1603753519466647554,"⏳ Not long until we return to Emirates Stadium...

🏟 We take on Juventus tomorrow, December 17

🎟 Last chance to ge… https://t.co/4uHQAnpUzh"
1603722123545042948,"RT @ArsenalWFC: ‘I love playing for Arsenal, I love where I am and I love my family away from family here.’ 

@BMeado9 has signed a new con…"
1603718109487321088,RT @ArsenalWFC: Our @Bmeado9 has something to say... https://t.co/DbCfRHCJ4Q
1603348411348041731,"🥳 Happy birthday, Alex Zinchenko! ❤️ https://t.co/cCTDtgvxjm"
1603326054512336897,"RT @ArsenalWFC: Our final home game of 2022...

Lyon in the @UWCL | Emirates Stadium ✊

IT'S MATCHDAY! COME ON ARSENAL! ❤️ https://t.co/HPt…"
1603027026939551744,"Simply Øutstanding 🪄

📺 Watch the best of the action from our win in the Dubai Super Cup👇"
1603002383981842432,"Back in stock 🚨

Arsenal x adidas 22/23 Third shirt is available from Arsenal Direct now 👊"
1602989351419359232,"🤩 Fábio's movement

💫 Reiss with the finish https://t.co/r69hqvPqYw"
1602944338056577026,RT @ArsenalAcademy: Our young Gunners ❤️ https://t.co/LJ7wgXF0oi
1602786732902346752,Together ❤️ https://t.co/ky2v9SuZTI
1602780534853099520,"Two games ✌️
One clean sheet 🧤
Five penalty saves ✅ https://t.co/ehlvd6L6Az"
1602772568196399104,"💬 “The players' attitude has been very good and psychologically they are in a good place.”

🎙️ The boss on our Worl… https://t.co/3g8sBbgN0e"
1602735725551620096,Marvelløus 🚀 https://t.co/WsWeHbu5xD
1602719132449148928,"🙌 From our supporters in Dubai 

❤️ @Gabrieljesus9 https://t.co/XB4razJSk1"
1602711598493102080,"Incredible support in Dubai this week 🥰

Back home at Emirates Stadium on Saturday ❤️ https://t.co/sYtXvLgJUu"
1602699550355247104,"Extra point in the bag ✅

Job done in Dubai 🤝 https://t.co/5b8bpksWqe"
1602698174128443395,"Krunic goes wide!

We secure the extra point 👊

Arsenal - ✅✅✅✅❌
AC Milan - ✅❌✅✅❌"
1602697169454206979,"Elneny finds the top corner 🚀

Arsenal - ✅✅✅✅
AC Milan - ✅❌✅✅"
1602696852557668355,"Beautifully finished by Marquinhos ⚡️

Arsenal - ✅✅✅
AC Milan - ✅❌✅"
1602696456321761280,"Gabriel finds the corner 🎯
Hein makes the save! 🧤

Arsenal - ✅✅
AC Milan - ✅❌"
1602696032038658076,"The penalty shooutout begins...

Cedric slots it home 👊

Arsenal - ✅
AC Milan - ✅"
1602694593874604033,"🔥 Back-to-back wins in Dubai 

🚨 Penalty shootout up next for an extra point https://t.co/PGAVOZ90Je"
1602690019990421506,"Goal for AC Milan - scored by Tomori.

🔴 2-1 🟢 (77)"
1602684696869101569,Back with us ❤️ https://t.co/lK3yIf35al
1602681518232518659,"A double change at the break ✊

↩️ Partey
🔛 Elneny

↩️ White
🔛 Cedric

🔴 2 - 0 🟢 (46) https://t.co/7djojVcy1t"
1602677435220246531,Heading into the break with the lead 🤩
1602675898045681665,"NELSON GRABS US A SECOND 🔥

🔴 2-0 🟢 (42)"
1602672326990069761,Superb set piece from the skipper 🚀
