name,text
1603784439527612419,RT @Deorro: NOBODY LIKE YOU IS OUT NOW 🧡 https://t.co/B3PzRXDCyo
1599832968893464576,@tiesto @GordoSZN 🔥🔥🔥
1599832906699939840,"RT @tiesto: Remix Now Streaming ! @GordoSZN TARAKA

https://t.co/lPIKMHmQ93"
1598682640256667653,"RT @1001TLtv: Celebrating their hit ""Take Me"" @Martin_Ikin &amp; @joshwa_uk bring us 60 minutes of high energy, up front Tech House belters ⛽🔥…"
1598682545364803590,"RT @VARIANCE: Behind the Sound: @Smoko_Ono chatted with us about the grind, and the importance of patience as an up-and-coming artist who i…"
1592984731221573632,👀 https://t.co/js3fFITrYO
1590462446711758848,@Martin_Ikin @joshwa_uk we’re ready🤝🔥
1590450815000408066,"RT @Martin_Ikin: “TAKE ME” - Pre Order Now ♥️👇🏻👇🏻
https://t.co/tLm7Hgj6Ia https://t.co/L9EE7rYM5P"
1587602264168009728,@discord excited for what’s to come🤝🎧👾
1587591154593591296,"You’re on Discord, we’re on Discord. 
 
We’re excited to launch our official Ultra Records server on Discord — Your… https://t.co/7puh4iFUXt"
1583570942206148608,"RT @Los40Dance: Mañana en #LOS40DanceInSessions
w/ Arturo Grao🎙

❗Especial @ultrarecords

❗@KarenHarding
❗@sofitukker
❗@GATTUSO_MUSIC
❗@Nur…"
1582802804543868928,"RT @1001TLtv: Italian duo @gioliandassia are super talented multi-instrumentalists, singers, songwriters, record label owners, and DJs, who…"
1582802773942636544,RT @1001TLtv: .@Martin_Ikin has stayed red hot with his releases on @toolroomrecords and @ultrarecords and he's in the rankings for the thi…
1582802629821726721,RT @wearelowes: Was so important for us to get the acoustic of Adidas &amp; Pearls released - thanks to @ultrarecords @solardomusic @VintageCul…
1582065817197613056,"RT @1001TLtv: Through releases on @ultrarecords and their own @solamusicuk imprint, British tech house duo @solardomusic keep pumping out b…"
1582065780442943488,"RT @wearelowes: Secret's out, we are releasing an acoustic version of Adidas &amp; Pearls @solardomusic @VintageCulture @ultrarecords  this Wed…"
1579547773741195265,"RT @mp3magofficial: NEW MUSIC: LA-based duo @nighttalesmusi5 release their debut album ‘Proof’ via @ultrarecords ✨ 

Stream the album + che…"
1577318836398968835,"RT @TheEDMNetwork: Out today via @ultrarecords, @SNBRNMUSIC has dropped his highly anticipated sophomore album 🔊
https://t.co/osezSGwzlH"
1572700824446320646,"We’re so saddened about the tragic news of @jamieroyuk passing. 

In addition to being a rising star in the Ultra f… https://t.co/RcprTKDyqU"
1567595213723410434,"@itsspacerangers “THE MOVE” for @Apple #iPhone14📱🎧

#AppleEvent https://t.co/2u0cj1rxWb"
1567569948355985411,our favorite thing about dance music is that it sounds like dance music 🪩
1565741670699769857,RT @sofitukker: The craziest livestream yet!!! From a helicopter over NYC @flybladenow full set coming soon @YouTube 🚀🚀 #SummerinNewYork 🧡…
