name,text
1605673463510884379,@DeccaRecords have announced the January 2023 release of the highly-anticipated 2021 London Cast Recording of one o… https://t.co/lVVWMSzAHj
1605665913381851137,".@SnoopDogg has announced the rescheduled 2023 dates for his ‘I Wanna Thank Me’ UK and Ireland tour👇👇👇
https://t.co/Q2ndZnKgHa"
1605658615267803137,".@DierksBentley, @tanyatucker, and @BradPaisley will be among the stars of a newly-announced tribute concert to cou… https://t.co/i4Hn47VhEL"
1605652827103076352,.@bfmvofficial have premiered a new official music video for their latest single “No More Tears To Cry.” Watch the… https://t.co/S1alP1C0xL
1605649886745137163,.@djsnake has joined forces with Spain’s Wade and India’s Nooran Sisters for the hypnotic new single “Guddi Riddim.… https://t.co/IDpcLYzxWX
1605624415705767936,"From ‘National Lampoon’s Christmas Vacation’ to ‘Home Alone,’ here are some of the best Christmas soundtracks to ge… https://t.co/LC8io7L3nH"
1605324413221539840,".@bobdylan has named Metallica, Leonard Cohen, Brenda Lee, and Eminem among his favorite artists, and revealed trac… https://t.co/pjoW1NzRGU"
1605308810263793664,"@PaulMcCartney recently shared new reflections on his time headlining Glastonbury 2022, alongside new photos and fo… https://t.co/WlfCfDne8g"
1605293459350474768,".@QueenWillRock's monumental smash “Bohemian Rhapsody” has surpassed two billion streams on Spotify👏👏👏
https://t.co/QOOkD5Vdl2"
1605288174241992704,.@bts_bighit are set to release new concert film ‘BTS Yet To Come In Cinemas’ on the big screen in 2023… https://t.co/o7bcbBG7j7
1605283392995659777,".@nilerodgers and @CHICorg have helped raise £125,000 for music therapy charity Nordoff Robbins
https://t.co/lSu33LSXjo"
1605280372786450432,"Martin Duffy, who played keyboards for Primal Scream and Felt, has died aged 55
https://t.co/xcQwi3LNcZ"
1605277998571290626,"RT @bts_bighit: &lt;BTS: Yet To Come in Cinemas&gt;
전 세계가 함께 즐긴 BTS &lt;Yet To Come&gt; in BUSAN 콘서트를 극장 대형 스크린으로! 2월 1일, 전 세계 극장 개봉!

&lt;한국 개봉 안내&gt;
📅2023…"
1605276570125586457,"Shirley Watts, the wife of late Rolling Stones drummer Charlie, died on December 16 at the age of 84
https://t.co/1AIo42ryT0"
1605009056749744128,"Terry Hall, the lead singer of the pioneering ska band The Specials, has died at the age of 63. The singer died aft… https://t.co/y4vySZV3Ww"
1604960515834269697,"A new Japanese rock supergroup called The Last Rockstars have inked a new deal with @UMG, providing a mission state… https://t.co/FSXY9rh8tF"
1604955482061357056,"Country music icon @Wynonna recently announced that The Judds: The Final Tour, produced by Sandbox Live and Live Na… https://t.co/0e2KqBeQgj"
1604952211355848719,".@oliviarodrigo has treated fans on her Discord server to a new song, “the bells,” which she initially wrote when s… https://t.co/Z2HQAoqGsy"
1604948436125523968,".@NorahJones has announced new episodes of her exclusive podcast, ‘Norah Jones Is Playing Along.’ Find out details👇
https://t.co/YfCbk2zl3l"
1604944157469974528,"The world premiere of the authorized new film about one of country music’s most enduring heroes, ‘Willie Nelson and… https://t.co/T766NW6Okq"
1604940137435111435,"The brilliantly bittersweet “Have Yourself a Merry Little Christmas,” written in 1943 by Hugh Martin and Ralph Blan… https://t.co/2aHMcmrRS7"
1604926038139609106,"Following Argentina’s thrilling win over France at the 2022 World Cup final, @LilBaby and Budweiser have shared the… https://t.co/t4Opifms9F"
1604921759894933504,".@beabad00bee has been announced as the final Independent Venue Week ambassador for 2023👏
https://t.co/ieDLKMQwvK"
1604918744450490368,"Due to overwhelming demand, @ygofficialblink have added Japanese dates to their ‘Born Pink’ tour
#블랙핑크  #제니… https://t.co/xQ2ypis6MQ"
1604904828727164942,"Charlie Gracie, the original rock’n’roller whose 1957 smash “Butterfly” was a multi-million-selling signature song… https://t.co/yEXZMy1U28"
1604849292493164544,"#OnThisDay in 1970, already 10 years into her chart career, @LorettaLynn’s “Coal Miner’s Daughter” — a number about… https://t.co/qADKHkdi03"
1604628848473169921,Bah Humbug 🎄 👎 Not in the holiday spirit? We've got your anti Christmas playlist https://t.co/LeFCypyp3N
1604600158028808193,"#ThisDayInMusic Wild Honey by @TheBeachBoys was released 🗓 
https://t.co/BbGTYlsCkP"
1604569446852460545,"Happy 21st Birthday to the singular talent that is @billieeilish 

Her music has evolved from Soundcloud introspect… https://t.co/jashgytOvn"
1604527184324034561,"Today we celebrate the first night of Hanukkah 🕎  From traditional tunes to offbeat comedy numbers, the 25 best Han… https://t.co/wCHoXi53gb"
1604493696770183168,"For @officialKeef’s birthday today, we’re celebrating with the greatest guitar licks by the man they call the Human Riff👇"
1604252097238536192,"Widely-respected drummer Dino Danelli, an original member of soul-infused 1960s New Jersey rockers the Rascals, has… https://t.co/oXrTQpEFY3"
1604193415377211392,.@Cian_ducrot has shared some festive comfort with his fans in the form of a cover of “Hallelujah” and a “Sad At Ch… https://t.co/I6Zh5tVsOw
1604131057216786433,"Whether it’s a traditional or modern song, the best Christmas carols are seasonal classics that never get old ✨  He… https://t.co/CzJ69Hv1AP"
1604114449861844995,"Released as the first taster from the ‘Prism’ album, ‘Dark Horse’ revealed that @KatyPerry was committed to taking… https://t.co/bX0YCRGzGC"
1603894239317950467,Happy Birthday to ZZ Top’s @BillyFGibbons. Hear the Blues and rock legend tell the story of performing to an audien… https://t.co/kuyTthD6HO
1603882784287621120,"As their music became more complex, #SteelyDan turned to a murderer’s row of session giants who helped make their s… https://t.co/WdFlySBE9q"
1603877381827170304,"@BIRDMAN5STAR and Juvenille are back! 🎧 to their new single 'Ali' 
https://t.co/jpX1M8ewkV"
1603875791372050432,".@kendricklamar seeks treatment with Helen Mirren playing his therapist in his new “Count Me Out” video 🎥
https://t.co/dV4Ho2oldv"
1603862287969837069,"Two esteemed country and pop hitmakers and fellow inductees of the Country Music Hall of Fame, Brenda Lee and Ray S… https://t.co/NzcNDKr4E7"
1603858043950665728,"Offering hints as to where @Nirvana could have gone next, ‘MTV Unplugged In New York’ remains one of the greatest l… https://t.co/NdvEqmCmdb"
1603846944631230477,".@KISS, @MotleyCrue, @DefLeppard, and more will headline #Hellfest 2023 🔥 

More details on lineup 👇   
https://t.co/W44e1FmuIw"
1603842071567036416,The video is the fifth and latest installment of @Megadeth’s epic multi-part short film revealing the origins of th… https://t.co/t3L80L3jr1
1603831607227449370,"Last night, The White Buffalo stopped by ‘Jimmy Kimmel Live!’ for a late-night performance of the new single “C’mon… https://t.co/yufCDQRjeO"
1603824789948342272,"Luke Grimes, the star of TV’s top-rated #Yellowstone, has released his debut country song “No Horse To Ride”
https://t.co/tZVv7P880Z"
1603819849108553737,".@SelenaGomez will team up with former Georgia state representative Stacey Abrams for a new music documentary.
https://t.co/rD6ExjKGow"
1603817565129670684,.@BTS_bighit’s J-hope and @DuranDuran have been confirmed to join the line-up for this year’s New Year’s Rockin’ Ev… https://t.co/9IMuOSpMl7
1603817490483642392,A film capturing footage from @BillieEilish’s concerts at London’s The 02 during the summer of 2022 will be aired i… https://t.co/GptuScdj7C
1603816645121671202,Many of the songs @TheBeatles covered were similar R&amp;B or rock’n’roll staples to those tackled by most of their con… https://t.co/9iM7iM9Up9
1603768661948305408,"#ThisDayInMusic 'Christmas With Weezer' was released 💿 
https://t.co/E4gOOUdTGM"
1603753310925848578,"There’s an ABBA song for every mood – but which one says the most about you? Take this quiz to find out👇
https://t.co/RZz2FOobhJ"
1603677562441306112,"Much like their songs, @U2's album covers capture the breadth of the human condition, these are the stories behind… https://t.co/gupUbyEFA5"
1603571321463398400,"Listen to @theweeknd’s new song “Nothing Is Lost (You Give Me Strength)” for #AvatarTheWayOfWater 
https://t.co/WacieqqdqX"
1603548461126877184,"Ledisi stars as Gladys Knight, Wiz Khalifa as George Clinton, and Tayla Parx plays Donna Summer in the new trailer… https://t.co/QlwF5ZJUc3"
1603539904524214272,".@JanetJackson wants everyone to be “Together Again,” so she's adding more dates to her tour including a second sho… https://t.co/G5F0a0Ihoa"
1603516500224065536,"Let's take it back to ’72 with 67 classic tunes you need to listen to #TBT 

From Stevie Wonder’s classic ‘Supersti… https://t.co/B3HJJB6Kpg"
1603510964262936588,".@OfficialSting, @StevieWonder and the @jonasbrothers are set to feature in an upcoming tribute to the great songwr… https://t.co/swrHqLMQUs"
1603506434003685379,"12 DAYS OF DEALS: DAY 4🎁

Paul McCartney’s ‘Amoeba Gig’ for $10 (a $38 value)
Paul McCartney’s ‘Tug Of War’ for onl… https://t.co/ngBkHXW9KE"
1603502407551426560,"Rising British R&amp;B girl group @flolikethis have returned with their new single “Losing You.” Check it out👇
https://t.co/oj1HSe8FpK"
1603498632597999617,"Emmy Award-winning comedian Trevor Noah will return as master of ceremonies of the 65th Annual Grammy Awards, hosti… https://t.co/qplghuvofb"
1603495849698418693,.@theweeknd has received the 2022 CMW Allan Slaight Humanitarian Spirit Award in recognition of his longstanding co… https://t.co/Iixs63auwr
1603493852547014694,"Due to popular demand, @johnmellencamp has confirmed the addition of a fourth and final show at Beacon Theatre in N… https://t.co/60ZQoWHl4X"
1603490892786040832,@BillieEilish and @KendrickLamar have been announced as two of the headliners for the Canadian festival #Osheaga 20… https://t.co/2iPkC3XmVg
1603486049820368905,"#ThisDayInMusic we celebrate the anniversary of #Eminem's 'Revival' release. After a 4 year break, ‘Revival’ found… https://t.co/SZVJTIjXYA"
1603465077671481344,"On his solo debut album, ‘The Chronic’ — released 30 years ago today — @drdre fused his hardcore hip-hop roots with… https://t.co/xueIaDLpYn"
1603459877367648263,".@rihanna, @ladygaga, and @taylorswift13 are among the nominees for Best Song at the 2023 #CriticsChoiceAwards 
https://t.co/aO5YNeuAxq"
1603455859035672577,🎅  Have a holly jolly Christmas 🎅  This classic holiday tune recorded first in 1965 and has remained to light up Ch… https://t.co/oFACnfBud4
1603453334219898886,"Siouxsie Sioux has confirmed her first live performance in a decade 🚨

The former @siouxsieandtheb singer will head… https://t.co/XTmz1asPF5"
1603453269459845141,"Part musical, part satire, and all savvy marketing, “Spice World’ still baffles and delights decades after its rele… https://t.co/A3iwhkGztn"
1603174245223174144,".@RockvilleFest has revealed its 2023 lineup… 🪩

Catch @Pantera, @TheOfficialA7X, @slipknot, and many other rock fa… https://t.co/5hF5Ml9p8u"
1603167953884565505,".@DGclassics has announced the launch of STAGE+, a ground-breaking classical music subscription service, offering l… https://t.co/RIoR4u1Dv2"
1603162923282538497,.@SteveWinwood has filmed and shared a new performance of Traffic’s vintage 1971 track “The Low Spark Of High Heele… https://t.co/0u88i5TyTt
1603162921537654785,"TOMORROW at 5pm GMT/ 6pm CET, TikTok will present a Christmas performance by world-renowned Italian tenor,… https://t.co/iaLOAwhSJL"
1603157887580250115,".@Metallica’s iconic hit “Master Of Puppets” is featured as an emote in the popular video game Fortnite
https://t.co/QU7xdC1vsp"
1603155119096201216,".@Jeezy announced on Twitter today that in January, he will be performing his classic album ‘Thug Motivation 101’ a… https://t.co/kdXdJ6gIc5"
1603154157350830081,"5-4-3-2-1 🎉  Happy Birthday to @OffsetYRN 
https://t.co/2gnqDLIy9n"
1603151092665098240,".@robertglasper has announced his annual Grammy weekend show, set for February 3 at Los Angeles’s The Vermont Holly… https://t.co/9MKs3wG072"
1603147826099200001,".@TXT_bighit have announced the title and release date for their next mini-album, ‘The Name Chapter: Temptation’… https://t.co/NUE2GvuZun"
1603144549366317059,".@YNGFRNCO teamed up with Korean-Australian rap group 1300 to remix his fan-adored single “Get Your Money”
https://t.co/R65Y9chTHL"
1603141026394378246,".@Diddy has teamed up with PARTYNEXTDOOR on “Sex In The Porsche,” the latest track taken from his upcoming album. L… https://t.co/VAdmyH6jyr"
1603136748204146690,".@Diddy has teamed up with PARTYNEXTDOOR on “Sex In The Porsche,” the latest track taken from his upcoming album. L… https://t.co/YcxWlmgNr8"
1603134483267571721,".@Jamietmusic will host a show on BBC 6 Music for the next 10 weeks as the station’s latest Artist In Residence
https://t.co/p5H1bXpFpl"
1603130708503003142,"Unleashed at a most critical juncture, The @RollingStones' “Jumpin’ Jack Flash” saved the band from an existential… https://t.co/u73srb20ps"
1603125423407132673,".@LilTunechi has garnered his first Diamond certification from the RIAA for his generational smash “Lollipop”👏
https://t.co/DtReITfNu8"
1603122626892861440,".@thebandGHOST have shared a new lyric video for their surprise viral hit “Mary On A Cross.” Watch it below📺🎶
https://t.co/qnSX4nUr5C"
1603120893491699713,"@STYXtheBand are among the names who have been confirmed to perform at next year’s M3 Rock Festival, taking place i… https://t.co/e7zgW1kieJ"
1603118213394415616,"SURPRISE🎁 Today’s deal is… 

✨Neil Diamond’s ‘All-Time Greatest Hits’ for only $10 (a $38 value)  
✨Paul McCartney’… https://t.co/2G5z7k2n6m"
1603115860507250688,".@dawestheband have released the reflective ballad “The Interest Of Time,” a new song that doesn’t feature on their… https://t.co/Ps77SKU2R1"
