name,text
1445511918249078806,Keep @TeenMom Tuesday going with #YoungAndPregnant + check out our Teen Mom Young &amp; Pregnant Season 3 OFFICIAL play… https://t.co/aucWDNtCeW
1445503182503772160,Don't miss #afteraprilmusic and more on tonight's new Teen Mom OG! Check out our Teen Mom OG Season 9 OFFICIAL play… https://t.co/xF44jitYTM
1443344319218438144,What song makes you want to dance like a champion? Check out our OFFICIAL Challenge 37 Playlist for all the music f… https://t.co/nV6p9uLwwf
1443315339031453698,@TeenMom Tuesday kept going with #YoungAndPregnant - did you keep up?! Check out our Teen Mom Young &amp; Pregnant Seas… https://t.co/8ItjvQRrmF
1443314437331554314,Did you hear @newsperspectivesband on last night's new Teen Mom OG! Check out our Teen Mom OG Season 9 OFFICIAL pla… https://t.co/iqr8KDGHRi
1440448555185946625,Keep @TeenMom Tuesday going with #YoungAndPregnant + check out our Teen Mom Young &amp; Pregnant Season 3 OFFICIAL play… https://t.co/3jCn8xunlp
1440448010295529477,Are you ready for this week’s double dose of @TeenMom? Don't miss @therealrosaline on tonight's brand new Teen Mom… https://t.co/JmXH03vZ55
1438311107630821378,RT @maskedwolfmusic: @ me if you hear one of my songs on @MTVCribs tonight 👀 @MTV
1438275147845324803,What song makes you want to dance like a champion? Check out our OFFICIAL Challenge 37 Playlist for all the music f… https://t.co/VWO8zVup75
1437917307297280006,Don't miss @thepalmsmusic on tonight's brand new @TeenMom  #YoungAndPregnant ! Check out our Teen Mom Young &amp; Pregn… https://t.co/lp4fVVaTS4
1437907772318834691,Don't miss @NightjacketBand on tonight's brand new @TeenMom ! Check out our Teen Mom OG Season 9 OFFICIAL playlist… https://t.co/618DunWob3
1437128966041702415,Are you ready to break history?  Get the party started with our ultimate  @vmas playlist featuring music from nomin… https://t.co/fNwbYRBBEm
1436416348142321666,How are you preparing for the #2021 @vmas?  We're playing this Ultimate MTV VMA's Playlist on repeat until SUNDAY a… https://t.co/5vCSI4Rxpc
1435711955155750915,Things are about to get dirty tonight! Check out our OFFICIAL Challenge 37 Playlist below for all the music from th… https://t.co/R1G7MjJtsD
1435378609380790272,Keep @TeenMom Tuesday going with #YoungAndPregnant + check out our Teen Mom Young &amp; Pregnant Season 3 OFFICIAL play… https://t.co/9BDSyS9yA6
1435376782493036544,It's been a mother of a time but @TeenMom is BACK!  Relive all your fave #TMOG music moments + check out our Teen M… https://t.co/SeomkUNXzg
1433558625050521613,Join in the celebration &amp; check out our OFFICIAL @JerseyShore Family Vacation Playlist to pregame tonight's brand n… https://t.co/28UzoQ9vLl
1433190261602099203,Check out our OFFICIAL Challenge 37 Playlist for all the these bangers &amp; all the music from this season of #NSYNC +… https://t.co/BnQhH2TPUf
1432849865814548484,How do you know if the love is real? While you try to decide – check out the Catfish Season 8 OFFICIAL playlist bel… https://t.co/CKVTm8hAvQ
1430979639506309125,It's time to Beat The Beat Up on our OFFICIAL @JerseyShore Family Vacation Playlist to pregame tonight's brand new… https://t.co/W2B1K9gGz0
1430967972005298178,Check out our OFFICIAL Challenge 37 Playlist for all the these bangers &amp; all the music from this season of… https://t.co/l9XKn6lpCV
1430281863105495042,Do you think its a prank or is it true love? While you try to decide – check out the Catfish Season 8 OFFICIAL play… https://t.co/T2FONUHi9L
1430280228757139456,"@jesse_verano @ChallengeMTV @MTV @jesse_verano over the end credits it is ""Robot Conquest"" by Dan Graham"
1428856881817301001,Sometimes it takes more than a sad song to turn it around..but does this one sound familiar?  You're hearing… https://t.co/JJ6ptNY1F5
1428470587970801681,"Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of 
@JerseyShore ! Don't miss it at 8/7C on 
@MTV !  CLICK… https://t.co/v6zVu44Brp"
1428100652744511491,"It's go time! Don't miss music from 
#Ludacri#BobbyV #TheVines #Amine #JaxJones and more in a brand new episode of… https://t.co/PBnXkc687Y"
1427739524877197313,Don't miss music from @igobyLu  &amp; more in tonight's brand new episode of @CatfishMTV at a brand new time 8/7C on MT… https://t.co/wa6MA9H5PX
1427398521964089346,Don't miss “Deep End” by July #MTVPush artist @FousheeLive on 2nites episode of @loveandhiphop at 8/7C on @VH1 !! h… https://t.co/24Q7EoV75y
1425944330389409793,Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of @JerseyShore! Don't miss it at 8/7C on @MTV!  CLICK HER… https://t.co/8tQ6tvEXbz
1425595114781614084,"It's go time! Don't miss music from 
#Wolfmother #Goldfrapp #AllAmericanRejects &amp; #Garbage in tonight's brand new e… https://t.co/VEiKCyxcg0"
1425210708208361476,Don't miss music from @gusdapperton &amp; more in tonight's brand new episode of @CatfishMTV at 9/8C on MTV! CLICK HERE… https://t.co/yNhVJqaGnj
1424886816319148033,Want to see where the ✨magic✨ happens?! Take a listen to our favorite house party playlist and get ready to take a… https://t.co/0DC9SAN9KV
1423770926810808326,"Do you have what it takes to win @TheChallengeMTV?! Pump start your day with this mix of workout jams, and don't mi… https://t.co/PNQmaeBdq1"
1423385412974874626,Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of @JerseyShore! Don't miss it at 8/7C on @MTV!  CLICK HER… https://t.co/4IeaAlwRYt
1423068506099261443,Don’t miss music from @LittleMix @SuziWu + more in tonight’s SEASON FINALE of @SiestaKey at 8/7C on @MTV !  CLICK H… https://t.co/UfrcyO90C6
1423021658235969545,Don’t miss tonight’s SEASON FINALE of @thehills at 10/9C on @MTV!! CLICK HERE to listen to @CalvinHarris… https://t.co/bluHugxQZ3
1422663616415903751,Don't miss music from @tul_liah &amp; more in tonight's brand new episode of @CatfishMTV at 9/8C on MTV! CLICK HERE to… https://t.co/DanP67HBpA
1420851727495016451,Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of @JerseyShore! Don't miss it at 8/7C on @MTV!  CLICK HER… https://t.co/G0mEUUJBSZ
1420499793416265728,Don’t miss tonight’s brand new episode of @thehills at 9/8 C on @MTV!! CLICK HERE to listen to @billieeilish… https://t.co/FVtIY2MfeK
1420499268389982208,Don’t miss music from @tatemcrae @thisissigrid + more in tonight’s BRAND NEW episode of @SiestaKey at 8/7C on @MTV!… https://t.co/lXmR2daYpr
1420125985203163140,Don't miss music from @Layupband &amp; more in tonight's brand new episode of @CatfishMTV at 9/8C on MTV! CLICK HERE to… https://t.co/s76vfNbfkm
1418964279512997890,Did you catch the new episode of #mylifeonmtv highlighting @MTV moments from your favorite artists like @ladygaga?!… https://t.co/2jOX735Vww
1418328806260101121,Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of @JerseyShore! Don't miss it at 8/7C on @MTV!  CLICK HER… https://t.co/HjMcfSwFwQ
1417965065924399104,Don’t miss tonight’s brand new episode of @thehills at 9/8 C on @MTV!! CLICK HERE to listen to @realpinksweats… https://t.co/1KqnfIk6uF
1417963474651598848,Don’t miss music from @ThisIsPVRIS @maliafromvegas + more in tonight’s BRAND NEW episode of @SiestaKey at 8/7C on… https://t.co/clvENsUOB2
1417600290212167680,Don't miss music from @aligatie &amp; more in tonight's brand new episode of @CatfishMTV at 9/8C on MTV! CLICK HERE to… https://t.co/8RzLCNmiGD
1417600102965907456,Don't miss the new episode of @TeenMom #2 tonight at 8/7c featuring music by @eauclairesounds and more!!!! Swipe to… https://t.co/LUHdT69Nql
1417307917146017795,Get ready to giggle with us every night this week with our brand new show #Adorableness !  Check out our… https://t.co/nKtJGbXjB9
1416427625636057088,Did you catch the new episode of #mylifeonmtv highlighting @MTV moments from your favorite artists like… https://t.co/B4xKxGLyp4
1415847411533197321,Come out of hiding and don't miss the season premiere episode of  @familiesofmafia featuring music from… https://t.co/kxuBWDNqB8
1415827347777982467,Happy Jerzday!! GTL &amp; Tune in for  tonight's new episode of @JerseyShore! Don't miss it at 8/7C on @MTV!  CLICK HER… https://t.co/nBNMZaQXtM
1415423445333073924,Has “NDA” by @billieeilish been on repeat for you since last week?! 🖤 Don’t miss its TV DEBUT tonight on @thehills… https://t.co/E6c9cvT3jf
