name,text
1605692088095367168,"🏟 It’s a return to Paradise for the Celts on Saturday!

📺 For supporters who can’t be there, you can tune in to all… https://t.co/OcqdXgiupZ"
1605690973014605824,"#CELLIV Match Report 🗞

🟢⚪️

#cinchPrem | #COYBIG🍀"
1605689876363370496,"RT @Dafabet: Celts, your #DafabetMOTM 🍾👏

#CELLIV | #CelticFC | #COYBIG 🍀 https://t.co/fstT8cGDCm"
1605684141374046209,"✨

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/hl3VOm5YEw"
1605680731342049280,It’s good to be back 🏡
1605680351447130113,"A well earned 3 points at Paradise! 🙌

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/ietSQsaDYG"
1605677636675436544,"🗳️ Who's been your #CELLIV @Dafabet MOTM, Celts?

Five minutes to vote... ⌛️

#cinchPrem | #COYBIG | #DafabetMOTM ⭐"
1605676450673176576,"82' - Another double #CelticFC Substitution: 
 
🔛 Mooy, Giakoumakis
↩️ O'Riley, Kyogo
 
🟢2️⃣-1️⃣🟡 
 
#CELLIV | #cinchPrem | #COYBIG🍀"
1605674750197366784,"75' - ❌ VAR Check ❌ 
 
Abada's goal is ruled offside. 

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/McK6byFVZe"
1605674149774491648,"72' - GOOOALLLL ABADA! ✨  
 
Official match centre ➡️ https://t.co/Z7bg0qS6qd 
 
🟢3️⃣-1️⃣🟡 
 
#CELLIV | #cinchPrem… https://t.co/2CqtJRIhog"
1605671986461564932,"64' - Double #CelticFC Substitution: 
 
🔛 Turnbull, Hakšabanović
↩️ Hatate, Jota
 
🟢2️⃣-1️⃣🟡 
 
#CELLIV | #cinchPrem | #COYBIG🍀"
1605671574610345986,"62’ - #CELLIV update:  
  
🟡 Long range effort from Livingston is hit just wide of the post 
🟢 Abada's cross across… https://t.co/sq2Wb2nMTS"
1605669731608018944,"55' - #CelticFC Substitution: 
 
🔛 Bernabei
↩️ Ralston
 
🟢2️⃣-1️⃣🟡 
 
#CELLIV | #cinchPrem | #COYBIG🍀"
1605667217055571970,"46' - Into the second half, come on Celts! 💪

🟢2️⃣-1️⃣🟡

#CELLIV | #cinchPrem | #COYBIG🍀"
1605663400830328835,"The Bhoys lead by 1 at the half! 

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/6DXFbfNkdG"
1605662835186339840,"45+2' - Goal to Livingston, Devlin. 
 
🟢2️⃣-1️⃣🟡 
 
#CELLIV | #cinchPrem | #COYBIG🍀"
1605662476288286737,"45+1' - KYGOOOALLLL!  
 
Official match centre ➡️ https://t.co/Z7bg0qS6qd 
 
🟢2️⃣-0️⃣🟡 
 
#CELLIV | #cinchPrem |… https://t.co/1dXtU1WpTa"
1605660145840709636,"37’ - More #CelticFC chances!

🟢 Ralston again from distance troubling the keeper as he palms his shot away from th… https://t.co/6vwFnPTGdh"
1605659912364621824,@T_Rreview https://t.co/rA0QmNkjj6
1605656878515687425,"23' - GOOOALLLL! OWN GOAL FROM OBILEYE 
 
Official match centre ➡️ https://t.co/Z7bg0qS6qd 
 
🟢1️⃣-0️⃣🟡 
 
#CELLIV | #cinchPrem | #COYBIG🍀"
1605655590700728321,"19’ - Celts creating chances:

🟢 A one-two between Hatate and O'Riley sees the end strike just wide of the post
🟢 R… https://t.co/uuyJ2Mcrih"
1605653885225521157,"12’ - Latest from Paradise:

🟢 Ralston's low cross bobbles in the box, Kyogo's effort is hit wide of the post
🟢 Jot… https://t.co/DL3iICtqGP"
1605651275026206735,"Welcome to a Paradise match-day Bhoys 💚🤍

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/Omc3RNGiiT"
1605650807780741133,"⏱️ The Celts get us underway - #COYBIG!  
 
#CELLIV | #cinchPrem🍀"
1605648800655282192,"🎥 And now...

Let's make some noise for the Bhoys! 💚📣

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/WjA7wRVx4P"
1605648418688405507,"RT @CelticFC: 🍀 Can’t make the match tonight, Celts?

📺 You can tune in to all the live action from the comfort of your home, with our Pay-…"
1605647903606935553,"Warming up under the lights 🏟🌧

#CELLIV | #cinchPrem | #COYBIG🍀"
1605646392889790464,"🥶

#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/5T7jXMnwr3"
1605640288004972547,"RT @CelticFC: 🤔 Have a go at our latest quiz and test your #CELLIV knowledge! 🧠

#cinchPrem | #COYBIG 🍀"
1605639807203512322,"Here's how the visitors line up for #CELLIV ⤵️

#cinchPrem | #COYBIG🍀 https://t.co/fPRHBByXNo"
1605635144529870859,"👋 The Celts are here! 

#CELLIV | #cinchPrem | #COYBIG🍀"
1605631690671521798,"#CelticFC Team News 📋 
 
✍️ One change made to Postecoglou's XI ⤵️ 
 
#CELLIV | #cinchPrem | #COYBIG🍀 https://t.co/IBOmWE8bjY"
1605624702663262209,"39 days later, we are finally back to Paradise!

See you all soon, Celts 🏟

#CELLIV | #cinchPrem | #COYBIG🍀"
1605621210460585996,Supporters are advised that due to storm damage the big screen on the Jock Stein stand will not be in use for tonig… https://t.co/ZqF0xfO4Fr
1605617933644099585,"The final 90 minutes of the year for the Celts will see the B Team take on Rangers B at Celtic Park on Friday, Dece… https://t.co/cdbA4oLwRG"
1605599398548971521,"🍀 Can’t make the match tonight, Celts?

📺 You can tune in to all the live action from the comfort of your home, wit… https://t.co/zmslPwk1JJ"
1605585007149338626,"RT @CelticFCPools: Fancy winning a festive £10,000 at half time tonight? 🎄 

Paradise Windfall sponsored by @LaurieRossIns

#CELLIV | #COYB…"
1605580704229662720,"RT @CelticTV: 🇯🇵❓ 𝗤𝘂𝗶𝗰𝗸 𝗙𝗶𝗿𝗲 𝗤𝘀 𝘄𝗶𝘁𝗵 𝗞𝘆𝗼𝗴𝗼

Get in the mood for tonight's #CELLIV by getting an insight into our Japanese striker's life!…"
1605578853023248385,"🍀 The Bhoys are back in domestic action at Celtic Park for #CELLIV!

For supporters who can’t be there, you can tun… https://t.co/v4yanqHGEX"
1605571290076626945,"📖 Your #CELLIV Matchday Guide

🏟 Here’s everything you need to know ahead of the Celts’ return to Paradise tonight!… https://t.co/tWK8Q1Hao8"
1605563744418832384,"🤔 Have a go at our latest quiz and test your #CELLIV knowledge! 🧠

#cinchPrem | #COYBIG 🍀"
1605556191983181824,"🎙 It's Greg Taylor &amp; Matt O'Riley on the final @CelticView Podcast of the year!

🎧 Listen to the latest #ViewPod below!⤵️

#COYBIG 🍀"
1605552415503052801,"🎄🎁 Christmas is just around the corner, and if you’re looking for some last-minute gifts for the #CelticFC supporte… https://t.co/TQdWMXhsyK"
1605548651299934208,"💻 Watch Celtic v Livingston | LIVE on @CelticTV for overseas subscribers

The Celts are back at home in #cinchPrem… https://t.co/b3v4xY58rT"
1605543859177410560,"📗 Your #CELLIV matchday programme is packed full of articles on the champions and the visitors, including exclusive… https://t.co/I3F83ZYp9I"
1605537315966763011,"❌ A reminder that the @CelticFCB game away to Dalbeattie Star scheduled for tonight, Wednesday, December 21 at the… https://t.co/t3Cd980ufd"
1605533548454223874,"✊ Ange Postecoglou Pre-Match
🎙 Carl Starfelt Pre-Match 
🎥 Training Access 

📺 Watch on our official YouTube channel… https://t.co/G1OssH3Gb8"
1605527131160997888,"📖 Your #CELLIV Matchday Guide

🏟 Here’s everything you need to know ahead of the Celts’ return to Paradise tonight!… https://t.co/8liGrHUqKq"
1605518447953199105,"🚨 𝙁𝙄𝙉𝘼𝙇 𝙋𝙊𝘿 𝙊𝙁 𝙏𝙃𝙀 𝙔𝙀𝘼𝙍 🚨

It's a must-watch with Greg Taylor &amp; Matt O'Riley on the show‼️

🍀 Taylor the special gu… https://t.co/tgjcK01w43"
1605511263793995777,"RT @CelticFC: 🍀 Delighted to announce that @FoundationCFC have raised a phenomenal £𝟑𝟖𝟓𝐊, making #ChristmasAppeal2022 the most successful t…"
1605502890902159363,"✊ Manager aiming to utilise home comforts v Livingston

💬 ""It’s Celtic Park and we can do certain things which are… https://t.co/AtaOl3UJhx"
1605496003615809536,"RT @CelticTV: 🍀 It's #CELLIV 𝗠𝗮𝘁𝗰𝗵𝗱𝗮𝘆!

Watch our special interview with 𝗚𝗿𝗲𝗴 𝗧𝗮𝘆𝗹𝗼𝗿 in FULL as he previews tonight's game only on #CelticT…"
1605488494612058116,"🍀 For the very first time at Anfield, Liverpool Legends will face a team of Celtic Legends, the first two fans’ fav… https://t.co/NUe7NUL3qS"
1605484467702755328,"🟢 𝗠𝗔𝗧𝗖𝗛𝗗𝗔𝗬 ⚪️ 

🆚 @LiviFCOfficial
 🏆 #cinchPrem
⌚ 7:45pm
🏟️ Celtic Park
🌍 Live in UK &amp; IRE on StreamDigital PPV:… https://t.co/w9rRUA1uyC"
1605473142935146501,"🎄 #CelticAdventCalendar Day 21! 🍀

A rocket of a free-kick from Charlie Mulrgew 🚀

#ShareTheMagic✨ https://t.co/7xlXNND3wZ"
1605291953481842688,"🤔 Have a go at our latest quiz and test your #CELLIV knowledge! 🧠

#cinchPrem | #COYBIG 🍀"
1605288426076622858,"💻 Watch Celtic v Livingston | LIVE on @CelticTV for overseas subscribers

The Celts are back at home in #cinchPrem… https://t.co/AnxlU3D6JO"
