name,text
1604803271822118912,"THANK YOU - to everyone who contributed and helped deliver a successful #FIFAWorldCup in #Qatar 🇶🇦🙏

#Qatar2022 🏆 https://t.co/oJUZYjB6Sw"
1604536979550511104,"Felicidades @Argentina! CAMPEON DEL MUNDIAL 2022 🇦🇷 🏆 

#FIFAWorldCup | #Qatar2022 https://t.co/ITADUeBWDu"
1604409467092828160,"We extend our best wishes to the people of #Qatar on the occasion of our National Day, praying for health, safety a… https://t.co/W0bJi4Wbnq"
1604187199066365952,"TOMORROW | The #FIFAWorldCup final 🏆

#France 🇫🇷 and #Argentina 🇦🇷 face off in the decider on Sunday at Lusail Stad… https://t.co/jRjxHk3KEk"
1604184392003461124,"🇲🇦 #MOROCCO! You were amazing at this #FIFAWorldCup 👏

#Qatar2022 https://t.co/dxPGs3rbaX"
1604180774038564864,Congratulations to #Croatia 🇭🇷 on finishing third at the #FIFAWorldCup #Qatar2022 👏 https://t.co/8PtaOnOm1e
1603850147364212737,🇶🇦💪 A team of Qatari referees will officiate the #FIFAWorldCup #Qatar2022 third place playoff game between Morocco… https://t.co/lqPeqZ7HLi
1603142835838099457,"We’re at the final stage of #Qatar2022 ! 

Here’s the schedule for the #FIFAWorldCup final and third place game 👇 https://t.co/UuOougGUZn"
1602576744942297088,"RT @TheAFCCL: 🇶🇦 Qatar will host the #ACL2022 West Round of 16 and Knockout Stage!

MORE 🔗 https://t.co/5bKxk8Ggxi https://t.co/8wxMiU2CZw"
1602304966433161217,"Here’s our 🇶🇦 national team squad for the 25th Arabian Gulf Cup! 💪 

#AlAnnabi #GulfCup https://t.co/Blk5eYofak"
1601708342829010946,"Congratulations to the last four teams in the #FIFAWorldCup  #Qatar2022  👏 

Let's take a look at the schedule for… https://t.co/jqlTIYLoHx"
1601708266416836609,"RT @QFA: نبارك ونهنئ المنتخب المغربي 🇲🇦
بالتأهـل لـدور نصـف نهائي بطولة #كأس_العالم2022 🏆

كل الأمنيات لأسود الأطلس بالتوفيق 🙏🤩 https://t.c…"
1600240883424956417,"The #Qatar2022 quarter-finals lineup is complete 🏆👏

Here’s the schedule for the next round of the #FIFAWorldCup👇 https://t.co/omouWB1QjV"
1598800610928861187,"Congratulations to all the teams that have qualified for the #FIFAWorldCup Round of 16 👏 

Here’s the schedule for… https://t.co/XiQsKIiiK9"
1597657625961058304,"Thank you for your support 🇶🇦
With you by our side, we hope for better things to come 🙌

#AlAnnabi #Qatar2022 https://t.co/Vf4qGpdolL"
1597636198779867136,"FULL TIME 

🇶🇦 Qatar 0-2 Netherlands 🇳🇱 

#AlAnnabi #Qatar2022    
#FIFAWorldCup https://t.co/t4Lm1pcZqG"
1597634398513696768,"📸 | Photos from the game between Qatar and the Netherlands 

#FIFAWorldCup #Qatar2022 #AlAnnabi https://t.co/orOxxL3QXQ"
1597622593888342016,"📢 Second half begins:

🇶🇦 Qatar 0-1 Netherlands 🇳🇱 

#AlAnnabi #Qatar2022   
#FIFAWorldCup https://t.co/s9CduxDkJ3"
1597619014540591105,"📢 HALFTIME 

🇶🇦 Qatar 0-1 Netherlands 🇳🇱 

#AlAnnabi  #Qatar2022   
#FIFAWorldCup https://t.co/pVfu0YVUnY"
1597606987290005505,"📢 KICKOFF 

🇶🇦 Qatar 🆚 Netherlands 🇳🇱 

All the best to our team 🇶🇦🙏

#AlAnnabi  #Qatar2022  
#FIFAWorldCup https://t.co/Z7tPZ7Ko0J"
1597593281281523715,Here’s our starting lineup for today’s #FIFAWorldCup group stage third round game against the Netherlands… https://t.co/CleEVsJprA
1597591287888478210,"Watch #AlAnnabi from across the globe!

Here are the worldwide match timings for tonight’s game ⏰ 

Where are you w… https://t.co/H5mMIyCJGa"
1597563955299635205,"Matchday! ⚽️

All the best to our team 🇶🇦 

#FIFAWorldCup #AlAnnabi #Qatar2022 https://t.co/BU5ILtT5oi"
1597362629915426820,"RT @QFA: العنابي يختتم استعداداته لمباراة غد💪🔚

#كلنا_العنابي  
#قطر2022 https://t.co/dcJuUzIRhW"
1597305854297939969,"RT @OoredooQatar: 🔴
Support Qatar Team 🇶🇦
🏆 #FIFAWorldCup  Group Stage - Third Round

Qatar 🆚 Netherlands
Tuesday 29 November 
🕖 18:00
🏟 Al…"
1597214475110608896,📸 Photos from the press conference for our 🇶🇦 national team ahead of tomorrow's game against the Netherlands… https://t.co/AIUnrrDtCV
1597212485559660544,🎙 - Selected quotes from the pre-match press conference for our 🇶🇦 national team ahead of tomorrow's game against t… https://t.co/2c5slH9OxO
1596951595291639810,"🏆 #FIFAWorldCup Group Stage - Third Round

Qatar 🆚 Netherlands
🕖 18:00
🏟 Al Bayt Stadium

#AlAnnabi #Qatar2022… https://t.co/V3zmHUmXdj"
1596903106729889793,"You’re our heroes 🫶 🇶🇦 

#AllForAlAnnabi #Qatar2022 https://t.co/yFMMOQyiCh"
1596191539205910528,"📸 Pictures from the game between our 🇶🇦 national team and #Senegal 

#FIFAWorldCup #Qatar2022 #AlAnnabi https://t.co/513CpBTPRa"
1596157591817785344,"📢 FULL TIME 

Qatar 1-3 Senegal 

#FIFAWorldCup #Qatar2022 #AlAnnabi https://t.co/W80GzJ9ttv"
1596157345931071489,"RT @QFA: ""هددف""
⏰ 78
العنابي يسجل الهدف الأول عن طريق اللاعب محمد مونتاري 💪

قطر 1-2 السنغال 

#كلنا_العنابي
#قطر2022 https://t.co/0GsmeBif…"
1596144495514771456,"Second half begins:

Qatar 0-1 Senegal https://t.co/JKp1ELGKqE"
1596140794993336320,"📢 HALFTIME

 Qatar 0-1 Senegal 

#AlAnnabi  #Qatar2022  
#FIFAWorldCup https://t.co/ANVa2wLurc"
1596126894377902086,"📢 KICKOFF

 Qatar 🆚 Senegal 

All the best to our team 🇶🇦🙏

#AlAnnabi #Qatar2022 
#FIFAWorldCup https://t.co/AJlNZF9NlS"
1596118504670887938,"⛅️ Expected weather conditions for our 🇶🇦 national team’s #FIFAWorldCup  game against Senegal today 

#AlAnnabi  … https://t.co/nQpyYxheQd"
1596115429076111362,"Introducing: the 11 players who start for our 🇶🇦 national team in today’s #FIFAWorldCup clash with Senegal 

All th… https://t.co/ksqQ49DhKN"
1596113071134879745,"Here’s our starting lineup for today’s #FIFAWorldCup group stage second round game against Senegal

#AllForAlAnnabi… https://t.co/vsRSxSPk9t"
1596101998667071488,"Representing the nation 🇶🇦💪 

#AllForAlAnnabi 
#Qatar2022 #AlAnnabi https://t.co/hwb57cbytZ"
1596092903146721281,"Watch #AlAnnabi from across the globe!

Here are the worldwide match timings for tonight’s big game ⏰ 

Where are y… https://t.co/J3eBVEzHEe"
1596073348924321795,"RT @toyotaqatar: كلنا معاكم يا العنابي!
@QFA @QFA_EN 
#كلنا_العنابي
#العنابي_اقوى_بتشجيعكم
#Qatar #Qatar2022 #ToyotaQatar https://t.co/AkBN…"
1596066171077373952,"Matchday! ⚽️💪 

We are #AllForAlAnnabi 🇶🇦❤️

#AlAnnabi #Qatar2022
#FIFAWorldCup https://t.co/JBRFqB2KWS"
1595881717512175617,"We are #AllForAlAnnabi 🇶🇦 💪

Our supporters assembled in Msheireb today to show their support! 🤝

#Qatar2022… https://t.co/wp6WsgsBFX"
1595880133189324800,"RT @QFA: تواجـدكـم وتشجيـعكم يفـرق مـعـانـا 💪❤️

#كلنا_العنابي
#قطر2022 https://t.co/H2hfLC25zv"
1595718869628456964,📸 Photos from the press conference for our 🇶🇦 national team ahead of tomorrow's game against Senegal… https://t.co/vLX6xv3YbW
1595717675237670913,🎙 - Selected quotes from the pre-match press conference for our 🇶🇦 national team ahead of tomorrow's game against S… https://t.co/Mub6oaZOum
1595702947157102592,"The pre-match press conference for our national team will begin shortly

#AllForAlAnnabi
#Qatar2022 #AlAnnabi 

https://t.co/Lu02oblkKa"
1595518949936214016,"RT @QFA: قــادرون … حنــا لهــا 🇶🇦💪

#كلنا_العنابي  
#قطر2022 https://t.co/RrE5mO3NNU"
1595162756386553856,"Back in action 🔙

#FIFAWorldCup #Qatar2022 
#AlAnnabi https://t.co/1OMZae0w55"
1595158053170876416,"#Qatar2022 Group Stage Round 2 

Qatar 🆚 Senegal 
⏰ 4 PM, Friday 25 November 
🏟 Al Thumama Stadium

#AlAnnabi… https://t.co/nUAS1z1lyt"
1594788240762060800,"Proud of our referees who were part of the first Qatari-led team to take charge of a #FIFAWorldCup game 🇶🇦 💪 

Upwa… https://t.co/pIOvWD7GTN"
1594390534914719747,"📢 FULL TIME 

Qatar 0-2 Ecuador 

#AlAnnabi #Qatar2022 https://t.co/aBCPefO2JG"
1594386513411813377,https://t.co/f3WNPxj8iW
1594386272361095170,"📸 Photos from the #FIFAWorldCup game between our 🇶🇦 national team and Ecuador 🇪🇨 

#AlAnnabi #Qatar2022

https://t.co/Vvvhz9GHGD"
1594378177450762249,"📢  Second half begins

Qatar 🆚  Ecuador

#AlAnnabi #Qatar2022 https://t.co/NqASPvqX73"
1594374066504437760,"⏱️ HALFTIME 

Qatar 0-2 Ecuador

#AlAnnabi #Qatar2022 https://t.co/Nq0zWGeHKD"
1594373784231886851,"📸 Photos from the first half of the #FIFAWorldCup game between our 🇶🇦 national team and Ecuador 🇪🇨 

#AlAnnabi… https://t.co/IK8k4dNz0T"
1594360934033596416,"📢 KICKOFF! 

Qatar x Ecuador 

All the best to our national team 🇶🇦 💪 

#AlAnnabi #Qatar2022 
#FIFAWorldCup https://t.co/v031pQOrbW"
1594353381476569088,"📄 Starting XI for our 🇶🇦 national team in tonight’s #FIFAWorldCup opener against Ecuador 

All the best to… https://t.co/0WT2wIkds7"
1594350381206675456,Here are our heroes who will line up for #AlAnnabi in tonight’s #FIFAWorldCup opening game against Ecuador 💪… https://t.co/ZjZeWKH8Dr
1594341336689385474,"Ready and raring to go! 😎 

#AlAnnabi #Qatar2022 https://t.co/AojWqzN4g1"
1594327129311023107,"⛅️ Expected weather conditions for our 🇶🇦 national team’s #FIFAWorldCup opener tonight 

#AlAnnabi #Qatar2022 https://t.co/EOGNwkf58M"
1594326529244381184,"Watch #AlAnnabi from across the globe!

Here are the worldwide match timings for tonight’s big game ⏰ 

Where are y… https://t.co/HMfmp63eFv"
1594302733841932288,"حـنـا مـعـك يـا مـنـتـخـبـنا🇶🇦🎶

We are #AllForAnnabi 💪

#Qatar2022 #AlAnnabi

https://t.co/6gd9xRMYFS"
